id,word,url,scrape_time,status,error
1,b,https://glosbe.com/yo/en/b,2025-05-07 01:17:58,success,
2,b yá,https://glosbe.com/yo/en/b%20y%C3%A1,2025-05-07 01:06:38,success,
3,Baale,https://glosbe.com/yo/en/Baale,2025-05-07 01:25:06,success,
4,baba,https://glosbe.com/yo/en/baba,2025-05-07 01:19:05,success,
5,baba-baba,https://glosbe.com/yo/en/baba-baba,2025-05-07 01:21:56,success,
6,baba-ńlá,https://glosbe.com/yo/en/baba-%C5%84l%C3%A1,2025-05-07 01:25:20,success,
7,babańlá,https://glosbe.com/yo/en/baba%C5%84l%C3%A1,2025-05-07 01:13:35,success,
8,baghdad,https://glosbe.com/yo/en/baghdad,2025-05-07 01:16:29,success,
9,bahrain,https://glosbe.com/yo/en/bahrain,2025-05-07 01:16:59,success,
10,Bahrain,https://glosbe.com/yo/en/Bahrain,2025-05-07 01:22:06,success,
11,baktéríà,https://glosbe.com/yo/en/bakt%C3%A9r%C3%AD%C3%A0,2025-05-07 01:20:50,success,
12,Baktéríà,https://glosbe.com/yo/en/Bakt%C3%A9r%C3%AD%C3%A0,2025-05-07 01:21:48,success,
13,Baku,https://glosbe.com/yo/en/Baku,2025-05-07 01:10:24,success,
14,baku,https://glosbe.com/yo/en/baku,2025-05-07 01:10:39,success,
15,Balinese,https://glosbe.com/yo/en/Balinese,2025-05-07 01:02:46,success,
16,balógun,https://glosbe.com/yo/en/bal%C3%B3gun,2025-05-07 01:24:33,success,
17,bam-bam,https://glosbe.com/yo/en/bam-bam,2025-05-07 01:20:06,success,
18,Banadiomu,https://glosbe.com/yo/en/Banadiomu,2025-05-07 01:05:16,success,
19,bangkok,https://glosbe.com/yo/en/bangkok,2025-05-07 01:00:09,success,
20,bangladẹ́shì,https://glosbe.com/yo/en/banglad%E1%BA%B9%CC%81sh%C3%AC,2025-05-07 01:05:24,success,
21,Barack Obama,https://glosbe.com/yo/en/Barack%20Obama,2025-05-07 01:13:20,success,
22,Barium,https://glosbe.com/yo/en/Barium,2025-05-07 00:58:58,success,
23,barium,https://glosbe.com/yo/en/barium,2025-05-07 00:59:10,success,
24,bauchi,https://glosbe.com/yo/en/bauchi,2025-05-07 00:59:26,success,
25,Bavaria,https://glosbe.com/yo/en/Bavaria,2025-05-07 01:10:55,success,
26,bavaria,https://glosbe.com/yo/en/bavaria,2025-05-07 01:24:06,success,
27,Bawo,https://glosbe.com/yo/en/Bawo,2025-05-07 01:02:37,success,
28,baálẹ̀,https://glosbe.com/yo/en/ba%C3%A1l%E1%BA%B9%CC%80,2025-05-07 01:00:15,success,
29,Baálẹ̀,https://glosbe.com/yo/en/Ba%C3%A1l%E1%BA%B9%CC%80,2025-05-07 01:08:44,success,
30,bcc,https://glosbe.com/yo/en/bcc,2025-05-07 01:02:10,success,
31,be ni,https://glosbe.com/yo/en/be%20ni,2025-05-07 01:17:20,success,
32,beijing,https://glosbe.com/yo/en/beijing,2025-05-07 01:15:36,success,
33,Beijing,https://glosbe.com/yo/en/Beijing,2025-05-07 01:20:55,success,
34,beirut,https://glosbe.com/yo/en/beirut,2025-05-07 01:01:15,success,
35,belfast,https://glosbe.com/yo/en/belfast,2025-05-07 01:06:17,success,
36,Belgium,https://glosbe.com/yo/en/Belgium,2025-05-07 01:04:20,success,
37,belgrade,https://glosbe.com/yo/en/belgrade,2025-05-07 01:15:22,success,
38,benin,https://glosbe.com/yo/en/benin,2025-05-07 01:07:28,success,
39,Benin,https://glosbe.com/yo/en/Benin,2025-05-07 01:23:14,success,
40,Benin City,https://glosbe.com/yo/en/Benin%20City,2025-05-07 01:01:25,success,
41,berkelium,https://glosbe.com/yo/en/berkelium,2025-05-07 01:15:57,success,
42,Berlin,https://glosbe.com/yo/en/Berlin,2025-05-07 00:59:04,success,
43,berlin,https://glosbe.com/yo/en/berlin,2025-05-07 01:06:59,success,
44,berne,https://glosbe.com/yo/en/berne,2025-05-07 01:08:28,success,
45,beryllium,https://glosbe.com/yo/en/beryllium,2025-05-07 01:03:39,success,
46,Beryllium,https://glosbe.com/yo/en/Beryllium,2025-05-07 01:11:02,success,
47,bhùtán,https://glosbe.com/yo/en/bh%C3%B9t%C3%A1n,2025-05-07 01:01:07,success,
48,"Bi aba ri aga ifi okan bale eyi ti awon alagbara aye ti fi agbara pelu etan gba lo lowo re, owo agbara Igbani eyi to sawari ake tobo sinu odo jade!",https://glosbe.com/yo/en/Bi%20aba%20ri%20aga%20ifi%20okan%20bale%20eyi%20ti%20awon%20alagbara%20aye%20ti%20fi%20agbara%20pelu%20etan%20gba%20lo%20lowo%20re%2C%20owo%20agbara%20Igbani%20eyi%20to%20sawari%20ake%20tobo%20sinu%20odo%20jade%21,2025-05-07 01:11:31,success,
49,Bi Bo̩]],https://glosbe.com/yo/en/Bi%20Bo%CC%A9%5D%5D,2025-05-07 01:14:13,success,
50,bi lérè,https://glosbe.com/yo/en/bi%20l%C3%A9r%C3%A8,2025-05-07 01:17:07,success,
51,Biafra,https://glosbe.com/yo/en/Biafra,2025-05-07 01:24:40,success,
52,billfold,https://glosbe.com/yo/en/billfold,2025-05-07 01:19:53,success,
53,binu,https://glosbe.com/yo/en/binu,2025-05-07 01:03:49,success,
54,Biochemistry,https://glosbe.com/yo/en/Biochemistry,2025-05-07 01:18:43,success,
55,biribiri,https://glosbe.com/yo/en/biribiri,2025-05-07 01:14:27,success,
56,bismuth,https://glosbe.com/yo/en/bismuth,2025-05-07 01:05:32,success,
57,Bismuth,https://glosbe.com/yo/en/Bismuth,2025-05-07 01:25:14,success,
58,bissau,https://glosbe.com/yo/en/bissau,2025-05-07 01:11:48,success,
59,bloemfontein,https://glosbe.com/yo/en/bloemfontein,2025-05-07 01:21:43,success,
60,Blu-ray Disc,https://glosbe.com/yo/en/Blu-ray%20Disc,2025-05-07 01:03:05,success,
61,blu-ray Disc,https://glosbe.com/yo/en/blu-ray%20Disc,2025-05-07 01:16:51,success,
62,Bluetooth,https://glosbe.com/yo/en/Bluetooth,2025-05-07 01:08:35,success,
63,Bob Dylan,https://glosbe.com/yo/en/Bob%20Dylan,2025-05-07 01:12:08,success,
64,Bob Marley,https://glosbe.com/yo/en/Bob%20Marley,2025-05-07 01:04:03,success,
65,bohemia,https://glosbe.com/yo/en/bohemia,2025-05-07 01:21:14,success,
66,Bohriomu,https://glosbe.com/yo/en/Bohriomu,2025-05-07 01:07:06,success,
67,bohrium,https://glosbe.com/yo/en/bohrium,2025-05-07 01:20:25,success,
68,Boliviano,https://glosbe.com/yo/en/Boliviano,2025-05-07 01:06:09,success,
69,Boron,https://glosbe.com/yo/en/Boron,2025-05-07 01:19:39,success,
70,boron,https://glosbe.com/yo/en/boron,2025-05-07 01:20:34,success,
71,borí,https://glosbe.com/yo/en/bor%C3%AD,2025-05-07 01:25:42,success,
72,boston,https://glosbe.com/yo/en/boston,2025-05-07 01:04:35,success,
73,Botswana,https://glosbe.com/yo/en/Botswana,2025-05-07 01:09:07,success,
74,bps,https://glosbe.com/yo/en/bps,2025-05-07 01:05:00,success,
75,brasil,https://glosbe.com/yo/en/brasil,2025-05-07 01:03:13,success,
76,Brasil,https://glosbe.com/yo/en/Brasil,2025-05-07 01:15:14,success,
77,bratislava,https://glosbe.com/yo/en/bratislava,2025-05-07 01:18:34,success,
78,brazzaville,https://glosbe.com/yo/en/brazzaville,2025-05-07 01:11:17,success,
79,bremen,https://glosbe.com/yo/en/bremen,2025-05-07 01:05:59,success,
80,bristol,https://glosbe.com/yo/en/bristol,2025-05-07 01:13:13,success,
81,bromine,https://glosbe.com/yo/en/bromine,2025-05-07 01:00:24,success,
82,Bromine,https://glosbe.com/yo/en/Bromine,2025-05-07 01:04:53,success,
83,brunei,https://glosbe.com/yo/en/brunei,2025-05-07 01:09:33,success,
84,bu jẹ,https://glosbe.com/yo/en/bu%20j%E1%BA%B9,2025-05-07 01:21:29,success,
85,bucharest,https://glosbe.com/yo/en/bucharest,2025-05-07 01:20:16,success,
86,budapest,https://glosbe.com/yo/en/budapest,2025-05-07 01:03:25,success,
87,buddhism,https://glosbe.com/yo/en/buddhism,2025-05-07 01:04:09,success,
88,bujumbura,https://glosbe.com/yo/en/bujumbura,2025-05-07 01:07:55,success,
89,Burkina Faso,https://glosbe.com/yo/en/Burkina%20Faso,2025-05-07 01:11:37,success,
90,Burundi,https://glosbe.com/yo/en/Burundi,2025-05-07 01:19:45,success,
91,burú,https://glosbe.com/yo/en/bur%C3%BA,2025-05-07 01:10:32,success,
92,burúkú,https://glosbe.com/yo/en/bur%C3%BAk%C3%BA,2025-05-07 01:05:49,success,
93,bà,https://glosbe.com/yo/en/b%C3%A0,2025-05-07 01:01:20,success,
94,bàbà,https://glosbe.com/yo/en/b%C3%A0b%C3%A0,2025-05-07 01:23:07,success,
95,Bàbàowó,https://glosbe.com/yo/en/B%C3%A0b%C3%A0ow%C3%B3,2025-05-07 01:00:00,success,
96,bàbàowó kobóàkàngbà,https://glosbe.com/yo/en/b%C3%A0b%C3%A0ow%C3%B3%20kob%C3%B3%C3%A0k%C3%A0ngb%C3%A0,2025-05-07 01:15:30,success,
97,bàbàowó kọbọ́àkàngbà,https://glosbe.com/yo/en/b%C3%A0b%C3%A0ow%C3%B3%20k%E1%BB%8Db%E1%BB%8D%CC%81%C3%A0k%C3%A0ngb%C3%A0,2025-05-07 01:11:11,success,
98,bàbá,https://glosbe.com/yo/en/b%C3%A0b%C3%A1,2025-05-07 01:00:38,success,
99,bàbá arúgbó,https://glosbe.com/yo/en/b%C3%A0b%C3%A1%20ar%C3%BAgb%C3%B3,2025-05-07 01:04:48,success,
100,bàbá bàbá,https://glosbe.com/yo/en/b%C3%A0b%C3%A1%20b%C3%A0b%C3%A1,2025-05-07 01:14:59,success,
101,bàbá àgbà,https://glosbe.com/yo/en/b%C3%A0b%C3%A1%20%C3%A0gb%C3%A0,2025-05-07 01:22:55,success,
102,bàbá ìyá,https://glosbe.com/yo/en/b%C3%A0b%C3%A1%20%C3%ACy%C3%A1,2025-05-07 01:16:42,success,
103,bàbáàgbà,https://glosbe.com/yo/en/b%C3%A0b%C3%A1%C3%A0gb%C3%A0,2025-05-07 00:59:20,success,
104,bàbáńlá,https://glosbe.com/yo/en/b%C3%A0b%C3%A1%C5%84l%C3%A1,2025-05-07 01:07:46,success,
105,Bàdágìrì,https://glosbe.com/yo/en/B%C3%A0d%C3%A1g%C3%ACr%C3%AC,2025-05-07 01:13:05,success,
106,bàlúù,https://glosbe.com/yo/en/b%C3%A0l%C3%BA%C3%B9,2025-05-07 01:09:56,success,
107,bàrà,https://glosbe.com/yo/en/b%C3%A0r%C3%A0,2025-05-07 01:16:20,success,
108,bàtà,https://glosbe.com/yo/en/b%C3%A0t%C3%A0,2025-05-07 01:17:35,success,
109,bàtà eré,https://glosbe.com/yo/en/b%C3%A0t%C3%A0%20er%C3%A9,2025-05-07 01:24:12,success,
