id,word,url,scrape_time,status,error
1,e,https://glosbe.com/yo/en/e,2025-05-08 04:41:49,success,
2,E ku odun keresimesi,https://glosbe.com/yo/en/E%20ku%20odun%20keresimesi,2025-05-08 04:51:32,success,
3,e se,https://glosbe.com/yo/en/e%20se,2025-05-08 04:25:58,success,
4,ebà,https://glosbe.com/yo/en/eba%CC%80,2025-05-08 05:06:22,failed,Status code: 404
5,ebè,https://glosbe.com/yo/en/ebe%CC%80,2025-05-08 04:59:01,success,
6,ebi,https://glosbe.com/yo/en/ebi,2025-05-08 04:54:09,success,
7,ebí,https://glosbe.com/yo/en/ebi%CC%81,2025-05-08 04:54:55,success,
8,ecaro,https://glosbe.com/yo/en/ecaro,2025-05-08 05:06:07,success,
9,Ede Greeki,https://glosbe.com/yo/en/Ede%20Greeki,2025-05-08 04:53:31,success,
10,Ede Latini,https://glosbe.com/yo/en/Ede%20Latini,2025-05-08 04:55:32,success,
11,ede Yorùbá,https://glosbe.com/yo/en/ede%20Yoru%CC%80ba%CC%81,2025-05-08 04:52:21,failed,Status code: 404
12,Eedu,https://glosbe.com/yo/en/Eedu,2025-05-08 04:25:39,success,
13,eegun,https://glosbe.com/yo/en/eegun,2025-05-08 05:00:33,success,
14,eèré,https://glosbe.com/yo/en/ee%CC%80re%CC%81,2025-05-08 04:46:39,failed,Status code: 404
15,eégbo̩n,https://glosbe.com/yo/en/ee%CC%81gbo%CC%A9n,2025-05-08 05:02:52,success,
16,eéjì,https://glosbe.com/yo/en/ee%CC%81ji%CC%80,2025-05-08 04:49:23,success,
17,eéru,https://glosbe.com/yo/en/ee%CC%81ru,2025-05-08 04:47:09,failed,Status code: 404
18,eérú,https://glosbe.com/yo/en/ee%CC%81ru%CC%81,2025-05-08 04:26:10,success,
19,eéwo,https://glosbe.com/yo/en/ee%CC%81wo,2025-05-08 04:29:24,success,
20,efinrin,https://glosbe.com/yo/en/efinrin,2025-05-08 04:35:57,success,
21,efirin,https://glosbe.com/yo/en/efirin,2025-05-08 04:53:12,success,
22,efun,https://glosbe.com/yo/en/efun,2025-05-08 04:34:05,success,
23,Egbe Omo Oduduwa,https://glosbe.com/yo/en/Egbe%20Omo%20Oduduwa,2025-05-08 04:34:20,success,
