id,word,url,scrape_time,status,error
1,f ràn,https://glosbe.com/yo/en/f%20r%C3%A0n,2025-05-08 07:47:47,success,
2,fa,https://glosbe.com/yo/en/fa,2025-05-08 07:57:45,success,
3,fajúro,https://glosbe.com/yo/en/faj%C3%BAro,2025-05-08 07:50:29,success,
4,falkland islands,https://glosbe.com/yo/en/falkland%20islands,2025-05-08 07:44:18,success,
5,farahàn,https://glosbe.com/yo/en/farah%C3%A0n,2025-05-08 07:52:29,success,
6,Faransé,https://glosbe.com/yo/en/Farans%C3%A9,2025-05-08 07:49:05,success,
7,farasin,https://glosbe.com/yo/en/farasin,2025-05-08 07:37:22,success,
8,farm,https://glosbe.com/yo/en/farm,2025-05-08 07:47:32,success,
9,February,https://glosbe.com/yo/en/February,2025-05-08 07:38:07,success,
10,Fela Kuti,https://glosbe.com/yo/en/Fela%20Kuti,2025-05-08 07:38:42,success,
11,fermium,https://glosbe.com/yo/en/fermium,2025-05-08 07:53:55,success,
12,Fermont,https://glosbe.com/yo/en/Fermont,2025-05-08 07:54:12,success,
13,fi agbára gbàgbámúmú ní ipá,https://glosbe.com/yo/en/fi%20agb%C3%A1ra%20gb%C3%A0gb%C3%A1m%C3%BAm%C3%BA%20n%C3%AD%20ip%C3%A1,2025-05-08 07:49:00,success,
14,fi ahôn lá,https://glosbe.com/yo/en/fi%20ah%C3%B4n%20l%C3%A1,2025-05-08 07:53:00,success,
15,fi détà pamọ́,https://glosbe.com/yo/en/fi%20d%C3%A9t%C3%A0%20pam%E1%BB%8D%CC%81,2025-05-08 07:56:40,success,
16,fi enu konu,https://glosbe.com/yo/en/fi%20enu%20konu,2025-05-08 07:41:05,success,
17,fi fún,https://glosbe.com/yo/en/fi%20f%C3%BAn,2025-05-08 07:57:22,success,
18,fi jíýkí,https://glosbe.com/yo/en/fi%20j%C3%AD%C3%BDk%C3%AD,2025-05-08 07:54:53,success,
19,fi kún,https://glosbe.com/yo/en/fi%20k%C3%BAn,2025-05-08 07:38:16,success,
20,fi ohùn sí,https://glosbe.com/yo/en/fi%20oh%C3%B9n%20s%C3%AD,2025-05-08 07:43:01,success,
21,fi pa,https://glosbe.com/yo/en/fi%20pa,2025-05-08 07:39:18,success,
22,fi sí,https://glosbe.com/yo/en/fi%20s%C3%AD,2025-05-08 07:48:12,success,
23,fi sílẹ̀,https://glosbe.com/yo/en/fi%20s%C3%ADl%E1%BA%B9%CC%80,2025-05-08 07:53:25,success,
24,fi wé,https://glosbe.com/yo/en/fi%20w%C3%A9,2025-05-08 07:53:34,success,
25,fi wéwuwú léwu,https://glosbe.com/yo/en/fi%20w%C3%A9wuw%C3%BA%20l%C3%A9wu,2025-05-08 07:57:08,success,
26,fi ìlà kùn,https://glosbe.com/yo/en/fi%20%C3%ACl%C3%A0%20k%C3%B9n,2025-05-08 07:58:03,success,
27,Fi Ìwé-iṣẹ́ Hàn Kiri,https://glosbe.com/yo/en/Fi%20%C3%8Cw%C3%A9-i%E1%B9%A3%E1%BA%B9%CC%81%20H%C3%A0n%20Kiri,2025-05-08 07:51:09,success,
28,fi ṣọwó,https://glosbe.com/yo/en/fi%20%E1%B9%A3%E1%BB%8Dw%C3%B3,2025-05-08 07:39:12,success,
29,fi-bú,https://glosbe.com/yo/en/fi-b%C3%BA,2025-05-08 07:50:13,success,
30,fi-kàn,https://glosbe.com/yo/en/fi-k%C3%A0n,2025-05-08 07:55:41,success,
31,fi-sí,https://glosbe.com/yo/en/fi-s%C3%AD,2025-05-08 07:39:55,success,
32,fibọ̀,https://glosbe.com/yo/en/fib%E1%BB%8D%CC%80,2025-05-08 07:43:19,success,
33,fihàn nígbangba,https://glosbe.com/yo/en/fih%C3%A0n%20n%C3%ADgbangba,2025-05-08 07:46:03,success,
34,fiimu,https://glosbe.com/yo/en/fiimu,2025-05-08 07:56:45,success,
35,fikún,https://glosbe.com/yo/en/fik%C3%BAn,2025-05-08 07:44:35,success,
36,Filipínì,https://glosbe.com/yo/en/Filip%C3%ADn%C3%AC,2025-05-08 07:40:19,success,
37,filipínì,https://glosbe.com/yo/en/filip%C3%ADn%C3%AC,2025-05-08 07:41:56,success,
38,Film Grain,https://glosbe.com/yo/en/Film%20Grain,2025-05-08 07:44:50,success,
39,fipá báni lò pọ̀,https://glosbe.com/yo/en/fip%C3%A1%20b%C3%A1ni%20l%C3%B2%20p%E1%BB%8D%CC%80,2025-05-08 07:49:27,success,
40,fisi,https://glosbe.com/yo/en/fisi,2025-05-08 07:41:30,success,
41,fisùn,https://glosbe.com/yo/en/fis%C3%B9n,2025-05-08 07:58:25,success,
42,Flerovium,https://glosbe.com/yo/en/Flerovium,2025-05-08 07:48:32,success,
43,florida,https://glosbe.com/yo/en/florida,2025-05-08 07:37:47,success,
44,fluorínì,https://glosbe.com/yo/en/fluor%C3%ADn%C3%AC,2025-05-08 07:48:42,success,
45,Fluorínì,https://glosbe.com/yo/en/Fluor%C3%ADn%C3%AC,2025-05-08 07:50:45,success,
46,Fly Out,https://glosbe.com/yo/en/Fly%20Out,2025-05-08 07:51:46,success,
47,flẹ́rófíọ́mù,https://glosbe.com/yo/en/fl%E1%BA%B9%CC%81r%C3%B3f%C3%AD%E1%BB%8D%CC%81m%C3%B9,2025-05-08 07:44:59,success,
48,fojú inú wò,https://glosbe.com/yo/en/foj%C3%BA%20in%C3%BA%20w%C3%B2,2025-05-08 07:54:43,success,
49,forukọsilẹ,https://glosbe.com/yo/en/foruk%E1%BB%8Dsil%E1%BA%B9,2025-05-08 07:43:51,success,
50,francium,https://glosbe.com/yo/en/francium,2025-05-08 07:54:26,success,
51,Fransi,https://glosbe.com/yo/en/Fransi,2025-05-08 07:46:39,success,
52,fránsì,https://glosbe.com/yo/en/fr%C3%A1ns%C3%AC,2025-05-08 07:48:50,success,
53,Fránsì,https://glosbe.com/yo/en/Fr%C3%A1ns%C3%AC,2025-05-08 07:51:39,success,
54,Fránsíọ̀m,https://glosbe.com/yo/en/Fr%C3%A1ns%C3%AD%E1%BB%8D%CC%80m,2025-05-08 07:57:37,success,
55,frí,https://glosbe.com/yo/en/fr%C3%AD,2025-05-08 07:37:37,success,
56,Fuel oil,https://glosbe.com/yo/en/Fuel%20oil,2025-05-08 07:49:55,success,
57,funchal,https://glosbe.com/yo/en/funchal,2025-05-08 07:39:24,success,
58,funfun,https://glosbe.com/yo/en/funfun,2025-05-08 07:51:54,success,
59,funfun bí ẹ̀gbọ̀n òwú,https://glosbe.com/yo/en/funfun%20b%C3%AD%20%E1%BA%B9%CC%80gb%E1%BB%8D%CC%80n%20%C3%B2w%C3%BA,2025-05-08 07:50:52,success,
60,furigana,https://glosbe.com/yo/en/furigana,2025-05-08 07:45:07,success,
61,Fàdákà,https://glosbe.com/yo/en/F%C3%A0d%C3%A1k%C3%A0,2025-05-08 07:40:34,success,
62,fàdákà,https://glosbe.com/yo/en/f%C3%A0d%C3%A1k%C3%A0,2025-05-08 07:51:31,success,
63,Fàdákàolómi,https://glosbe.com/yo/en/F%C3%A0d%C3%A1k%C3%A0ol%C3%B3mi,2025-05-08 07:56:11,success,
64,fàmu,https://glosbe.com/yo/en/f%C3%A0mu,2025-05-08 07:54:18,success,
65,fàyaya,https://glosbe.com/yo/en/f%C3%A0yaya,2025-05-08 07:38:00,success,
66,fàájì,https://glosbe.com/yo/en/f%C3%A0%C3%A1j%C3%AC,2025-05-08 07:39:31,success,
67,Fàájì,https://glosbe.com/yo/en/F%C3%A0%C3%A1j%C3%AC,2025-05-08 07:48:26,success,
68,fáráò,https://glosbe.com/yo/en/f%C3%A1r%C3%A1%C3%B2,2025-05-08 07:43:25,success,
69,fárífárí,https://glosbe.com/yo/en/f%C3%A1r%C3%ADf%C3%A1r%C3%AD,2025-05-08 07:56:24,success,
70,fáwẹ́lì,https://glosbe.com/yo/en/f%C3%A1w%E1%BA%B9%CC%81l%C3%AC,2025-05-08 07:45:53,success,
71,fáwẹ́lì aránmúpè,https://glosbe.com/yo/en/f%C3%A1w%E1%BA%B9%CC%81l%C3%AC%20ar%C3%A1nm%C3%BAp%C3%A8,2025-05-08 07:44:41,success,
72,fáwẹ́lì àìránmúpè,https://glosbe.com/yo/en/f%C3%A1w%E1%BA%B9%CC%81l%C3%AC%20%C3%A0%C3%ACr%C3%A1nm%C3%BAp%C3%A8,2025-05-08 07:54:59,success,
73,fáàrí,https://glosbe.com/yo/en/f%C3%A1%C3%A0r%C3%AD,2025-05-08 07:53:08,success,
74,fáìlì,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC,2025-05-08 07:47:23,success,
75,fáìlì abèjì,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20ab%C3%A8j%C3%AC,2025-05-08 07:43:11,success,
76,fáìlì aṣatóka,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20a%E1%B9%A3at%C3%B3ka,2025-05-08 07:56:33,success,
77,fáìlì aṣàkóónú mìíràn,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20a%E1%B9%A3%C3%A0k%C3%B3%C3%B3n%C3%BA%20m%C3%AC%C3%ADr%C3%A0n,2025-05-08 07:50:21,success,
78,Fáìlì aṣèbátan détà Office,https://glosbe.com/yo/en/F%C3%A1%C3%ACl%C3%AC%20a%E1%B9%A3%C3%A8b%C3%A1tan%20d%C3%A9t%C3%A0%20Office,2025-05-08 07:56:52,success,
79,fáìlì détà àkùnàyàn,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20d%C3%A9t%C3%A0%20%C3%A0k%C3%B9n%C3%A0y%C3%A0n,2025-05-08 07:39:49,success,
80,fáìlì iṣẹ́ àkànṣe,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20i%E1%B9%A3%E1%BA%B9%CC%81%20%C3%A0k%C3%A0n%E1%B9%A3e,2025-05-08 07:39:06,success,
81,fáìlì kà-mí,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20k%C3%A0-m%C3%AD,2025-05-08 07:51:02,success,
82,fáìlì mídíà,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20m%C3%ADd%C3%AD%C3%A0,2025-05-08 07:54:05,success,
83,fáìlì ojú-ìwé,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20oj%C3%BA-%C3%ACw%C3%A9,2025-05-08 07:42:01,success,
84,fáìlì orísun,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20or%C3%ADsun,2025-05-08 07:38:36,success,
85,fáìlì àkọsílẹ̀ ìṣe,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20%C3%A0k%E1%BB%8Ds%C3%ADl%E1%BA%B9%CC%80%20%C3%AC%E1%B9%A3e,2025-05-08 07:38:49,success,
86,fáìlì àyẹ̀wò,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20%C3%A0y%E1%BA%B9%CC%80w%C3%B2,2025-05-08 07:40:58,success,
87,fáìlì èbúté,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20%C3%A8b%C3%BAt%C3%A9,2025-05-08 07:55:25,success,
88,fáìlì ìforúkọsílẹ̀,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20%C3%ACfor%C3%BAk%E1%BB%8Ds%C3%ADl%E1%BA%B9%CC%80,2025-05-08 07:47:52,success,
89,fáìlì ìpààrọ̀ (ètò),https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20%C3%ACp%C3%A0%C3%A0r%E1%BB%8D%CC%80%20%28%C3%A8t%C3%B2%29,2025-05-08 07:47:10,success,
90,fáìlì ẹ̀dà àbọ̀-ábá,https://glosbe.com/yo/en/f%C3%A1%C3%ACl%C3%AC%20%E1%BA%B9%CC%80d%C3%A0%20%C3%A0b%E1%BB%8D%CC%80-%C3%A1b%C3%A1,2025-05-08 07:37:54,success,
91,fèrè,https://glosbe.com/yo/en/f%C3%A8r%C3%A8,2025-05-08 07:38:57,success,
92,fèrè ológun,https://glosbe.com/yo/en/f%C3%A8r%C3%A8%20ol%C3%B3gun,2025-05-08 07:50:36,success,
93,fèrè ìfiyèsí,https://glosbe.com/yo/en/f%C3%A8r%C3%A8%20%C3%ACfiy%C3%A8s%C3%AD,2025-05-08 07:42:46,success,
94,fèrèsé,https://glosbe.com/yo/en/f%C3%A8r%C3%A8s%C3%A9,2025-05-08 07:40:04,success,
95,fèrèséojú afè̩fè̩,https://glosbe.com/yo/en/f%C3%A8r%C3%A8s%C3%A9oj%C3%BA%20af%C3%A8%CC%A9f%C3%A8%CC%A9,2025-05-08 07:58:11,success,
96,fèsì,https://glosbe.com/yo/en/f%C3%A8s%C3%AC,2025-05-08 07:57:02,success,
97,férèmù,https://glosbe.com/yo/en/f%C3%A9r%C3%A8m%C3%B9,2025-05-08 07:46:45,success,
98,férémù,https://glosbe.com/yo/en/f%C3%A9r%C3%A9m%C3%B9,2025-05-08 07:46:12,success,
99,férémù wúnrẹ̀n aláìlótèé,https://glosbe.com/yo/en/f%C3%A9r%C3%A9m%C3%B9%20w%C3%BAnr%E1%BA%B9%CC%80n%20al%C3%A1%C3%ACl%C3%B3t%C3%A8%C3%A9,2025-05-08 07:44:26,success,
100,férémù àso-ohun-pọ̀,https://glosbe.com/yo/en/f%C3%A9r%C3%A9m%C3%B9%20%C3%A0so-ohun-p%E1%BB%8D%CC%80,2025-05-08 07:41:17,success,
101,férémù ọ̀rọ̀-ìkọ,https://glosbe.com/yo/en/f%C3%A9r%C3%A9m%C3%B9%20%E1%BB%8D%CC%80r%E1%BB%8D%CC%80-%C3%ACk%E1%BB%8D,2025-05-08 07:44:08,success,
102,fìlà,https://glosbe.com/yo/en/f%C3%ACl%C3%A0,2025-05-08 07:37:16,success,
103,fìlà abetí ajá,https://glosbe.com/yo/en/f%C3%ACl%C3%A0%20abet%C3%AD%20aj%C3%A1,2025-05-08 07:57:55,success,
