id,translation_id,word_id,yoruba_text,english_text,is_jw_reference,confidence,source,score
1,1.0,1,Karen ń fẹ́ ọ̀dọ́mọkùnrin kan sọ́nà tó ṣe bí ẹni tó ń lépa à wọn ohun tẹ̀mí tó ga.,Karen was dating a young man with seeminglyhighspiritual goals.,False,high,html,0
2,,1,"Ará kùnrin Swingle fi kún ọ̀rọ̀ rẹ̀ pé: “Wíwá síhìn-ín lá ti wá kẹ́kọ̀ọ́ a máa sọni di onírẹ̀lẹ̀. Ìgbà tí ẹ óò bá sì kúrò níhìn-ín, a óò ti túbọ̀ mú yín gbá ra dì lá ti gbé Jèhófà ga.”","“It is a humbling experience to come here and spend time listening to instruction,” Brother Swingle said, adding: “You go away from here much better equipped tomagnify Jehovah.”",True,high,html,0
3,,1,"Nípa mímú èrò òdì yìí dà gbà, ó bẹ̀rẹ̀ sí bá Jèhófà díje, ẹni tó jẹ́ pé gẹ́gẹ́ bí Ẹlẹ́dàá, òun ló wà ní ipò tó gajù lọ.","By nurturing this wrong desire, he set himself up in rivalry to Jehovah, who as Creator rightfully holds a position of overallsupremacy.",True,high,html,0
4,,1,"Pẹ̀lú ìdà àmú ọkàn tó gató bá a ní òru ọjọ́ tó lò kẹ́yìn lá yé, tún wo bí wọ́n ṣe já a kulẹ̀, tí wọ́n sì fi ìwọ̀sí lọ̀ ọ́.","In addition to the extreme mental stress that he was under on his final night, consider the disappointment he must have felt and the humiliation he suffered.",False,high,html,0
5,,1,7 Ọgbọ́n tòótọ́gaju ohun tí ọwọ́ òmùgọ̀ lè tẹ̀;+,7 Truewisdomis unattainable for a fool;+,False,high,html,0
6,,1,"Ìyẹn ló fà á tó fi jẹ́ pé, nígbà tó fi máa pé ọmọ ọdún mẹ́jọ, kògaju ẹsẹ̀ bà tà méjì à ti à à bọ̀ lọ.","Consequently, at eight years of age, she was only 30 inches (75 cm) tall.",False,high,html,0
7,,1,"Ò kọ̀wé pé: “Ẹni tí ó ti òkè wá gaju gbogbo à wọn yòókù lọ,” à ti pé: “Ẹni tí ó ti ọ̀run wá gaju gbogbo à wọn yòókù lọ.","“He that comes from above is over all others,” he wrote, and: “He that comes from heaven is over all others.",False,high,html,0
8,,1,"Jehofagalọ́lá, ó sì jẹ́ alá gb ára, síbẹ̀, ó ń tẹ́tí sí à dúrà wa!","Jehovahissogreatand powerful, yet he listens to our prayers!",True,high,html,0
9,,1,"9:6; Luku 6:38) Baba wa ọ̀run, Jehofa, ẹni tí ó “nífẹ̀ẹ́ olùfúnni ọlọ́yà yà,” ni Olóore wa tí ógajù lọ.","9:6; Luke 6:38) Ourgreatest Benefactor is our heavenly Father, Jehovah, who “loves a cheerful giver.”",True,high,html,0
10,,1,"Ọgọ́rọ̀ọ̀rún ṣọ́ọ̀bù kéékèèké, ìsọ̀ à tà wọn tó pà tẹ ọjà wọn sílẹ̀ ló tò lọ sójú ọ̀nà: oríṣiríṣi ata gígún tó gagèlèmọ̀ nínú bà síà, apẹ̀rẹ̀ tòmá tì tó ti pọ́n, igbá ilá, à wọn tó ń ta rédíò, agboòrùn, ọṣẹ ìfọṣọ, wíìgì obìnrin, à wọn nǹkan ìdá ná à tà wọn à lòkù bà tà à ti aṣọ ló wà lọ́jà náà.","Hundreds of stalls and vendors line the streets with their goods: heaps of red and green chilies, baskets of ripe tomatoes, mounds of okra, as well as radios, umbrellas, bars of soap, wigs, cooking utensils, and piles of secondhand shoes and clothes.",False,high,html,0
11,,1,Àwọn orin tí Dá fídì kọ gbé Jèhófà gagan-an pé òun ni Ọlọ́run tòótọ́ tó yẹ ká fi gbogbo ọkàn wa gbẹ́kẹ̀ lé!,"How beautifully David's song portrays Jehovahas the true God, worthy of our implicit trust!",True,high,html,0
12,1.0,1,"Ọkùnrin ajẹ́jẹ̀ẹ́ à nìkà ngbé tí mo ń ṣiṣẹ́ fún ni Chuon Nat, alá ṣẹ tí ógajù lọ nínú ìsìn Búdà ní Cambodia nígbà náà.","The monk I served was Chuon Nat, thehighest Buddhist authority in Cambodia at that time.",False,high,html,0
13,,1,"(1 Timoteu 3: 8-10, 12, 13) A kò gbé à wọn ọkùnrin wọ̀nyígaju à wọn yòókù nínú ìjọ lọ.","(1 Timothy 3:8-10, 12, 13) These men are notelevated abovethe rest of the congregation.",True,high,html,0
14,,1,"Lọ́dún 1996, ń ṣe ni iye à wọn tó ti lé lẹ́ni ọdún má rùnlélọ́gọ́ta tó gbẹ̀mí ara wọn fi ìpín mẹ́sàn-án nínú ọgọ́rùn-ún pọ̀ sí i, èyí sì ni ìgbà à kọ́kọ́ tó gató bẹ́ẹ̀ lá àárín ogójì ọdún.","In 1996 the actual rate of suicide among those over 65 also went up, by 9 percent, for the first time in 40 years.",False,high,html,0
15,,1,Ó ní Jóòbù ń gbéraga(7-9),Calls Job presumptuous (7-9),False,high,html,0
16,,1,Àwọn èèyàn Ọlọ́run ń fi ohun à múṣọrọ̀ lá ti inú à wọn orílẹ̀-èdè gbé ìjọsìn mímọ́ga,God's people use valuable resources from the nations toadvancepure worship,False,high,html,0
17,,1,"Ká jẹ́ kó dá wa lójú pé, kódà bí ògiri ọgbà ẹ̀wọ̀n bá gadé ọ̀run tà bí tí wọ́n tiẹ̀ jù wá sínú à jà ilẹ̀, Jèhófà, Baba wa onífẹ̀ẹ́ máa gbọ́ à dúrà wa, kò sì ògiri tà bí à jà ilẹ̀ náà tó lè yà wá kúrò lá àárín ẹgbẹ́ ará wa.","Remember, not even prison walls or solitary confinement can cut off our communication with our loving heavenly Father or disrupt the unity we have with fellow worshippers.",True,high,html,0
18,,1,"(2 Pétérù 1:20, 21) Àbí kẹ̀ níto rí bí à wọn ọ̀rọ̀ inú Bíbélì ṣe wà ní ìṣọ̀kan lọ́nà tó gani, bó tilẹ̀ jẹ́ pé ó gba ogójì ọkùnrin ní ohun tó ju ẹgbẹ̀jọ ọdún [1,600] lọ lá ti kọ ọ́?","(2 Peter 1:20, 21) Is it perhaps that the Bible displayswonderfulinternal harmony, although written down by 40 men over a period of some 1,600 years?",True,high,html,0
19,,1,Ṣé ìyẹn ò nígaọ́ lá ra ṣá?,Can youaffordthat?,False,high,html,0
20,,1,"Bó ṣe ń gbéraga, tó ń yangàn, tó sì ń bínú;+",His haughtiness and his pride and his fury;+,False,high,html,0
21,1.0,1,Ọmọdekunrin ọlọdun marun-un kan fi ọrẹ kekere kan ranṣẹ eyi ti oun lero pe yoo ra 'agolo ẹja tuna kan ti ogadé ofuurufu fun awọn ara ni Russia.',A five-year-old boy sent a small contribution that he hoped would buy 'a tin of tuna ashighas the sky for the brothers in Russia.',False,high,html,0
22,,1,"Ǹjẹ́ kò yẹ kí à wọn Kristẹni alá bòójútó lóde òní bẹ̀rù Jèhófà, kí wọ́n ṣègbọràn sí à wọn òfin rẹ̀, kí wọ́n yẹra fún gbígbé ara wọngalórí à wọn ará kùnrin wọn, kí wọ́n má sì yà kúrò nínú à wọn à ṣẹ Jèhófà?","Do not Christian overseers today need to fear Jehovah, obey his laws, refrain fromexaltingthemselves above their brothers, and avoid deviating from Jehovah's commandments?",True,high,html,0
23,,1,Kò fìgbà kan gbé ara rẹ̀galá ti lè rẹ à wọn ẹlòmíràn sílẹ̀ tà bí lá ti lè tẹ́ wọn.,Never did heaggrandizehimself at the expense of others or by putting them down.,False,high,html,0
24,,1,"(Ìṣípayá 22:1, 2) Áà, iṣẹ́ à lùf áà tí wọn yóò ṣe yìí galọ́lá o!","(Revelation 22:1, 2) What awonderfulpriestly service that is!",False,high,html,0
25,,1,"Ní ìhà ìwọ̀ oòrùn Kibo ni Shira wà, tí ó jẹ́ à wókù òkè ayọná yèéfín ìgbà anì kan, tí afẹ́fẹ́ à ti omi ti ṣàn lọ, tí ń kóra jọ di òkè títẹ́jú pẹrẹsẹ, ti ilẹ̀ tí kò lẹ́tù lójú, tí óganí ìwọ̀n 4,000 mítà lókè ìtẹ́jú òkun nísinsìnyí.","To the west of Kibo lies Shira, which is the collapsed remains of an ancient volcano long since eroded by wind and water, now forming a breathtaking moorland plateau 13,000feet[4,000 m] above sea level.",False,high,html,0
26,,1,"Ìṣubú Íjíbítì, igi kédá rì tó gafíofío (1-18)","The fall of Egypt, theloftycedar (1-18)",False,high,html,0
27,,1,gbé ga,promote,False,high,similar_phrase,0
28,,1,gbé-ga,magnify,False,high,similar_phrase,0
29,1.0,1,Karen ń fẹ́ ọ̀dọ́mọkùnrin kan sọ́nà tó ṣe bí ẹni tó ń lépa àwọn ohun tẹ̀mí tóga,Karen was dating a young man with seeminglyhighspiritual goals.,False,low,short_word,0
30,,1,"Nípa mímú èrò òdì yìí dàgbà, ó bẹ̀rẹ̀ sí bá Jèhófà díje, ẹni tó jẹ́ pé gẹ́gẹ́ bí Ẹlẹ́dàá, òun ló wà ní ipò tógajù lọ","By nurturing this wrong desire, he set himself up in rivalry to Jehovah, who as Creator rightfully holds a position of overallsupremacy.",False,low,short_word,0
31,,1,"Pẹ̀lú ìdààmú ọkàn tógató bá a ní òru ọjọ́ tó lò kẹ́yìn láyé, tún wo bí wọ́n ṣe já a kulẹ̀, tí wọ́n sì fi ìwọ̀sí lọ̀ ọ́",7 Ọgbọ́n tòótọ́gaju ohun tí ọwọ́ òmùgọ̀ lè tẹ̀;+7 Truewisdomis unattainable for a fool;+jw2019,False,low,short_word,0
32,,1,"Pẹ̀lú ìdààmú ọkàn tógató bá a ní òru ọjọ́ tó lò kẹ́yìn láyé, tún wo bí wọ́n ṣe já a kulẹ̀, tí wọ́n sì fi ìwọ̀sí lọ̀ ọ́","In addition to the extreme mental stress that he was under on his final night, consider the disappointment he must have felt and the humiliation he suffered.",False,low,short_word,0
33,,1,7 Ọgbọ́n tòótọ́gaju ohun tí ọwọ́ òmùgọ̀ lè tẹ̀;+7 Truewisdomis unattainable for a fool;+jw2019,"Ìyẹn ló fà á tó fi jẹ́ pé, nígbà tó fi máa pé ọmọ ọdún mẹ́jọ, kògaju ẹsẹ̀ bàtà méjì àti ààbọ̀ lọ.Consequently, at eight years of age, she was only 30 inches (75 cm) tall.jw2019",False,low,short_word,0
34,,1,"Ìyẹn ló fà á tó fi jẹ́ pé, nígbà tó fi máa pé ọmọ ọdún mẹ́jọ, kògaju ẹsẹ̀ bàtà méjì àti ààbọ̀ lọ","Consequently, at eight years of age, she was only 30 inches (75 cm) tall.",False,low,short_word,0
35,,1,"Ò kọ̀wé pé: “Ẹni tí ó ti òkè wágaju gbogbo àwọn yòókù lọ,” àti pé: “Ẹni tí ó ti ọ̀run wágaju gbogbo àwọn yòókù lọ","Jehofagalọ́lá, ó sì jẹ́ alágbára, síbẹ̀, ó ń tẹ́tí sí àdúrà wa!Jehovahissogreatand powerful, yet he listens to our prayers!jw2019",False,low,short_word,0
36,,1,"Ò kọ̀wé pé: “Ẹni tí ó ti òkè wágaju gbogbo àwọn yòókù lọ,” àti pé: “Ẹni tí ó ti ọ̀run wágaju gbogbo àwọn yòókù lọ","“He that comes from above is over all others,” he wrote, and: “He that comes from heaven is over all others.",False,low,short_word,0
37,,1,"Jehofagalọ́lá, ó sì jẹ́ alágbára, síbẹ̀, ó ń tẹ́tí sí àdúrà wa","Jehovahissogreatand powerful, yet he listens to our prayers!",False,low,short_word,0
38,,1,"9:6; Luku 6:38) Baba wa ọ̀run, Jehofa, ẹni tí ó “nífẹ̀ẹ́ olùfúnni ọlọ́yàyà,” ni Olóore wa tí ógajù lọ","9:6; Luke 6:38) OurgreatestBenefactor is our heavenly Father, Jehovah, who “loves a cheerful giver.”",False,low,short_word,0
39,,1,"Ọgọ́rọ̀ọ̀rún ṣọ́ọ̀bù kéékèèké, ìsọ̀ àtàwọn tó pàtẹ ọjà wọn sílẹ̀ ló tò lọ sójú ọ̀nà: oríṣiríṣi ata gígún tógagèlèmọ̀ nínú bàsíà, apẹ̀rẹ̀ tòmátì tó ti pọ́n, igbá ilá, àwọn tó ń ta rédíò, agboòrùn, ọṣẹ ìfọṣọ, wíìgì obìnrin, àwọn nǹkan ìdáná àtàwọn àlòkù bàtà àti aṣọ ló wà lọ́jà náà","Àwọn orin tí Dáfídì kọ gbé Jèhófàgagan-an pé òun ni Ọlọ́run tòótọ́ tó yẹ ká fi gbogbo ọkàn wa gbẹ́kẹ̀ lé!How beautifully David’s song portraysJehovahas the true God, worthy of our implicit trust!jw2019",False,low,short_word,0
40,,1,"Ọgọ́rọ̀ọ̀rún ṣọ́ọ̀bù kéékèèké, ìsọ̀ àtàwọn tó pàtẹ ọjà wọn sílẹ̀ ló tò lọ sójú ọ̀nà: oríṣiríṣi ata gígún tógagèlèmọ̀ nínú bàsíà, apẹ̀rẹ̀ tòmátì tó ti pọ́n, igbá ilá, àwọn tó ń ta rédíò, agboòrùn, ọṣẹ ìfọṣọ, wíìgì obìnrin, àwọn nǹkan ìdáná àtàwọn àlòkù bàtà àti aṣọ ló wà lọ́jà náà","Hundreds of stalls and vendors line the streets with their goods: heaps of red and green chilies, baskets of ripe tomatoes, mounds of okra, as well as radios, umbrellas, bars of soap, wigs, cooking utensils, and piles of secondhand shoes and clothes.",False,low,short_word,0
41,1.0,1,Àwọn orin tí Dáfídì kọ gbé Jèhófàgagan-an pé òun ni Ọlọ́run tòótọ́ tó yẹ ká fi gbogbo ọkàn wa gbẹ́kẹ̀ lé,"Ọkùnrin ajẹ́jẹ̀ẹ́ ànìkàngbé tí mo ń ṣiṣẹ́ fún ni Chuon Nat, aláṣẹ tí ógajù lọ nínú ìsìn Búdà ní Cambodia nígbà náà.The monk I served was Chuon Nat, thehighestBuddhist authority in Cambodia at that time.jw2019",False,low,short_word,0
42,,1,Àwọn orin tí Dáfídì kọ gbé Jèhófàgagan-an pé òun ni Ọlọ́run tòótọ́ tó yẹ ká fi gbogbo ọkàn wa gbẹ́kẹ̀ lé,"How beautifully David’s song portraysJehovahas the true God, worthy of our implicit trust!",False,low,short_word,0
43,,1,"Ọkùnrin ajẹ́jẹ̀ẹ́ ànìkàngbé tí mo ń ṣiṣẹ́ fún ni Chuon Nat, aláṣẹ tí ógajù lọ nínú ìsìn Búdà ní Cambodia nígbà náà","(1 Timoteu 3: 8-10, 12, 13) A kò gbé àwọn ọkùnrin wọ̀nyígaju àwọn yòókù nínú ìjọ lọ.(1 Timothy 3:8-10, 12, 13) These men are notelevated abovethe rest of the congregation.jw2019",False,low,short_word,0
44,1.0,1,"Ọkùnrin ajẹ́jẹ̀ẹ́ ànìkàngbé tí mo ń ṣiṣẹ́ fún ni Chuon Nat, aláṣẹ tí ógajù lọ nínú ìsìn Búdà ní Cambodia nígbà náà","The monk I served was Chuon Nat, thehighestBuddhist authority in Cambodia at that time.",False,low,short_word,0
45,,1,"(1 Timoteu 3: 8-10, 12, 13) A kò gbé àwọn ọkùnrin wọ̀nyígaju àwọn yòókù nínú ìjọ lọ","(1 Timothy 3:8-10, 12, 13) These men are notelevated abovethe rest of the congregation.",False,low,short_word,0
46,,1,"Lọ́dún 1996, ńṣe ni iye àwọn tó ti lé lẹ́ni ọdún márùnlélọ́gọ́ta tó gbẹ̀mí ara wọn fi ìpín mẹ́sàn-án nínú ọgọ́rùn-ún pọ̀ sí i, èyí sì ni ìgbà àkọ́kọ́ tógató bẹ́ẹ̀ láàárín ogójì ọdún","In 1996 the actual rate of suicide among those over 65 also went up, by 9 percent, for the first time in 40 years.",False,low,short_word,0
47,,1,Àwọn èèyàn Ọlọ́run ń fi ohun àmúṣọrọ̀ láti inú àwọn orílẹ̀-èdè gbé ìjọsìn mímọ́ga,God’s people use valuable resources from the nations toadvancepure worship,False,low,short_word,0
