id,word,url,scrape_time,status,error
1,ga,https://glosbe.com/yo/en/ga,2025-05-08 08:04:57,success,
2,Gabon,https://glosbe.com/yo/en/Gabon,2025-05-08 08:02:47,success,
3,gadolinium,https://glosbe.com/yo/en/gadolinium,2025-05-08 08:07:23,success,
4,Gadolinium,https://glosbe.com/yo/en/Gadolinium,2025-05-08 08:09:56,success,
5,Gallium,https://glosbe.com/yo/en/Gallium,2025-05-08 08:01:23,success,
6,gallium,https://glosbe.com/yo/en/gallium,2025-05-08 08:11:13,success,
7,gan,https://glosbe.com/yo/en/gan,2025-05-08 08:06:59,success,
8,gan-an,https://glosbe.com/yo/en/gan-an,2025-05-08 08:08:50,success,
9,gangan,https://glosbe.com/yo/en/gangan,2025-05-08 08:00:42,success,
10,Garawa,https://glosbe.com/yo/en/Garawa,2025-05-08 08:01:48,success,
11,garawa,https://glosbe.com/yo/en/garawa,2025-05-08 08:04:21,success,
12,gele,https://glosbe.com/yo/en/gele,2025-05-08 08:10:03,success,
13,geneva,https://glosbe.com/yo/en/geneva,2025-05-08 08:06:21,success,
14,georgia,https://glosbe.com/yo/en/georgia,2025-05-08 08:01:11,success,
15,Germanium,https://glosbe.com/yo/en/Germanium,2025-05-08 08:03:59,success,
16,germanium,https://glosbe.com/yo/en/germanium,2025-05-08 08:07:05,success,
17,Germany,https://glosbe.com/yo/en/Germany,2025-05-08 08:10:31,success,
18,gerígerí,https://glosbe.com/yo/en/ger%C3%ADger%C3%AD,2025-05-08 08:03:25,success,
19,Ghana,https://glosbe.com/yo/en/Ghana,2025-05-08 08:05:25,success,
20,ghánà,https://glosbe.com/yo/en/gh%C3%A1n%C3%A0,2025-05-08 08:05:35,success,
21,Ghánà,https://glosbe.com/yo/en/Gh%C3%A1n%C3%A0,2025-05-08 08:09:12,success,
22,gibraltar,https://glosbe.com/yo/en/gibraltar,2025-05-08 08:10:55,success,
23,gidi,https://glosbe.com/yo/en/gidi,2025-05-08 08:01:32,success,
24,gidigidi,https://glosbe.com/yo/en/gidigidi,2025-05-08 08:09:06,success,
25,gini-gini,https://glosbe.com/yo/en/gini-gini,2025-05-08 08:03:03,success,
26,GIO,https://glosbe.com/yo/en/GIO,2025-05-08 08:02:31,success,
27,goa,https://glosbe.com/yo/en/goa,2025-05-08 08:05:45,success,
28,gogogọ̀lọ̀mìṣọ̀,https://glosbe.com/yo/en/gogog%E1%BB%8D%CC%80l%E1%BB%8D%CC%80m%C3%AC%E1%B9%A3%E1%BB%8D%CC%80,2025-05-08 08:10:46,success,
29,goma,https://glosbe.com/yo/en/goma,2025-05-08 08:08:12,success,
30,Grazy ati awọn lemmings,https://glosbe.com/yo/en/Grazy%20ati%20aw%E1%BB%8Dn%20lemmings,2025-05-08 08:07:31,success,
31,Gréésì,https://glosbe.com/yo/en/Gr%C3%A9%C3%A9s%C3%AC,2025-05-08 08:08:26,success,
32,grínlándì,https://glosbe.com/yo/en/gr%C3%ADnl%C3%A1nd%C3%AC,2025-05-08 08:02:09,success,
33,gríìsì,https://glosbe.com/yo/en/gr%C3%AD%C3%ACs%C3%AC,2025-05-08 08:09:17,success,
34,grẹ̀nádà,https://glosbe.com/yo/en/gr%E1%BA%B9%CC%80n%C3%A1d%C3%A0,2025-05-08 08:10:21,success,
35,guatẹmálà,https://glosbe.com/yo/en/guat%E1%BA%B9m%C3%A1l%C3%A0,2025-05-08 08:07:40,success,
36,guernsey,https://glosbe.com/yo/en/guernsey,2025-05-08 08:04:29,success,
37,guinea,https://glosbe.com/yo/en/guinea,2025-05-08 08:05:07,success,
38,Guinea,https://glosbe.com/yo/en/Guinea,2025-05-08 08:05:15,success,
39,guinea alágedeméjì,https://glosbe.com/yo/en/guinea%20al%C3%A1gedem%C3%A9j%C3%AC,2025-05-08 08:08:35,success,
40,gàbasì,https://glosbe.com/yo/en/g%C3%A0bas%C3%AC,2025-05-08 08:01:42,success,
41,gàbọ̀n,https://glosbe.com/yo/en/g%C3%A0b%E1%BB%8D%CC%80n,2025-05-08 08:02:19,success,
42,Gàbọ̀n,https://glosbe.com/yo/en/G%C3%A0b%E1%BB%8D%CC%80n,2025-05-08 08:09:49,success,
43,gàgàrà,https://glosbe.com/yo/en/g%C3%A0g%C3%A0r%C3%A0,2025-05-08 08:04:14,success,
44,gájẹ́ẹ̀tì,https://glosbe.com/yo/en/g%C3%A1j%E1%BA%B9%CC%81%E1%BA%B9%CC%80t%C3%AC,2025-05-08 08:04:47,success,
45,gájẹ́ẹ̀tì ojú-iṣẹ́,https://glosbe.com/yo/en/g%C3%A1j%E1%BA%B9%CC%81%E1%BA%B9%CC%80t%C3%AC%20oj%C3%BA-i%E1%B9%A3%E1%BA%B9%CC%81,2025-05-08 08:03:12,success,
46,Gánà,https://glosbe.com/yo/en/G%C3%A1n%C3%A0,2025-05-08 08:05:55,success,
47,gárìasá,https://glosbe.com/yo/en/g%C3%A1r%C3%ACas%C3%A1,2025-05-08 08:09:31,success,
48,gègé ìkọ̀wé,https://glosbe.com/yo/en/g%C3%A8g%C3%A9%20%C3%ACk%E1%BB%8D%CC%80w%C3%A9,2025-05-08 08:02:26,success,
49,Gègé ìwífúnni,https://glosbe.com/yo/en/G%C3%A8g%C3%A9%20%C3%ACw%C3%ADf%C3%BAnni,2025-05-08 08:11:04,success,
50,gèlè,https://glosbe.com/yo/en/g%C3%A8l%C3%A8,2025-05-08 08:03:52,success,
51,gé kúrò,https://glosbe.com/yo/en/g%C3%A9%20k%C3%BAr%C3%B2,2025-05-08 08:03:42,success,
52,gìgísẹ̀,https://glosbe.com/yo/en/g%C3%ACg%C3%ADs%E1%BA%B9%CC%80,2025-05-08 08:01:18,success,
53,gíga,https://glosbe.com/yo/en/g%C3%ADga,2025-05-08 08:11:22,success,
54,gígábáìtì,https://glosbe.com/yo/en/g%C3%ADg%C3%A1b%C3%A1%C3%ACt%C3%AC,2025-05-08 08:02:55,success,
55,gígù ojú-ìwé,https://glosbe.com/yo/en/g%C3%ADg%C3%B9%20oj%C3%BA-%C3%ACw%C3%A9,2025-05-08 08:06:41,success,
56,gígùn,https://glosbe.com/yo/en/g%C3%ADg%C3%B9n,2025-05-08 08:06:31,success,
57,gígùn ojú-ìwé,https://glosbe.com/yo/en/g%C3%ADg%C3%B9n%20oj%C3%BA-%C3%ACw%C3%A9,2025-05-08 08:06:51,success,
58,gígùn ìnà,https://glosbe.com/yo/en/g%C3%ADg%C3%B9n%20%C3%ACn%C3%A0,2025-05-08 08:07:45,success,
59,gígúnrégé ajẹmọ́-kání,https://glosbe.com/yo/en/g%C3%ADg%C3%BAnr%C3%A9g%C3%A9%20aj%E1%BA%B9m%E1%BB%8D%CC%81-k%C3%A1n%C3%AD,2025-05-08 08:01:03,success,
60,gígúnrégé àyọkà,https://glosbe.com/yo/en/g%C3%ADg%C3%BAnr%C3%A9g%C3%A9%20%C3%A0y%E1%BB%8Dk%C3%A0,2025-05-08 08:06:05,success,
61,gígúnrégé ìpínfọ̀,https://glosbe.com/yo/en/g%C3%ADg%C3%BAnr%C3%A9g%C3%A9%20%C3%ACp%C3%ADnf%E1%BB%8D%CC%80,2025-05-08 08:07:55,success,
62,gíláàsì,https://glosbe.com/yo/en/g%C3%ADl%C3%A1%C3%A0s%C3%AC,2025-05-08 08:03:18,success,
63,gíláàsì fèrèsé,https://glosbe.com/yo/en/g%C3%ADl%C3%A1%C3%A0s%C3%AC%20f%C3%A8r%C3%A8s%C3%A9,2025-05-08 08:00:34,success,
64,gírìdì,https://glosbe.com/yo/en/g%C3%ADr%C3%ACd%C3%AC,2025-05-08 08:01:56,success,
65,gírìdì ojú-ìbẹ̀ẹ̀rẹ̀,https://glosbe.com/yo/en/g%C3%ADr%C3%ACd%C3%AC%20oj%C3%BA-%C3%ACb%E1%BA%B9%CC%80%E1%BA%B9%CC%80r%E1%BA%B9%CC%80,2025-05-08 08:04:05,success,
66,Gíwá yunifásítì,https://glosbe.com/yo/en/G%C3%ADw%C3%A1%20yunif%C3%A1s%C3%ADt%C3%AC,2025-05-08 08:08:58,success,
67,gògòńgò,https://glosbe.com/yo/en/g%C3%B2g%C3%B2%C5%84g%C3%B2,2025-05-08 08:09:40,success,
68,góbà,https://glosbe.com/yo/en/g%C3%B3b%C3%A0,2025-05-08 08:08:03,success,
69,gómìnà,https://glosbe.com/yo/en/g%C3%B3m%C3%ACn%C3%A0,2025-05-08 08:08:43,success,
70,gótà,https://glosbe.com/yo/en/g%C3%B3t%C3%A0,2025-05-08 08:06:15,success,
71,góòlù,https://glosbe.com/yo/en/g%C3%B3%C3%B2l%C3%B9,2025-05-08 08:08:18,success,
72,gùn,https://glosbe.com/yo/en/g%C3%B9n,2025-05-08 08:10:13,success,
73,gùyánà,https://glosbe.com/yo/en/g%C3%B9y%C3%A1n%C3%A0,2025-05-08 08:00:54,success,
74,gúgúrú,https://glosbe.com/yo/en/g%C3%BAg%C3%BAr%C3%BA,2025-05-08 08:03:32,success,
75,gúlúkóòsì,https://glosbe.com/yo/en/g%C3%BAl%C3%BAk%C3%B3%C3%B2s%C3%AC,2025-05-08 08:09:23,success,
76,gúáfà,https://glosbe.com/yo/en/g%C3%BA%C3%A1f%C3%A0,2025-05-08 08:10:08,success,
77,Gúúsù-Ìlàòrùn Ásíà,https://glosbe.com/yo/en/G%C3%BA%C3%BAs%C3%B9-%C3%8Cl%C3%A0%C3%B2r%C3%B9n%20%C3%81s%C3%AD%C3%A0,2025-05-08 08:00:48,success,
78,gẹdú,https://glosbe.com/yo/en/g%E1%BA%B9d%C3%BA,2025-05-08 08:00:27,success,
