id,word,url,scrape_time,status,error
1,gba ipò,https://glosbe.com/yo/en/gba%20ip%C3%B2,2025-05-08 08:45:09,success,
2,gbajúmò,https://glosbe.com/yo/en/gbaj%C3%BAm%C3%B2,2025-05-08 08:31:20,error,"HTTPSConnectionPool(host='glosbe.com', port=443): Max retries exceeded with url: /yo/en/gbaj%C3%BAm%C3%B2 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CC3EC07610>, 'Connection to glosbe.com timed out. (connect timeout=30)'))"
3,gbangba,https://glosbe.com/yo/en/gbangba,2025-05-08 08:44:54,success,
4,gbaradì,https://glosbe.com/yo/en/gbarad%C3%AC,2025-05-08 08:45:58,success,
5,gbe,https://glosbe.com/yo/en/gbe,2025-05-08 08:27:48,success,
6,gberingberin,https://glosbe.com/yo/en/gberingberin,2025-05-08 08:24:26,success,
7,gbiná,https://glosbe.com/yo/en/gbin%C3%A1,2025-05-08 08:22:54,success,
8,gbo,https://glosbe.com/yo/en/gbo,2025-05-08 08:32:07,error,"HTTPSConnectionPool(host='glosbe.com', port=443): Max retries exceeded with url: /yo/en/gbo (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CC3EF15450>, 'Connection to glosbe.com timed out. (connect timeout=30)'))"
9,gbogbo,https://glosbe.com/yo/en/gbogbo,2025-05-08 08:18:04,success,
10,gbogbo gbòò,https://glosbe.com/yo/en/gbogbo%20gb%C3%B2%C3%B2,2025-05-08 08:23:55,success,
11,Gbogbo Ìpawó Orílẹ̀-èdè,https://glosbe.com/yo/en/Gbogbo%20%C3%8Cpaw%C3%B3%20Or%C3%ADl%E1%BA%B9%CC%80-%C3%A8d%C3%A8,2025-05-08 08:20:59,success,
12,Gbogbo ìpèsè,https://glosbe.com/yo/en/Gbogbo%20%C3%ACp%C3%A8s%C3%A8,2025-05-08 08:46:57,success,
13,gbogbogbòò,https://glosbe.com/yo/en/gbogbogb%C3%B2%C3%B2,2025-05-08 08:26:53,success,
14,gbogbohun,https://glosbe.com/yo/en/gbogbohun,2025-05-08 08:44:39,success,
15,gbogboǹṣe,https://glosbe.com/yo/en/gbogbo%C7%B9%E1%B9%A3e,2025-05-08 08:46:14,success,
16,Gbogboǹṣe Ìṣọ́nà,https://glosbe.com/yo/en/Gbogbo%C7%B9%E1%B9%A3e%20%C3%8C%E1%B9%A3%E1%BB%8D%CC%81n%C3%A0,2025-05-08 08:21:26,success,
17,Gbohùngbohùn,https://glosbe.com/yo/en/Gboh%C3%B9ngboh%C3%B9n,2025-05-08 08:45:18,success,
18,gbohùngbohùn,https://glosbe.com/yo/en/gboh%C3%B9ngboh%C3%B9n,2025-05-08 08:48:12,success,
19,gbohùngbohùn àtẹ̀bọtí,https://glosbe.com/yo/en/gboh%C3%B9ngboh%C3%B9n%20%C3%A0t%E1%BA%B9%CC%80b%E1%BB%8Dt%C3%AD,2025-05-08 08:44:30,success,
20,Gbona,https://glosbe.com/yo/en/Gbona,2025-05-08 08:19:00,success,
21,gbona,https://glosbe.com/yo/en/gbona,2025-05-08 08:38:14,error,"HTTPSConnectionPool(host='glosbe.com', port=443): Max retries exceeded with url: /yo/en/gbona (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CC3EF16850>, 'Connection to glosbe.com timed out. (connect timeout=30)'))"
22,gbà,https://glosbe.com/yo/en/gb%C3%A0,2025-05-08 08:33:39,error,"HTTPSConnectionPool(host='glosbe.com', port=443): Max retries exceeded with url: /yo/en/gb%C3%A0 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CC3EF14B90>, 'Connection to glosbe.com timed out. (connect timeout=30)'))"
