id,word_id,translation,part_of_speech,confidence
1,2,hafniumnounelement with the atomic number of 72,noun,high
2,3,hafniumnounelement with the atomic number of 72,noun,high
3,5,scream,verb,high
4,5,scream TraverseGPAware,verb,high
5,7,hassium,noun,high
6,10,Hausa,noun,high
7,14,himalayas,verb,high
8,19,dig out,verb,high
9,19,dig outverbÀ ńhúànàmọ́jádeWe'redigging outpotatoes,verb,high
10,22,appear,verb,high
11,22,appearverbÒṣùmàrèhàn,verb,high
12,22,occur,verb,high
13,22,auxiliary display,noun,medium
14,22,Broadcast Slide Show,phrase,medium
15,23,haiti,noun,high
16,24,narrow,adjective,high
17,24,slim,adjective,high
18,24,slimadjectivenarrow,adjective,high
19,25,hajj,noun,high
20,26,charter,verb,high
21,27,hydrogen,noun,high
22,27,hydrogen deuteride,noun,medium
23,28,hydrogen,noun,high
24,28,hydrogen deuteride,noun,medium
25,29,hydrogen deuteride,noun,high
26,29,hydrogen deuteridechemical compound,phrase,high
27,30,hydrogen,noun,high
28,31,narrow,adjective,high
29,31,slim,adjective,high
30,31,slimadjectivenarrow,adjective,high
31,32,anxiety,noun,high
32,32,trauma,noun,high
33,33,hectic,adjective,high
34,33,hectic TraverseGPAware,adjective,high
35,34,helium,noun,high
36,35,helium,noun,high
37,35,heliumnounchemical elementen.wiktionary2016,noun,high
38,36,cave,verb,high
39,37,grow,verb,high
40,37,growverbẸ̀ka ńhù.The branch isgrowing,verb,high
41,37,sprout,verb,high
42,38,behave,verb,high
43,38,behave TraverseGPAware,verb,high
44,39,dig up,verb,high
45,39,dig upverbÀ ńhúàkẹkùjádeWe'redigging upfossils,verb,high
46,40,cough,verb,high
47,40,cough Mo fẹ́húkọ́.I have the urge tocough,verb,high
48,41,hungary,noun,high
49,41,Austria-Hungary,noun,medium
50,42,scratch,verb,high
51,43,honduras,verb,high
52,44,hong kong,noun,high
