id,word,url,scrape_time,status,error
1,hadrian,https://glosbe.com/yo/en/hadrian,2025-05-08 09:04:49,success,
2,hafnium,https://glosbe.com/yo/en/hafnium,2025-05-08 09:02:23,success,
3,Hafnium,https://glosbe.com/yo/en/Hafnium,2025-05-08 09:03:08,success,
4,Haiti,https://glosbe.com/yo/en/Haiti,2025-05-08 09:03:23,success,
5,hankígbekéhan goro,https://glosbe.com/yo/en/hank%C3%ADgbek%C3%A9han%20goro,2025-05-08 09:01:20,success,
6,harare,https://glosbe.com/yo/en/harare,2025-05-08 09:03:15,success,
7,Hassiomu,https://glosbe.com/yo/en/Hassiomu,2025-05-08 08:59:37,success,
8,havana,https://glosbe.com/yo/en/havana,2025-05-08 09:00:55,success,
9,hawaii,https://glosbe.com/yo/en/hawaii,2025-05-08 09:04:16,success,
10,Haúsá,https://glosbe.com/yo/en/Ha%C3%BAs%C3%A1,2025-05-08 09:00:06,success,
11,helium,https://glosbe.com/yo/en/helium,2025-05-08 09:01:27,success,
12,helsinki,https://glosbe.com/yo/en/helsinki,2025-05-08 09:03:30,success,
13,hickory,https://glosbe.com/yo/en/hickory,2025-05-08 09:02:17,success,
14,himalaya,https://glosbe.com/yo/en/himalaya,2025-05-08 09:04:33,success,
15,hinduism,https://glosbe.com/yo/en/hinduism,2025-05-08 08:59:53,success,
16,homo,https://glosbe.com/yo/en/homo,2025-05-08 09:01:56,success,
17,honiara,https://glosbe.com/yo/en/honiara,2025-05-08 09:04:57,success,
18,honolulu,https://glosbe.com/yo/en/honolulu,2025-05-08 09:02:55,success,
19,hu jáde,https://glosbe.com/yo/en/hu%20j%C3%A1de,2025-05-08 09:02:28,success,
20,human rights watch,https://glosbe.com/yo/en/human%20rights%20watch,2025-05-08 09:00:31,success,
21,hun sen,https://glosbe.com/yo/en/hun%20sen,2025-05-08 09:04:09,success,
22,hàn,https://glosbe.com/yo/en/h%C3%A0n,2025-05-08 09:02:01,success,
23,hàítì,https://glosbe.com/yo/en/h%C3%A0%C3%ADt%C3%AC,2025-05-08 09:01:03,success,
24,há,https://glosbe.com/yo/en/h%C3%A1,2025-05-08 09:00:15,success,
25,hájì,https://glosbe.com/yo/en/h%C3%A1j%C3%AC,2025-05-08 09:03:00,success,
26,háyà,https://glosbe.com/yo/en/h%C3%A1y%C3%A0,2025-05-08 09:04:40,success,
27,Háídrójìn,https://glosbe.com/yo/en/H%C3%A1%C3%ADdr%C3%B3j%C3%ACn,2025-05-08 09:01:43,success,
28,háídrójìn,https://glosbe.com/yo/en/h%C3%A1%C3%ADdr%C3%B3j%C3%ACn,2025-05-08 09:02:41,success,
29,Háídrójìn onídẹ́útẹ́ríọ̀mù,https://glosbe.com/yo/en/H%C3%A1%C3%ADdr%C3%B3j%C3%ACn%20on%C3%ADd%E1%BA%B9%CC%81%C3%BAt%E1%BA%B9%CC%81r%C3%AD%E1%BB%8D%CC%80m%C3%B9,2025-05-08 09:01:49,success,
30,hídrójìn,https://glosbe.com/yo/en/h%C3%ADdr%C3%B3j%C3%ACn,2025-05-08 09:02:36,success,
31,híhá,https://glosbe.com/yo/en/h%C3%ADh%C3%A1,2025-05-08 09:00:00,success,
32,hílàhílo,https://glosbe.com/yo/en/h%C3%ADl%C3%A0h%C3%ADlo,2025-05-08 09:03:40,success,
33,hílàhílò,https://glosbe.com/yo/en/h%C3%ADl%C3%A0h%C3%ADl%C3%B2,2025-05-08 09:03:47,success,
34,Hílíọ̀m,https://glosbe.com/yo/en/H%C3%ADl%C3%AD%E1%BB%8D%CC%80m,2025-05-08 09:04:23,success,
35,hílíọ̀mù,https://glosbe.com/yo/en/h%C3%ADl%C3%AD%E1%BB%8D%CC%80m%C3%B9,2025-05-08 09:01:36,success,
36,hòrò,https://glosbe.com/yo/en/h%C3%B2r%C3%B2,2025-05-08 09:00:49,success,
37,hù,https://glosbe.com/yo/en/h%C3%B9,2025-05-08 09:01:10,success,
38,hùwàlò,https://glosbe.com/yo/en/h%C3%B9w%C3%A0l%C3%B2,2025-05-08 09:00:39,success,
39,hú jáde,https://glosbe.com/yo/en/h%C3%BA%20j%C3%A1de,2025-05-08 09:03:54,success,
40,húkọ́,https://glosbe.com/yo/en/h%C3%BAk%E1%BB%8D%CC%81,2025-05-08 09:04:01,success,
41,húngárì,https://glosbe.com/yo/en/h%C3%BAng%C3%A1r%C3%AC,2025-05-08 09:02:49,success,
42,họ,https://glosbe.com/yo/en/h%E1%BB%8D,2025-05-08 09:00:23,success,
43,họ̀ndúràs,https://glosbe.com/yo/en/h%E1%BB%8D%CC%80nd%C3%BAr%C3%A0s,2025-05-08 08:59:42,success,
44,họ́ng kọng,https://glosbe.com/yo/en/h%E1%BB%8D%CC%81ng%20k%E1%BB%8Dng,2025-05-08 09:02:08,success,
