id,translation_id,word_id,yoruba_text,english_text,is_jw_reference,confidence,source,score
1,3.0,1,Ìpínlẹ̀ Ìsọ̀kan Ilẹ̀ Amerika,United States,False,high,similar_phrase,0
2,3.0,1,Iwe-ofin Ibagbepo Orile-ede Amerika,United States Constitution,False,high,similar_phrase,0
3,2.0,1,Apa Guusu Amerika,South America,False,high,similar_phrase,0
4,1.0,1,Ariwa Amerika,North America,False,high,similar_phrase,0
5,2.0,1,"Japan tó fà gbà hàn Colombia, só̩ di ìgbà à kó̩kó̩ tí wo̩n yóò borí alá takò̩ lá ti gúúsù ìwọ̀ oòrùnAmerika.",Japan's defeat of Colombia makes it the first time they have ever defeated South American opposition at thislevel.,False,high,tmem,0
6,,1,"Àà rẹ Buhari sọ̀rọ̀ yìí lá sìkò tó ń sèpà dé pẹ̀lú akọ̀wé owó fún orílẹ̀ èdèAmerika, Steven Mnuchin ni Riyadh lórí bí ìdà gbàsókè yóò ṣe dé bá ètò ọrọ̀ ajé lórílẹ̀ èdè Nà íjíríà, nípa ṣíṣe ètò ìrà nwọ́ owó fún orílẹ̀ èdè yìí.","President Buhari met the U. S Treasury Secretary, Steven Mnuchin in Riyadh and they had positive discussions on investments in Nigeria.",False,high,tmem,0
7,3.0,1,Àjọ orílẹ̀ èdèAmerikató ń rí sí pípèsè ètò ìrà nwọ́ owó tí wọn ń pè ní United States International Development Finance Corporation (USIDFC) ti ya ọgọ́ta bílíọ́nù dọ́là sọ́tọ̀ fún ìdà gbàsókè ohun amá yédẹrùn fún à wọn orílẹ̀ èdè tí ó kù díẹ̀ kí wọn fọwọ́ họrí.,"The organization is the United States International Development Finance Corporation (USIDFC), the corporation provides $60 billion for investments in developing nations.",False,high,tmem,0
8,,1,--- Orílẹ̀ èdèAmerikaà ti Nà íjíríà yóò tọwọ́bọ ìwé à déhùn lá ti da $321m padà.,"--- Federal Govt., U. S to sign agreement on assets repatriation",False,high,tmem,0
9,,3,"Ibakasiẹń lá kan ti ń gbiyanju lati gba ojú abẹ́rẹ́ ìrá nṣọ bíń tín kan “fi animọ ti à sọdùn awọn ará Ila-oorun hàn,” ni iwe ìwá dìí kan sọ.","Ahugecameltrying to fit through the eye of a tiny sewing needle “savours of Eastern exaggeration,” says one reference work.",False,high,tmem,0
10,,3,"Ni Luku 18:25 èdè-ọ̀rọ̀ naa be·loʹne tọkasi abẹ́rẹ́ ìrá nṣọ kan, ati nibẹ yẹn New World Translation kà pe: “Ó rọrun, niti to otọ, funibakasiẹlati gba ojú abẹ́rẹ́ ìrá nṣọ kọja jù fun ọkunrin ọlọ́rọ̀ kan lati wọ inu ijọba Ọlọrun.”","At Luke 18:25 the term be·loʹne denotes a sewing needle, and there the New World Translation reads: “It is easier, in fact, fora camelto get through the eye of a sewing needle than for a rich man to get into the kingdom of God.”",False,high,tmem,0
11,,3,Awọn kan sọ pe oju abẹ́rẹ́ naa ni ẹnu ibode kekere kan lara ogiri ilu-nla kan inu eyi tiibakasiẹkan lè gbà kọja pẹlu ìnira bi a bá sọ ẹrù rẹ̀ kalẹ.,Some say that the needle's eye was a small gate in a city wall through which acamelcould pass with difficulty if relieved of its load.,False,high,tmem,0
12,,3,Apejuweibakasiẹati oju abẹ́rẹ́ kìí ṣe eyi ti a o gbà bi iṣẹlẹ gidi.,The illustration of thecameland the needle's eye is not to be taken literally.,False,high,tmem,0
13,,3,"“ÓRỌRÙN funibakasiẹlati wọ oju abẹ́rẹ́, ju fun ọlọ́rọ̀ lati wọ ijọba Ọlọrun lọ.”",“IT IS easier fora camelto get through a needle's eye than for a rich man to get into the kingdom of God.”,False,high,tmem,0
14,,3,"Kò ṣeeṣe funibakasiẹkan, tabi erin kan, lati gba ojú abẹ́rẹ́ ìrá nsọ.","It is impossible fora camel, or an elephant, to go through the eye of a sewing needle.",False,high,tmem,0
15,15.0,5,ibi-ìpamọ́ à kọsílẹ̀,document library,False,high,similar_phrase,0
16,21.0,5,Ibi Ìṣà fihà fọ́tò Windows Live,Windows Live Photo Gallery,False,high,similar_phrase,0
17,19.0,5,ibi à ìléwuà ìléwuìgbàlà,safety,False,high,similar_phrase,0
18,14.0,5,ibi iṣẹ́,work place,False,high,similar_phrase,0
19,20.0,5,ibi-ìdarí ẹ̀yà wẹ́ẹ̀bù,Web Part zone,False,high,similar_phrase,0
20,18.0,5,ibi ìṣítí à ṣẹ agbéga,elevated command prompt,False,high,similar_phrase,0
21,16.0,5,ibi ìṣà kọsílẹ̀,Document Workspace site,False,high,similar_phrase,0
22,17.0,5,ibi ìyanǹkan,drawing canvas,False,high,similar_phrase,0
23,,5,Kó o sì máa sanwó ọkọ̀ ara rẹ lọ sá wọnibitó o bá fẹ́ lọ.”,"And try to getwhereyou need to go by yourself, with no one picking you up or dropping you off.”",False,high,tmem,0
24,,5,"1 Lẹ́yìn ikú Sọ́ọ̀lù, nígbà tí Dá fídì dé lá tiibití ó ti lọ ṣẹ́gun* à wọn ọmọ Ámá lékì, Dá fídì dúró sí Síkí lá gì+ fún ọjọ́ méjì.","1 After Saul's death, when David had returnedfromdefeating* the A·malʹek·ites, David stayed at Zikʹlag+ for two days.",False,high,tmem,0
25,,5,"Lá ìj áfara, wọ́n á pèsè oúnjẹ, omi, ibitó ṣeé gbé à ti ìtọ́jú tó yẹ. Wọ́n á tù wọ́n nínú, wọ́n á sì tún bójú tó à ìní tẹ̀mí wọ́n","Food, water, shelter, medical care, and emotional and spiritual support are provided as soon as possible",False,high,tmem,0
26,,5,"Nígbà ayé Jésù à ti à wọn ọmọ ẹ̀yìn rẹ̀, ó tún mú ìtura bá à wọn Júù tí ìròbìnújẹ́ bá níto rí ìwà ibitó wà ní Ísírẹ́lì, tó sì jẹ́ pé wọ́n ń rá re nínú ìgbèkùn à ṣà à tọwọ́dọ́wọ́ ti ẹ̀sìn à wọn Júù ní ọ̀rúndún kìíní.","In the days of Jesus and his disciples, it brought relief to Jews who were brokenhearted because of thewickednessin Israel and were languishing in captivity to the false religious traditions of first-century Judaism.",False,high,tmem,0
27,,5,"Àwọn ará bìnrin méjì kan tí wọ́n jẹ́ tẹ̀gbọ́n tà búrò tí wọ́n sì ti fẹ́rẹ̀ẹ́ pé ọmọ ọgbọ̀n ọdún lá ti orílẹ̀-èdè Amẹ́ríkà, tí wọ́n sì ń sìn ní orílẹ̀-èdè Dominican Republic, sọ pé: “Àwọn à ṣà ìbílẹ̀ibitá a ti ń sìn pọ̀ gan-an, èèyàn sì gbọ́dọ̀ mọ̀ wọ́n.","“There were so many different customs to get used to,” say two fleshly sisters in their late 20'sfromthe United States, who serve in the Dominican Republic.",False,high,tmem,0
28,14.0,5,"Ìdí nìyẹn tí a fi sọ fún à wọn Kristian nínú Efesu 6:12 pé: “Awa ní gídígbò kan, kì í ṣe lòdì sí ẹ̀jẹ̀ ati ẹran-ara, bíkòṣe lòdì sí awọn alá kòóso, lòdì sí awọn alá ṣẹ, lòdì sí awọn olùṣà kóso ayé òkùnkùn yii, lòdì sí awọn agbo ọmọ ogun ẹ̀mí burúkú ní awọnibiọ̀run.”","That is why Christians are told at Ephesians 6:12: “We have a wrestling, not against blood and flesh, but against the governments, against the authorities, against the world rulers of this darkness, against the wicked spirit forces in the heavenlyplaces.”",False,high,tmem,0
29,,5,Ilé wa diibitá a ti ń ṣe à wọn tó ti ibòmíràn wá sọ à sọyé lá lejò.,Our home became a sort of hospitality center for many traveling speakers.,False,high,tmem,0
30,,5,"Ní à wọn ọdún 1970, à wọn Ẹlẹ́rìí díẹ̀ tí ó wà lá dùúgbò ń bá wíwà ásù à ti pípà dé pọ̀ nìṣó déibití agbá ra wọ́n mọ.",During the 1970's the few local Witnesses continued preaching and meeting together as best they could.,False,high,tmem,0
31,14.0,5,Obìnrin kan tí-ó-ní-ìpèníjà-ara náà sọ pé òun tò lá ti gba ká àdì òun lá ìsíibití òun lè jókòó sí.,A disabled woman spoke of waiting in line to collect her card with noplaceto sit.,False,high,tmem,0
32,14.0,5,Tà bí yóò fi à gùntàn mọ́kà ndínlọ́gọ́rùn-ún [99] yòókù sílẹ̀ níibià àbò tí yóò sì lọ wá ẹyọ kan ṣoṣo yẹn?,Or would he leave the 99 sheep in a safeplaceand go looking for just the one?,False,high,tmem,0
33,,5,Kò yẹ ká jẹ́ kí pípọ̀ tó mi pọ̀ rẹpẹtẹ lá wọn apá ibití nǹkan ti ṣẹnuure lá yé tàn wá jẹ.,We should not be misled by the apparently abundant supply in some fortunatepartsof the world.,False,high,tmem,0
34,14.0,5,"Ẹ fi ìbùkún fún Jèhófà, gbogbo ẹ̀yin iṣẹ́ rẹ̀, ní gbogboibití ó ń jọba lé [ìyẹn ipò rẹ̀ gẹ́gẹ́ bí ọba alá ṣẹ].”—Sá àmù 103:19-22.","Bless Jehovah, all you his works, in allplacesof his domination [or, “sovereignty,” footnote].” —Psalm 103:19-22.",True,high,tmem,0
