id,word_id,translation,part_of_speech,confidence
1,1,North America,noun,medium
2,1,South America,noun,medium
3,1,United States,verb,medium
4,1,United States Constitution,phrase,medium
5,2,mule,noun,high
6,2,muleen,noun,high
7,2,mulenounsv.wiktionary.org,noun,high
8,3,camelen,noun,high
9,4,sex,verb,high
10,4,sex IntercourseIfedayo H Ayeni,verb,high
11,5,location,noun,high
12,5,locus,noun,high
13,5,locus GlosbeResearch,noun,high
14,5,place,noun,high
15,5,document library,noun,medium
16,5,Document Workspace site,phrase,medium
17,5,drawing canvas,verb,medium
18,5,elevated command prompt,phrase,medium
19,5,safety,noun,medium
20,5,Web Part zone,phrase,medium
21,5,Windows Live Photo Gallery,phrase,medium
22,5,work place,noun,medium
23,6,Network Center,noun,high
24,7,performing arts center,phrase,high
25,7,performing arts centermulti-use performance space,phrase,high
26,8,public space,noun,high
27,8,public spacenounplaces for public use,noun,high
28,8,public sphere,noun,high
29,8,public spherearea in social life,noun,high
30,9,trim points,verb,high
31,10,place of death,phrase,high
32,10,place of deathplace where a person died,phrase,high
33,11,work place,noun,high
34,12,safety,noun,high
35,12,safety TraverseGPAware,noun,high
36,13,fireplace,noun,high
37,13,kitchen,noun,high
38,13,kitchen TraverseGPAware,noun,high
39,14,diary,noun,high
40,14,diary GlosbeResearch,noun,high
41,15,Trust Center,noun,high
42,16,sponsored site,noun,high
43,17,shipping address,noun,high
44,18,carpark,noun,high
45,18,carparknounparking lot,noun,high
46,18,parking lot,noun,high
47,19,Welcome Center,noun,high
48,20,Sync Center,noun,high
49,20,Open Sync Center,phrase,medium
50,21,brain,verb,high
51,21,brain Mallow82,verb,high
52,21,library,verb,high
53,21,memory,noun,high
54,21,available memory,noun,medium
55,21,compact disc read-only memory,phrase,medium
56,21,direct memory access,phrase,medium
57,21,random access memory,phrase,medium
58,22,compact disc read-only memory,noun,high
59,23,random access memory,noun,high
60,24,Windows Meeting Space,phrase,high
61,25,Action Center,noun,high
62,26,Ease of Access Center,phrase,high
63,27,mine,noun,high
64,28,drawing canvas,verb,high
65,29,Windows Live Photo Gallery,phrase,high
66,30,Document Workspace site,phrase,high
67,31,elevated command prompt,phrase,high
68,32,Web Part zone,phrase,high
69,34,library,noun,high
70,34,document library,noun,medium
71,35,document library,noun,high
72,37,workplace,noun,high
73,37,workplacenounphysical location where someone works,noun,high
74,38,Where are you,phrase,high
75,38,Where are you?nabeelah,phrase,high
76,40,border,verb,high
77,40,checkpoint,noun,high
78,40,political border,noun,medium
79,41,political border,noun,high
80,42,grave,adjective,high
81,42,tomb,adjective,high
82,42,gravestone,noun,medium
83,43,Ibrahim BabangidaHeiNER - the,phrase,high
84,44,fever,verb,high
85,44,malaria,noun,high
86,44,temperature,noun,high
87,44,temperature GlTrav3,noun,high
88,44,lassa fever,noun,medium
89,44,typhoid,noun,medium
90,44,yellow fever,noun,medium
91,45,fever,noun,high
92,45,malaria,noun,high
93,45,temperature,noun,high
94,45,temperature GlTrav3,noun,high
95,45,lassa fever,noun,medium
96,45,typhoid,noun,medium
97,45,yellow fever,noun,medium
98,46,typhoid,noun,high
99,47,yellow fever,noun,high
100,48,lassa fever,noun,high
101,49,Ibadan,noun,high
102,49,Ibadan HeiNER - the,noun,high
103,50,participation,noun,high
104,50,participation TraverseGPAware,noun,high
105,51,here,adverb,high
106,52,another place,noun,high
107,52,another placeibi òmíràn,phrase,high
108,52,elsewhere,noun,high
109,53,another place,noun,high
110,53,elsewhere,noun,high
111,54,shade,verb,high
112,55,camp,noun,high
113,55,campsite,noun,high
114,55,seat,verb,high
115,55,access point,noun,medium
116,55,docking station,noun,medium
117,55,seat of government,phrase,medium
118,56,docking station,noun,high
119,57,seat of government,noun,high
120,58,access point,noun,high
121,59,seaport,noun,high
122,60,dwelling,noun,high
123,60,home,noun,medium
124,61,bed,noun,high
125,64,Idi Amin DadaHeiNER-the-,phrase,high
126,65,Olympic Games,verb,high
127,65,Olympics,verb,high
128,66,fleaen,noun,high
129,67,dagger,noun,high
130,67,dagger TraverseGPAware,noun,high
131,68,magic,adjective,high
132,69,eagle,noun,high
133,69,eagleen,noun,high
134,70,brass,adjective,high
135,71,commitment,noun,high
136,71,commitment Dan130,noun,high
137,72,cup,noun,high
138,72,love,noun,high
139,72,lovenounromantic feelingsen.wiktionary2016,noun,high
140,72,passion fruit,noun,medium
141,72,"The person we love, we love spiritually",phrase,medium
142,72,trophy,noun,medium
143,73,passion fruit,noun,high
144,73,passion fruitnounedible fruiten.wiktionary2016,noun,high
145,74,cup,noun,high
146,75,trophy,noun,high
147,76,procrastination,noun,high
148,76,procrastination Cherry Tiwa Cole,noun,high
149,77,failure,noun,high
150,77,failure Dan130,noun,high
151,78,eczema,noun,high
152,79,love,noun,high
153,79,lovenounstrong affectionen.wiktionary2016,noun,high
154,79,"The person we love, we love spiritually",phrase,medium
155,80,calabash,noun,high
156,80,two hundred,adjective,high
157,80,two hundred numeral,adjective,high
158,81,calabash,noun,high
159,81,two hundred,adjective,high
160,81,two hundred numeral,adjective,high
161,82,salvation of the mind,phrase,high
162,83,scream,noun,high
163,83,scream TraverseGPAware,noun,high
164,84,fight,noun,high
165,84,fightnounoccasion of fightingen.wiktionary2016,noun,high
166,85,International Olympic Committee,noun,high
167,85,International Olympic Committee HeiNER-the-,noun,high
168,86,jungle,noun,high
169,87,jungle,noun,high
170,88,obedience,noun,high
171,89,rope for climbing palm tree,phrase,high
172,90,calabash,noun,high
173,90,calabash Táyé,noun,high
174,90,sternum,noun,medium
175,91,calabash,noun,high
176,91,calabash Táyé,noun,high
177,91,sternum,noun,medium
178,92,sternum,noun,high
179,93,obligation,noun,high
180,93,obligation GlosbeResearch,noun,high
181,94,bush,noun,high
182,94,bushnounforest,noun,high
183,94,forest,noun,high
184,94,jungle,noun,high
185,94,woods,noun,high
186,94,destroying forests,verb,medium
187,95,jungle,noun,high
188,95,rain forest,noun,high
189,95,tropical rain forest,noun,high
190,96,jungle,noun,high
191,97,wood,noun,high
192,97,wood GlTrav3,noun,high
193,98,forest,noun,high
194,98,wood,noun,high
195,99,forest,noun,high
196,99,forest Swadesh Lists,noun,high
197,100,log,noun,high
198,100,stick,noun,high
199,100,timber,noun,high
200,100,acorn,noun,medium
201,100,deal,adjective,medium
202,100,jam,noun,medium
203,100,oak,noun,medium
204,100,orchard,noun,medium
205,100,sap,noun,medium
206,101,oak,noun,high
207,101,oak TraverseGPAware,noun,high
208,102,pepper shrub,noun,high
209,103,baobab,noun,high
210,104,firewood,noun,high
211,105,chopsticks,noun,high
212,106,oak,noun,high
213,106,oak TraverseGPAware,noun,high
214,107,bramble,noun,high
215,108,cactus,noun,high
216,109,palm tree,noun,high
217,110,angle,verb,high
218,110,corner,noun,high
219,110,R-squared value,noun,medium
220,111,elbow,verb,high
221,112,cavity,noun,high
222,112,cavity Glosbe Research,noun,high
223,112,den,noun,high
224,112,hole,noun,high
225,112,hollow,noun,high
226,112,chute,noun,medium
227,112,nostril,noun,medium
228,113,chute,noun,high
229,113,chute TraverseGPAware,noun,high
230,114,nostril,noun,high
231,115,cavity,noun,high
232,115,cavity TraverseGPAware,noun,high
233,116,fight,noun,high
234,116,fightnounoccasion of fightingen.wiktionary2016,noun,high
235,117,doomed,adjective,high
236,118,petrol explosion,noun,high
237,119,Tortoise,noun,high
238,120,Chair,noun,high
239,121,dance,noun,high
240,121,dancenounart form involving movement of the body,noun,high
241,122,termite,noun,high
242,122,termiteen,noun,high
243,123,plastic,adjective,high
244,124,Universal Declaration of Human Rights,noun,high
245,124,Universal Declaration of Human Rights HeiNER-the-,noun,high
246,126,jar,noun,high
247,126,jarnounsmall container for fooden.wiktionary2016,noun,high
248,126,pot,noun,high
249,127,loss,noun,high
250,127,lossnounneuterCaroline Akinhanmi,noun,high
251,128,wolfen,noun,high
252,129,stomach,noun,high
253,129,stomach GlTrav3,noun,high
254,130,termite,noun,high
255,130,termite TraverseGPAware,noun,high
256,131,hyenaen,noun,high
257,132,abdomen,noun,high
258,132,"abdomen, bellyen",noun,high
259,132,belly,noun,high
260,132,entrails,verb,high
261,133,death,noun,high
262,133,demise,verb,high
263,133,fate,noun,high
264,133,cause of death,phrase,medium
265,133,date of death,phrase,medium
266,133,deadly,adverb,medium
267,133,fatal,adjective,medium
268,133,place of death,phrase,medium
269,133,sudden death,noun,medium
270,133,year of death,phrase,medium
271,134,sudden death,noun,high
272,135,cough,noun,high
273,135,asthma,noun,medium
274,135,pertussis vaccine,noun,medium
275,135,tuberculosis,verb,medium
276,135,whooping cough,noun,medium
277,136,tuberculosis,noun,high
278,137,whooping cough,noun,high
279,138,asthma,noun,high
280,139,TB,noun,high
281,139,TBnoun,noun,high
282,139,tuberculosis,noun,high
283,140,earth,noun,high
284,140,earth GlosbeResearch,noun,high
285,140,land,verb,high
286,140,land GlosbeResearch,noun,high
287,140,soil,noun,high
288,140,soil GlTrav3,noun,high
289,141,world,noun,high
290,141,world GlTrav3,noun,high
291,142,home,noun,high
292,142,home GlosbeResearch,noun,high
293,142,house,noun,high
294,142,church,noun,medium
295,142,England,noun,medium
296,142,Ife,noun,medium
297,142,Nigerian Civil War,phrase,medium
298,142,Northern Cyprus,verb,medium
299,142,President of Nigeria,phrase,medium
300,142,temple,noun,medium
301,143,England,noun,high
302,144,church,noun,high
303,144,church Glosbe Research,noun,high
304,145,temple,noun,high
305,145,templenounworship placeen.wiktionary2016,noun,high
306,146,Ife,noun,high
307,147,door,noun,high
308,147,door GlosbeResearch,noun,high
309,148,Ilesa,noun,high
310,150,ugly,adjective,high
311,151,line,verb,high
312,151,east,noun,medium
313,151,gridline,noun,medium
314,152,gridline,noun,high
315,153,east,adjective,high
316,153,east adverbone of the four cardinal directions,adjective,high
317,154,okra,noun,high
318,154,okro,noun,high
319,154,okroborabi,noun,high
320,155,real estate,noun,high
321,155,real estatenounlegal term,noun,high
322,156,building,noun,high
323,156,fabric,noun,high
324,156,Home,noun,high
325,156,architect,noun,medium
326,156,bakery,noun,medium
327,156,ceiling,verb,medium
328,156,dining room,noun,medium
329,156,higher education institution,phrase,medium
330,156,jail,noun,medium
331,156,movie theater,noun,medium
332,157,building,noun,high
333,157,fabric,noun,high
334,157,home,noun,high
335,157,architect,noun,medium
336,157,architecture,noun,medium
337,157,ceiling,verb,medium
338,157,dining room,noun,medium
339,157,higher education institution,phrase,medium
340,157,jail,noun,medium
341,157,movie theater,noun,medium
342,159,kennel,noun,high
343,159,kennel TraverseGPAware,noun,high
344,160,bakery,noun,high
345,160,bakery TraverseGPAware,noun,high
346,161,flat,noun,high
347,161,flat TraverseGPAware,noun,high
348,162,parliament,noun,high
349,162,travel agency,noun,medium
350,164,theater,noun,high
351,164,theaternounperforming arts venue,noun,high
352,165,gymnasium,noun,high
353,166,greenhouse,noun,high
354,167,cage,noun,high
355,167,cage GlosbeResearch,noun,high
356,168,movie theater,noun,high
357,169,public building,verb,high
358,169,public buildingoffice building,phrase,high
359,170,apartment,noun,high
360,170,flat,noun,high
361,170,flat Ilé gbéetánmi ò kéré jùMyflatisn't too small,noun,high
362,171,skyscraper,noun,high
363,171,skyscrapernountall building,noun,high
364,172,home,noun,high
365,173,bungalow,noun,high
366,174,manufacturing company,noun,high
367,175,business,noun,high
368,175,plant,noun,high
369,175,plant TraverseGPAware,noun,high
370,175,film studio,noun,medium
371,176,film studio,noun,high
372,177,restaurant,noun,high
373,178,building complex,noun,high
374,178,building complexnounset of related buildings,noun,high
375,178,multi-storey urban building,phrase,high
376,179,jail,noun,high
377,179,jail TraverseGPAware,noun,high
378,180,casino,noun,high
379,181,town hall,noun,high
380,182,restaurant,noun,high
381,183,bakery,noun,high
382,183,bakery TraverseGPAware,noun,high
383,183,banquet house,noun,high
384,184,skyscraper,noun,high
385,184,skyscraper Stephen Ogunbiyi,noun,high
386,185,kitchen,noun,high
387,186,bank,noun,high
388,187,post office,noun,high
389,188,nightclub,verb,high
390,190,toilet,verb,high
391,191,café,noun,high
392,191,café GlosbeResearch,noun,high
393,192,dining room,noun,high
394,193,warehouse,verb,high
395,194,pharmcist,noun,high
396,195,brewery,noun,high
397,196,bakery,noun,high
398,196,bakery TraverseGPAware,noun,high
399,197,bookshop,noun,high
400,198,school,verb,high
401,199,hospital,adjective,high
402,199,hospital nounhealth care institution,adjective,high
403,200,bathroom,noun,high
404,200,bathroom Glosbe Research,noun,high
405,200,lavatory,noun,high
406,200,lavatory Glosbe Research,noun,high
407,200,toilet,noun,high
408,200,"toiletnounlavatory, w.c",noun,high
409,201,theartre hall,noun,high
410,202,factory,noun,high
411,202,factory TraverseGPAware,noun,high
412,202,plant,noun,high
413,202,plant TraverseGPAware,noun,high
414,203,court,verb,high
415,203,court of law,verb,high
416,204,school,verb,high
417,205,house of God,noun,high
418,205,temple,noun,high
419,207,museum,noun,high
420,208,company,verb,high
421,208,headquarters,verb,medium
422,208,large organization,noun,medium
423,209,large organization,noun,high
424,210,company,noun,high
425,210,company network,noun,medium
426,211,beehive,noun,high
427,211,beehive TraverseGPAware,noun,high
