id,word,url,scrape_time,status,error
1,Amerika,https://glosbe.com/yo/en/Amerika,2025-05-08 14:11:48,success,
2,ibaka,https://glosbe.com/yo/en/ibaka,2025-05-08 13:48:22,success,
3,ibakasiẹ,https://glosbe.com/yo/en/ibakasi%E1%BA%B9,2025-05-09 10:10:12,success,
4,Ibalopo,https://glosbe.com/yo/en/Ibalopo,2025-05-08 14:37:12,success,
5,ibi,https://glosbe.com/yo/en/ibi,2025-05-08 15:13:13,success,
6,Ibi Alásopọ̀,https://glosbe.com/yo/en/Ibi%20Al%C3%A1sop%E1%BB%8D%CC%80,2025-05-08 14:25:20,success,
7,ibi eré oríìtàgé,https://glosbe.com/yo/en/ibi%20er%C3%A9%20or%C3%AD%C3%ACt%C3%A0g%C3%A9,2025-05-09 00:53:58,success,
8,ibi gbogbo èrò,https://glosbe.com/yo/en/ibi%20gbogbo%20%C3%A8r%C3%B2,2025-05-08 14:33:57,success,
9,ibi gbèdéke,https://glosbe.com/yo/en/ibi%20gb%C3%A8d%C3%A9ke,2025-05-08 14:45:18,success,
10,ibi ikú,https://glosbe.com/yo/en/ibi%20ik%C3%BA,2025-05-08 14:30:44,success,
11,ibi iṣẹ́,https://glosbe.com/yo/en/ibi%20i%E1%B9%A3%E1%BA%B9%CC%81,2025-05-08 14:45:11,success,
12,ibi àìléwuàìléwuìgbàlà,https://glosbe.com/yo/en/ibi%20%C3%A0%C3%ACl%C3%A9wu%C3%A0%C3%ACl%C3%A9wu%C3%ACgb%C3%A0l%C3%A0,2025-05-08 15:19:27,success,
13,ibi ìdáná,https://glosbe.com/yo/en/ibi%20%C3%ACd%C3%A1n%C3%A1,2025-05-08 15:15:52,success,
14,ibi ìfúnwàrà,https://glosbe.com/yo/en/ibi%20%C3%ACf%C3%BAnw%C3%A0r%C3%A0,2025-05-09 10:15:34,success,
15,Ibi Ìgbẹ́kẹ̀lé,https://glosbe.com/yo/en/Ibi%20%C3%8Cgb%E1%BA%B9%CC%81k%E1%BA%B9%CC%80l%C3%A9,2025-05-08 15:12:13,success,
16,ibi ìgbọ̀wọ́,https://glosbe.com/yo/en/ibi%20%C3%ACgb%E1%BB%8D%CC%80w%E1%BB%8D%CC%81,2025-05-09 09:42:10,success,
17,ibi ìgbọ́jàlọ,https://glosbe.com/yo/en/ibi%20%C3%ACgb%E1%BB%8D%CC%81j%C3%A0l%E1%BB%8D,2025-05-09 01:18:01,success,
18,ibi ìgbọ́kọ̀sí,https://glosbe.com/yo/en/ibi%20%C3%ACgb%E1%BB%8D%CC%81k%E1%BB%8D%CC%80s%C3%AD,2025-05-09 00:44:09,success,
19,Ibi Ìkíni Káàbọ̀,https://glosbe.com/yo/en/Ibi%20%C3%8Ck%C3%ADni%20K%C3%A1%C3%A0b%E1%BB%8D%CC%80,2025-05-09 01:19:07,success,
20,Ibi Ìmúdọ́gba,https://glosbe.com/yo/en/Ibi%20%C3%8Cm%C3%BAd%E1%BB%8D%CC%81gba,2025-05-09 00:48:38,success,
21,ibi ìpamọ́,https://glosbe.com/yo/en/ibi%20%C3%ACpam%E1%BB%8D%CC%81,2025-05-08 14:30:37,success,
22,ibi ìpamọ́ àwo tí a kàn lèkà,https://glosbe.com/yo/en/ibi%20%C3%ACpam%E1%BB%8D%CC%81%20%C3%A0wo%20t%C3%AD%20a%20k%C3%A0n%20l%C3%A8k%C3%A0,2025-05-08 13:44:39,success,
23,ibi ìpamọ́ ìráyè sí láìlétò,https://glosbe.com/yo/en/ibi%20%C3%ACpam%E1%BB%8D%CC%81%20%C3%ACr%C3%A1y%C3%A8%20s%C3%AD%20l%C3%A1%C3%ACl%C3%A9t%C3%B2,2025-05-08 14:43:39,success,
24,Ibi Ìpàdé Windows,https://glosbe.com/yo/en/Ibi%20%C3%8Cp%C3%A0d%C3%A9%20Windows,2025-05-09 01:08:20,success,
25,Ibi Ìpéjú Ṣàtúnṣe,https://glosbe.com/yo/en/Ibi%20%C3%8Cp%C3%A9j%C3%BA%20%E1%B9%A2%C3%A0t%C3%BAn%E1%B9%A3e,2025-05-09 01:02:19,success,
26,Ibi Ìráyè Sí,https://glosbe.com/yo/en/Ibi%20%C3%8Cr%C3%A1y%C3%A8%20S%C3%AD,2025-05-08 14:02:32,success,
