id,word,url,scrape_time,status,error
1,Jacob Zuma,https://glosbe.com/yo/en/Jacob%20Zuma,2025-05-09 13:17:04,error,"HTTPSConnectionPool(host='glosbe.com', port=443): Read timed out. (read timeout=30)"
2,Jade,https://glosbe.com/yo/en/Jade,2025-05-09 13:16:30,success,
3,jadì,https://glosbe.com/yo/en/jad%C3%AC,2025-05-09 13:26:58,success,
4,jagun,https://glosbe.com/yo/en/jagun,2025-05-09 13:17:31,success,
5,jagunjagun,https://glosbe.com/yo/en/jagunjagun,2025-05-09 13:20:27,success,
6,jakarta,https://glosbe.com/yo/en/jakarta,2025-05-09 13:22:17,success,
7,Jakátà,https://glosbe.com/yo/en/Jak%C3%A1t%C3%A0,2025-05-09 13:14:56,success,
8,jala,https://glosbe.com/yo/en/jala,2025-05-09 13:25:17,success,
9,jalèjí,https://glosbe.com/yo/en/jal%C3%A8j%C3%AD,2025-05-09 13:14:35,success,
10,Jamaika,https://glosbe.com/yo/en/Jamaika,2025-05-09 13:15:08,success,
11,jamáíkà,https://glosbe.com/yo/en/jam%C3%A1%C3%ADk%C3%A0,2025-05-09 13:27:08,success,
12,jayé,https://glosbe.com/yo/en/jay%C3%A9,2025-05-09 13:12:43,success,
13,je,https://glosbe.com/yo/en/je,2025-05-09 13:12:35,success,
14,je koríko,https://glosbe.com/yo/en/je%20kor%C3%ADko,2025-05-09 13:13:25,success,
15,je àjekì,https://glosbe.com/yo/en/je%20%C3%A0jek%C3%AC,2025-05-09 13:12:14,success,
16,je-ìfà,https://glosbe.com/yo/en/je-%C3%ACf%C3%A0,2025-05-09 13:17:40,success,
17,Jeje leko,https://glosbe.com/yo/en/Jeje%20leko,2025-05-09 13:16:00,success,
18,jersey,https://glosbe.com/yo/en/jersey,2025-05-09 13:18:07,success,
19,jerúsálẹ́mù,https://glosbe.com/yo/en/jer%C3%BAs%C3%A1l%E1%BA%B9%CC%81m%C3%B9,2025-05-09 13:21:50,success,
20,Jerúsálẹ́mù,https://glosbe.com/yo/en/Jer%C3%BAs%C3%A1l%E1%BA%B9%CC%81m%C3%B9,2025-05-09 13:21:57,success,
21,Jesu,https://glosbe.com/yo/en/Jesu,2025-05-09 13:24:08,success,
22,jeun,https://glosbe.com/yo/en/jeun,2025-05-09 13:27:32,success,
23,jijinjinle,https://glosbe.com/yo/en/jijinjinle,2025-05-09 13:21:09,success,
24,jiwinni,https://glosbe.com/yo/en/jiwinni,2025-05-09 13:22:42,success,
25,jiyàn,https://glosbe.com/yo/en/jiy%C3%A0n,2025-05-09 13:26:41,success,
26,jo,https://glosbe.com/yo/en/jo,2025-05-09 13:18:56,success,
27,jos,https://glosbe.com/yo/en/jos,2025-05-09 13:18:16,success,
28,jovian,https://glosbe.com/yo/en/jovian,2025-05-09 13:17:21,success,
29,joystick,https://glosbe.com/yo/en/joystick,2025-05-09 13:23:47,success,
30,ju,https://glosbe.com/yo/en/ju,2025-05-09 13:26:15,success,
31,ju ti ju ki ju pé,https://glosbe.com/yo/en/ju%20ti%20ju%20ki%20ju%20p%C3%A9,2025-05-09 13:26:49,success,
32,Julius Nyerere,https://glosbe.com/yo/en/Julius%20Nyerere,2025-05-09 13:21:19,success,
33,jà,https://glosbe.com/yo/en/j%C3%A0,2025-05-09 13:13:17,success,
34,Jàmáíkà,https://glosbe.com/yo/en/J%C3%A0m%C3%A1%C3%ADk%C3%A0,2025-05-09 13:14:07,success,
35,já,https://glosbe.com/yo/en/j%C3%A1,2025-05-09 13:15:28,success,
36,já fáfá,https://glosbe.com/yo/en/j%C3%A1%20f%C3%A1f%C3%A1,2025-05-09 13:15:40,success,
37,já ní koro,https://glosbe.com/yo/en/j%C3%A1%20n%C3%AD%20koro,2025-05-09 13:19:21,success,
38,jáde,https://glosbe.com/yo/en/j%C3%A1de,2025-05-09 13:12:51,success,
39,jáde ní ìlú,https://glosbe.com/yo/en/j%C3%A1de%20n%C3%AD%20%C3%ACl%C3%BA,2025-05-09 13:20:46,success,
40,jáfà,https://glosbe.com/yo/en/j%C3%A1f%C3%A0,2025-05-09 13:18:29,success,
41,jágìdíjàgan,https://glosbe.com/yo/en/j%C3%A1g%C3%ACd%C3%ADj%C3%A0gan,2025-05-09 13:25:56,success,
42,Jámánì,https://glosbe.com/yo/en/J%C3%A1m%C3%A1n%C3%AC,2025-05-09 13:21:41,success,
43,játijàti,https://glosbe.com/yo/en/j%C3%A1tij%C3%A0ti,2025-05-09 13:13:55,success,
44,jáǹtìrẹrẹ,https://glosbe.com/yo/en/j%C3%A1%C7%B9t%C3%ACr%E1%BA%B9r%E1%BA%B9,2025-05-09 13:23:15,success,
45,jèrè,https://glosbe.com/yo/en/j%C3%A8r%C3%A8,2025-05-09 13:20:09,success,
46,jésù,https://glosbe.com/yo/en/j%C3%A9s%C3%B9,2025-05-09 13:15:51,success,
47,Jésù,https://glosbe.com/yo/en/J%C3%A9s%C3%B9,2025-05-09 13:22:08,success,
48,Jésù Kristi,https://glosbe.com/yo/en/J%C3%A9s%C3%B9%20Kristi,2025-05-09 13:24:41,success,
