id,word_id,translation,part_of_speech,confidence
1,2,Mark as Final,phrase,high
2,4,cab,noun,high
3,4,taxi,noun,high
4,5,cadmium,noun,high
5,6,cadmium,noun,high
6,7,caffeine,noun,high
7,8,cashew,noun,high
8,8,cashew KajúdùnCashewsare nice,noun,high
9,9,californium,noun,high
10,11,Cameroon,noun,high
11,12,cameroon,noun,high
12,13,Cameroon,noun,high
13,14,Cameroon,noun,high
14,15,once,adverb,high
15,15,one,noun,high
16,15,onenumeralneuterGlosbeResearch,noun,high
17,15,accusative,adjective,medium
18,15,cancer,noun,medium
19,15,cherry,noun,medium
20,15,each,noun,medium
21,15,jellyfish,noun,medium
22,15,one o'clock,noun,medium
23,15,only,adverb,medium
24,15,someone,noun,medium
25,16,only,adjective,high
26,16,only TraverseGPAware,adjective,high
27,17,well,adjective,high
28,17,well Wale Akoti,adjective,high
29,18,crow,noun,high
30,19,carrion crow,noun,high
31,19,carrion crownounsv.wiktionary.org,noun,high
32,19,crowen,noun,high
33,20,crow,noun,high
34,20,crownounany bird of the genus Corvus,noun,high
35,21,Kano HeiNER - the,noun,high
36,21,Kano State,noun,medium
37,23,gnat,noun,high
38,25,fifth,adjective,high
39,25,fifth Oríkarùn-únThefifthchapter,adjective,high
40,28,qatar,noun,high
41,29,cation,noun,high
42,30,manage,verb,high
43,30,manage TraverseGPAware,verb,high
44,31,Kazimierz NowakKazimierz Nowak HeiNER - the,phrase,high
45,32,July,adverb,high
46,32,seventh,noun,high
47,33,February,noun,high
48,33,second,adjective,high
49,33,second adverbÌdíkejìni pé...Thesecondreason,verb,high
50,33,type 2 diabetes,phrase,medium
51,33,Wi-Fi Protected Access 2,phrase,medium
52,34,December,adjective,high
53,34,twelth,adjective,high
54,34,twelthadjectiveÌwékejìláThetwelthbook,adjective,high
55,35,Cape Verde,noun,high
56,36,Cape Verde,noun,high
57,36,Republic of Cape Verde,noun,high
58,37,caesium,noun,high
59,37,caesiumnounelement with the atomic number of 55,noun,high
60,38,June,noun,high
61,38,Friday,noun,medium
62,39,August,noun,high
63,40,lo,verb,high
64,41,forlone,noun,high
65,41,forloneSegun Apotieri,noun,high
66,45,why,adverb,high
67,45,whyadverbfor what reasonen.wiktionary2016,adverb,high
68,46,King Sunny AdéHeiNER - the,phrase,high
69,47,Lion,noun,high
70,48,lionen,noun,high
71,49,accolade,verb,high
72,50,Christianity,noun,high
73,51,aluminum chloride anhydrous,phrase,high
74,51,aluminum chloride anhydrouschemical compound,phrase,high
75,52,chlorine,noun,high
76,52,chlorinenounelement with the atomic number of 17,noun,high
77,53,coffee,noun,high
78,53,Kofi Annan,noun,medium
79,54,Kofi AnnanHeiNER - the,phrase,high
80,55,mothen,noun,high
81,56,congo,noun,high
82,57,copernicium,noun,high
83,59,weed,noun,high
84,59,weed TraverseGPAware,noun,high
85,60,grass,noun,high
86,60,pasture,noun,high
87,60,graze,noun,medium
88,60,hay,noun,medium
89,60,haystack,noun,medium
90,60,lemon grass,verb,medium
91,60,seaweed,verb,medium
92,61,seaweed,noun,high
93,61,seaweed TraverseGPAware,noun,high
94,62,hay,verb,high
95,62,hay GlosbeResearch,verb,high
96,62,haystack,noun,medium
97,63,lemon grass,noun,high
98,63,lemon grass Cymbopogon citratus,noun,high
99,64,bitter,adjective,high
100,64,nasty,adjective,high
101,64,nasty TraverseGPAware,adjective,high
102,64,serious,adjective,high
103,64,serious Glosbe Research,adjective,high
104,64,tart,adjective,high
105,64,tart Glosbe Research,adjective,high
106,64,bitter like bitter leaf,phrase,medium
107,65,bitter like bitter leaf,phrase,high
108,65,bitter like bitter leafsimilie,phrase,high
109,66,November,noun,high
110,67,hiss-teeth,noun,high
111,67,kiss-teeth,noun,high
112,67,KST,noun,high
113,68,croatia,noun,high
114,69,chromium,noun,high
115,69,chromium trioxide,noun,medium
116,70,chromium,noun,high
117,70,chromium trioxide,noun,medium
118,71,chromium trioxide,noun,high
119,71,chromium trioxidechemical compound,phrase,high
120,72,chromosome,noun,high
121,73,xenon,noun,high
122,74,calculate,verb,high
123,74,calculate TraverseGPAware,verb,high
124,74,count,verb,high
125,75,re,verb,high
126,75,re TraverseGPAware,verb,high
127,76,gregorian calendar,noun,high
128,77,calendar,noun,high
129,77,calendar program,noun,high
130,77,Calendar Preview,noun,medium
131,77,Calendar Snapshot,noun,medium
132,77,calendar view,noun,medium
133,77,charm,noun,medium
134,77,Gregorian calendar,noun,medium
135,77,Hijri calendar,noun,medium
136,77,Windows Calendar,noun,medium
137,78,Gregorian calendar,noun,high
138,79,Hijri calendar,noun,high
139,80,Calendar Snapshot,noun,high
140,81,Windows Calendar,noun,high
141,82,Cambodia,noun,high
142,83,cambodia,noun,high
143,84,knock,verb,high
144,84,Contact info,noun,medium
145,84,I don't care,phrase,medium
146,84,multi-touch,noun,medium
147,84,multi-touch input,noun,medium
148,84,not applicable,adjective,medium
149,84,tap,noun,medium
150,84,touch,noun,medium
151,84,touch keyboard,noun,medium
152,85,read-only,adjective,high
153,86,not applicable,adjective,medium
154,87,tap,verb,high
155,88,well,adjective,high
156,89,knock,verb,high
157,89,knock TraverseGPAware,verb,high
158,90,clove,noun,high
159,91,caribbean,noun,high
160,92,kazakhstan,noun,high
161,93,casino,noun,high
162,94,fold,verb,high
163,94,fold Bá mikáṣòkòtò yẹnHelp mefoldthose trousers,verb,high
164,95,Record Slide Show,phrase,high
165,96,carpenter,noun,high
166,97,calorie,noun,high
167,98,camera,noun,high
168,99,drop,verb,high
169,99,telecommunication,noun,medium
170,100,quickly,adverb,high
171,100,rapid,noun,medium
172,101,Canada,noun,high
173,102,canada,noun,high
174,103,condition,noun,high
175,103,conditional,adjective,medium
176,103,conditional expression,noun,medium
177,103,conditional formatting,verb,medium
178,104,kernel,noun,high
179,105,manage,verb,high
180,106,carbon dioxide,noun,high
181,106,carbon dioxidenounchemical compound,noun,high
182,107,carbon dioxide,noun,high
183,107,carbon dioxidenounchemical compound,noun,high
184,108,carbon,noun,high
185,108,allotrope of carbon,phrase,medium
186,109,carbon,noun,high
187,109,allotrope of carbon,phrase,medium
188,110,global,adjective,high
189,110,global address list,phrase,medium
190,110,Universal Disk Format,phrase,medium
191,111,caret,noun,high
192,111,system caret,noun,medium
193,112,system caret,noun,high
194,113,carrot,noun,high
195,114,album,noun,high
196,114,albumnouncollection of recorded music,noun,high
197,115,catalog,noun,high
198,115,"catalog In computing, a catalog",noun,high
199,115,catalogue,noun,high
200,115,catalogue GlosbeResearch,noun,high
201,116,welcome,adjective,high
202,116,Welcome Center,noun,medium
203,117,card,noun,high
204,117,Business Card,noun,medium
205,117,credit card,noun,medium
206,117,Electronic Business Card,phrase,medium
207,117,network adapter,noun,medium
208,117,smart card,noun,medium
209,117,sound card,noun,medium
210,117,video card,noun,medium
211,118,network adapter,noun,high
212,119,smart card,noun,high
213,120,credit card,noun,high
214,121,video card,noun,high
215,122,Business Card,noun,high
216,123,Electronic Business Card,phrase,high
217,124,sound card,noun,high
218,125,kaaba,noun,high
219,126,cairo,noun,high
220,127,Kanuri,noun,high
221,128,September,noun,high
222,129,October,noun,high
223,130,announce,verb,high
224,131,lament,verb,high
225,131,lament Wọ́nkédàáròTheylamented,verb,high
226,132,little,adjective,high
227,132,minor,noun,high
228,132,short,adjective,high
229,132,small,adjective,high
230,132,casket,noun,medium
231,132,child element,noun,medium
232,132,hill,noun,medium
233,132,lowercase,noun,medium
234,132,manual,adjective,medium
235,132,pamphlet,noun,medium
236,132,seal,adjective,medium
237,132,stream,noun,medium
238,133,little,adjective,high
239,133,small,adjective,high
240,134,Christmas,verb,high
241,134,christmas island,noun,medium
242,134,Merry Christmas,verb,medium
243,135,christmas,noun,high
244,135,christmas island,noun,medium
245,135,Merry Christmas,verb,medium
246,136,ass,noun,high
247,136,donkey,noun,high
248,136,donkeynouna domestic animalen.wiktionary2016,noun,high
249,137,neither,pronoun,high
250,138,hilly,adjective,high
251,138,hilly TraverseGPAware,adjective,high
252,139,incline,noun,high
253,139,incline TraverseGPAware,noun,high
254,140,kilometre,noun,high
255,141,lion,adjective,high
256,142,lion,adjective,high
257,142,lionen.wiktionary.org,noun,high
258,143,lion,noun,high
259,143,lionen.wiktionary.org,noun,high
260,144,first,adjective,high
261,144,first ApákìínírèéThis,adjective,high
262,144,type 1 diabetes,phrase,medium
263,145,make hay while the sun shine,phrase,high
264,146,what happened,verb,high
265,146,why,adverb,high
266,147,what,noun,high
267,147,what pro,noun,high
268,148,before,conjunction,high
269,149,shout,verb,high
270,149,shout Wọ́nkígbeTheyshouted,verb,high
271,150,acid,adjective,high
272,150,acid TraverseGPAware,adjective,high
273,150,deoxyribonucleic acid,noun,medium
274,150,vinegar,noun,medium
275,151,census,noun,high
276,151,census TraverseGPAware,noun,high
277,152,density,noun,high
278,152,densitynounmass per unit volume,noun,high
279,153,calculation,noun,high
280,153,calculation TraverseGPAware,noun,high
281,153,reading,verb,medium
282,153,text-to-speech,noun,medium
283,154,accidental,adjective,high
284,154,accidental TraverseGPAware,adjective,high
285,155,shade,verb,high
286,155,art of painting,phrase,medium
287,155,painting,verb,medium
