id,word,url,scrape_time,status,error
1,K,https://glosbe.com/yo/en/K,2025-05-09 14:19:15,success,
2,Ka nǹkan,https://glosbe.com/yo/en/Ka%20n%C7%B9kan,2025-05-09 14:20:59,success,
3,kabul,https://glosbe.com/yo/en/kabul,2025-05-09 13:42:11,success,
4,kabúkabú,https://glosbe.com/yo/en/kab%C3%BAkab%C3%BA,2025-05-09 13:39:36,success,
5,kadmium,https://glosbe.com/yo/en/kadmium,2025-05-09 14:26:22,success,
6,Kadmium,https://glosbe.com/yo/en/Kadmium,2025-05-09 14:26:46,success,
7,kaféènì,https://glosbe.com/yo/en/kaf%C3%A9%C3%A8n%C3%AC,2025-05-09 14:22:04,success,
8,kajú,https://glosbe.com/yo/en/kaj%C3%BA,2025-05-09 13:50:37,success,
9,Kalifọ́rníọ̀m,https://glosbe.com/yo/en/Kalif%E1%BB%8D%CC%81rn%C3%AD%E1%BB%8D%CC%80m,2025-05-09 13:51:04,success,
10,kampala,https://glosbe.com/yo/en/kampala,2025-05-09 13:45:02,success,
11,Kamẹróòn,https://glosbe.com/yo/en/Kam%E1%BA%B9r%C3%B3%C3%B2n,2025-05-09 13:46:49,success,
12,kamẹrúùn,https://glosbe.com/yo/en/kam%E1%BA%B9r%C3%BA%C3%B9n,2025-05-09 13:53:34,success,
13,Kamẹrúùn,https://glosbe.com/yo/en/Kam%E1%BA%B9r%C3%BA%C3%B9n,2025-05-09 14:04:06,success,
14,Kamẹrúùnù,https://glosbe.com/yo/en/Kam%E1%BA%B9r%C3%BA%C3%B9n%C3%B9,2025-05-09 14:12:10,success,
15,kan,https://glosbe.com/yo/en/kan,2025-05-09 14:14:01,success,
16,kan yoyo,https://glosbe.com/yo/en/kan%20yoyo,2025-05-09 14:04:24,success,
17,Kanga,https://glosbe.com/yo/en/Kanga,2025-05-09 14:10:36,success,
18,kanna-kánná,https://glosbe.com/yo/en/kanna-k%C3%A1nn%C3%A1,2025-05-09 14:08:35,success,
19,kannakanna,https://glosbe.com/yo/en/kannakanna,2025-05-09 13:45:11,success,
