id,word_id,translation,part_of_speech,confidence
1,1,part,verb,high
2,1,part TraverseGPAware,verb,high
3,3,perplexed,adjective,high
4,3,perplexed Aderibole Peter,adjective,high
5,4,butterfly,noun,high
6,4,butterflyen,noun,high
7,6,active,adjective,high
8,6,active TraverseGPAware,adjective,high
9,8,schedule,noun,high
10,8,schedule TraverseGPAware,noun,high
11,10,peninsula,noun,high
12,11,country of origin,noun,high
13,12,to-do,noun,high
14,16,able,adjective,high
15,16,able Tí ara rẹ̀ báleó ní láti ṣiṣẹ́.If he,adjective,high
16,16,difficult,adjective,high
17,16,durable,adjective,high
18,16,durable TraverseGPAware,adjective,high
19,17,le,noun,high
20,19,strong,adjective,high
21,19,strong TraverseGPAware,adjective,high
22,20,Leonhard Euler HeiNER - the,noun,high
23,28,lithuania,noun,high
24,35,defraud,verb,high
25,35,practice fraud,verb,high
26,37,Kingdom of Lunda,phrase,high
27,37,Kingdom of LundaHeiNER - the,phrase,high
28,39,lutetiumnounelement with the atomic number of 71,noun,high
29,40,lutetiumnounelement with the atomic number of 71,noun,high
30,41,enlighten,verb,high
31,42,endeavor,verb,high
32,42,strive,verb,high
33,42,struggle,verb,high
34,43,rheumatism,noun,high
35,43,rheumatism Stephen Ogunbiyi,noun,high
36,44,rash,noun,high
37,45,sweat,verb,high
38,46,intuition,noun,high
39,47,henna,adjective,high
40,47,henna Lawsonia inermis,adjective,high
41,48,anguish,noun,high
42,48,ordeal,noun,high
43,49,liberia,noun,high
44,50,absorb,verb,high
45,50,absorb TraverseGPAware,verb,high
46,50,lick,verb,high
47,51,b GlosbeResearch,adjective,high
48,51,nasty,adjective,high
49,51,nasty GlosbeResearch,adjective,high
50,51,ugly,adjective,high
51,51,ugly TraverseGPAware,adjective,high
52,51,unpleasant,adjective,high
53,51,unpleasant Glosbe Research,adjective,high
54,52,under,adjective,high
55,53,vanity,noun,high
56,53,vanity TraverseGPAware,noun,high
57,54,tasteful,adjective,high
58,54,tasteful TraverseGPAware,adjective,high
59,54,tasty,adjective,high
60,54,tasty TraverseGPAware,adjective,high
61,55,delightful,adjective,high
62,55,delightful TraverseGPAware,adjective,high
63,56,qu,adjective,high
64,57,able,adjective,high
65,57,powerful,adjective,high
66,57,strong,adjective,high
67,57,valiant,adjective,high
68,57,valiant TraverseGPAware,adjective,high
69,57,charge,noun,medium
70,58,adjacent,adjective,high
71,58,adjacent TraverseGPAware,adjective,high
72,59,eating in excess,phrase,high
73,59,excessive eating,verb,high
74,60,happy,adjective,high
75,60,happy TraverseGPAware,adjective,high
76,61,dream,verb,high
77,62,peaceful,adjective,high
78,63,in the evening,phrase,high
79,64,dragon-fly,adverb,high
80,64,dragonfly,noun,high
81,65,drinking in excess,noun,high
82,65,excessive drinking,noun,high
83,66,yesterday,adverb,high
84,66,yesterdayadverbní ànáIgi wó lulẹ̀lánàá,adverb,high
85,67,Latvia,noun,high
86,68,latvia,noun,high
87,69,from,noun,high
88,69,to-do,noun,medium
89,70,in society,noun,high
90,71,between,noun,high
91,72,without question,adverb,high
92,73,carelessly,adverb,high
93,74,bare,adjective,high
94,74,bare TraverseGPAware,adjective,high
95,74,naked,adjective,high
96,74,naked Glosbe Research,adjective,high
97,74,nakedness,noun,high
98,74,nakedness Glosbe Research,adjective,high
99,74,nudity,noun,high
100,74,nudity Glosbe Research,adjective,high
101,75,illegally,adverb,high
102,76,without answering,adverb,high
103,77,uncertain,adjective,high
104,77,uncertain TraverseGPAware,adjective,high
105,78,without eating,adverb,high
106,79,unconditional,adjective,high
107,79,unconditional TraverseGPAware,adjective,high
108,80,patient,adjective,high
109,80,patient TraverseGPAware,adjective,high
110,81,inevitably,adverb,high
111,81,without fail,adverb,high
112,82,feeble,adjective,high
113,82,feeble TraverseGPAware,adjective,high
114,83,unpleasant,adjective,high
115,83,unpleasant TraverseGPAware,adjective,high
116,84,secure,adjective,high
117,84,secure TraverseGPAware,adjective,high
118,85,harmless,adjective,high
119,85,harmless TraverseGPAware,adjective,high
120,86,indefinite,adjective,high
121,86,indefinite TraverseGPAware,adjective,high
122,87,unlucky,adjective,high
123,87,unlucky TraverseGPAware,adjective,high
124,88,without drinking,adverb,high
125,89,unarmed,adjective,high
126,89,unarmed TraverseGPAware,adjective,high
127,90,unarmed,adjective,high
128,90,unarmed TraverseGPAware,adjective,high
129,91,without knowing,verb,high
130,92,easy,adjective,high
131,92,easy TraverseGPAware,adjective,high
132,93,objective,noun,high
133,93,objective GlosbeResearch,noun,high
134,94,just,adjective,high
135,94,just TraverseGPAware,adjective,high
136,95,unhealthy,adjective,high
137,95,unhealthy TraverseGPAware,adjective,high
138,96,needless,adjective,high
139,96,needless TraverseGPAware,adjective,high
140,97,unhappy,adjective,high
141,97,unhappy TraverseGPAware,adjective,high
142,98,obscene,adjective,high
143,98,obscene TraverseGPAware,adjective,high
144,99,carefree,adjective,high
145,99,carefree TraverseGPAware,adjective,high
146,99,hectic,adjective,high
147,99,hectic TraverseGPAware,adjective,high
148,100,incorrect,adjective,high
149,100,incorrect TraverseGPAware,adjective,high
150,101,soon,adverb,high
