id,word_id,translation,part_of_speech,confidence
1,2,I will,noun,high
2,3,call,verb,high
3,3,call TraverseGPAware,verb,high
4,4,Nigeria,noun,high
5,4,Local Government Areas of Nigeria,phrase,medium
6,4,Nigerian Civil War,phrase,medium
7,4,President of Nigeria,phrase,medium
8,4,States of Nigeria,phrase,medium
9,5,Nigeria,noun,high
10,11,Nelson Mandela HeiNER - the,noun,high
11,13,neon nounelement with the atomic number of 10,adjective,high
12,16,brain,verb,high
13,16,brain Mallow82,verb,high
14,24,water,verb,high
15,24,water Mohamm Omar,verb,high
16,24,Niger River,noun,medium
17,24,Niger State,noun,medium
18,26,nicaragua,noun,high
19,30,entity,noun,high
20,30,entitynounsomething that exists,noun,high
21,30,adhesive,adjective,medium
22,30,edge,noun,medium
23,30,fictional entity,noun,medium
24,30,forlone,noun,medium
25,31,fictional entity,noun,high
26,32,sack,noun,high
27,32,sack GlTrav3,noun,high
28,33,Nnamdi AzikiweHeiNER - the,phrase,high
29,35,number,noun,high
30,38,wipe,verb,high
31,39,beat,verb,high
32,39,reach,verb,high
33,39,whip,verb,high
34,40,namibia,noun,high
35,41,nigeria,noun,high
36,41,Federal Republic of Nigeria,phrase,medium
37,41,Nigerian Civil War,phrase,medium
38,42,Nigeria,noun,high
39,42,Federal Republic of Nigeria,phrase,medium
40,42,Nigerian Civil War,phrase,medium
41,43,Niger,noun,high
42,43,Niger River,noun,medium
43,44,niger,noun,high
44,44,Niger River,noun,medium
45,45,alone,adjective,high
46,45,only,adverb,high
47,46,optical,adjective,high
48,46,optical TraverseGPAware,adjective,high
49,47,at,noun,high
50,47,have,verb,high
51,47,have Moníológbò méjì.Ihavetwo cats.TraverseGPAware,phrase,high
52,47,in,noun,high
53,48,has part,noun,high
54,49,false,adjective,high
55,49,false TraverseGPAware,adjective,high
56,49,phoney,adjective,high
57,49,phoney TraverseGPAware,adjective,high
58,50,passionate,adjective,high
59,50,passionate TraverseGPAware,adjective,high
60,51,sandy,adjective,high
61,51,sandy TraverseGPAware,adjective,high
62,52,partial,adjective,high
63,52,partial TraverseGPAware,adjective,high
64,53,malignant,adjective,high
65,53,malignant TraverseGPAware,adjective,high
66,54,chiefly,adjective,high
67,54,chiefly TraverseGPAware,adjective,high
68,54,mainly,adverb,high
69,54,mainly TraverseGPAware,adjective,high
70,54,particularly,adverb,high
71,55,chaotic,adjective,high
72,55,chaotic TraverseGPAware,adjective,high
73,56,patient,adjective,high
