id,word,url,scrape_time,status,error
1,n,https://glosbe.com/yo/en/n,2025-05-09 23:06:09,success,
2,n ó,https://glosbe.com/yo/en/n%20%C3%B3,2025-05-09 23:05:33,success,
3,na ohùn sí,https://glosbe.com/yo/en/na%20oh%C3%B9n%20s%C3%AD,2025-05-09 22:58:07,success,
4,Naijiria,https://glosbe.com/yo/en/Naijiria,2025-05-09 23:17:12,success,
5,Naijiriya,https://glosbe.com/yo/en/Naijiriya,2025-05-09 23:03:11,success,
6,Namibia,https://glosbe.com/yo/en/Namibia,2025-05-09 23:03:52,success,
7,NaN,https://glosbe.com/yo/en/NaN,2025-05-09 23:18:15,success,
8,naples,https://glosbe.com/yo/en/naples,2025-05-09 23:13:18,success,
9,neanderthal,https://glosbe.com/yo/en/neanderthal,2025-05-09 23:14:05,success,
10,nebraska,https://glosbe.com/yo/en/nebraska,2025-05-09 22:59:12,success,
11,Nelson Mandela,https://glosbe.com/yo/en/Nelson%20Mandela,2025-05-09 23:03:42,success,
12,neodymium,https://glosbe.com/yo/en/neodymium,2025-05-09 22:57:00,success,
13,Neon,https://glosbe.com/yo/en/Neon,2025-05-09 23:09:44,success,
14,nepal,https://glosbe.com/yo/en/nepal,2025-05-09 23:01:04,success,
15,neptunium,https://glosbe.com/yo/en/neptunium,2025-05-09 23:05:52,success,
16,nero,https://glosbe.com/yo/en/nero,2025-05-09 23:16:52,success,
17,nevada,https://glosbe.com/yo/en/nevada,2025-05-09 23:10:41,success,
18,new delhi,https://glosbe.com/yo/en/new%20delhi,2025-05-09 23:00:50,success,
19,new orleans,https://glosbe.com/yo/en/new%20orleans,2025-05-09 23:07:52,success,
20,new zealand,https://glosbe.com/yo/en/new%20zealand,2025-05-09 23:11:47,success,
21,nickel,https://glosbe.com/yo/en/nickel,2025-05-09 23:06:35,success,
22,Nickel,https://glosbe.com/yo/en/Nickel,2025-05-09 23:18:57,success,
23,nicosia,https://glosbe.com/yo/en/nicosia,2025-05-09 22:57:10,success,
24,Niger,https://glosbe.com/yo/en/Niger,2025-05-09 22:57:58,success,
25,Nigeria,https://glosbe.com/yo/en/Nigeria,2025-05-09 23:12:57,success,
26,nikarágúà,https://glosbe.com/yo/en/nikar%C3%A1g%C3%BA%C3%A0,2025-05-09 23:06:18,success,
27,Nina Simone,https://glosbe.com/yo/en/Nina%20Simone,2025-05-09 23:15:46,success,
28,Niobium,https://glosbe.com/yo/en/Niobium,2025-05-09 23:04:31,success,
29,niobium,https://glosbe.com/yo/en/niobium,2025-05-09 23:17:49,success,
30,nkan,https://glosbe.com/yo/en/nkan,2025-05-09 23:18:32,success,
31,nkan ìtàn,https://glosbe.com/yo/en/nkan%20%C3%ACt%C3%A0n,2025-05-09 23:19:38,success,
32,nlà akalambi,https://glosbe.com/yo/en/nl%C3%A0%20akalambi,2025-05-09 23:13:59,success,
33,Nnamdi Azikiwe,https://glosbe.com/yo/en/Nnamdi%20Azikiwe,2025-05-09 23:06:51,success,
34,Nobelium,https://glosbe.com/yo/en/Nobelium,2025-05-09 23:06:58,success,
35,nonba,https://glosbe.com/yo/en/nonba,2025-05-09 23:05:57,success,
36,nouakchott,https://glosbe.com/yo/en/nouakchott,2025-05-09 23:09:01,success,
37,November,https://glosbe.com/yo/en/November,2025-05-09 22:59:19,success,
38,nu,https://glosbe.com/yo/en/nu,2025-05-09 23:12:46,success,
