id,translation_id,word_id,yoruba_text,english_text,is_jw_reference,confidence,source,score
1,1.0,1,o káre láé,congratulations,False,high,primary_translation,0
2,2.0,1,o káre láé,well done,False,high,primary_translation,0
3,,2,Lọ̀rọ̀ tí ká bíyèsí Ọba Abdu Kabir AdéyẹmíObaLá nlẹ́gẹ́ (Ọlótà ti ilú Ọ̀tà) tó ní ìlú Ọ̀tà ni à kọ́kọ́ nínú ilẹ̀ Àwórì tó kọ́kọ́ ṣe ìwé ìtàn.,"In his address, the Olota of Ota, Oba Adeyemi Abudukabir who said that Ota is the foremost town among the Awori people, stated that the documentation of the history of Awori's is apt for the preservation of history.",False,high,tmem,0
4,,3,"(Danieli 7:27; 1 Korinti 6:2; Ìfihàn 3:21; 20:6) Awọn ọkunrin atiobinrinwọnyi gba Jesu Kristi gbọ, ẹni ti o wi pe a o “tún” wọn “bí.”","(Daniel 7:27; 1 Corinthians 6:2; Revelation 3:21; 20:6) These men andwomenput faith in Jesus Christ, who said that they would be “born again.”",False,high,tmem,0
5,,3,"“Obinrinyii pọ ni iṣẹ oore, ati itọrẹ aanu ti o nṣe,” ati nigba ti 'o ṣaisan ti o si ku,' awọn ọmọ-ẹhin ranṣẹ kesi Peteru ni Lida.","“Sheabounded in good deeds and gifts of mercy,” and when 'she fell sick and died,' the disciples sent for Peter at Lydda.",False,high,tmem,0
6,,3,"11 Ni abawọle ẹnu-ọna ile Jehofa, Eseki eli rí awọn apẹhindaobinrinIsraeli ti wọn ń sunkun lé Tamusi lori.","11 At the entrance of the gate of Jehovah's house, Ezekiel saw apostate Israelitewomenweeping over Tammuz.",True,high,tmem,0
7,,3,"Ṣugbọn Jesu sọ peobinrinnaa kii ranti ipọnju rẹ̀ lẹhin ti o ba ti bi ọmọ rẹ̀, ni sisọ pe: “Nito ri naa ẹyin ni ibinujẹ nisinsinyi: ṣugbọn emi yoo tún ri yin, [nigba ti mo ba jinde] ọkan yin yoo sì yọ̀, ko sì sí ẹni ti yoo gba ayọ yin lọwọ yin.”","But Jesus observes thatsheno longer remembers her tribulation once her child is born, and he encourages his apostles, saying: “You also, therefore, are now, indeed, having grief; but I shall see you again [when I am resurrected] and your hearts will rejoice, and your joy no one will take from you.”",False,high,tmem,0
8,,3,"Ni kutukutu owurọ Sunday Maria Magidaleni, Maria iya Jakọbu, papọ pẹlu Salomẹ, Joanna, ati awọnobinrinmiiran, mu awọn ohun oloorun didun wá sibi iboji naa lati tọju ara oku Jesu.","Early Sunday morning Mary Magdalene, Mary the mother of James, along with Salome, Joanna, and otherwomen, bring spices to the tomb to treat Jesus' body.",False,high,tmem,0
9,,3,□ Bawo ni a ṣe nilati nimọlara si gbogbo awọn wọnni ti wọn jẹ “awọnobinrinti wọn nṣiṣẹ ká ra ninu Oluwa” lonii?,□ How should we feel toward all those today who are “womenwho are working hard in the Lord”?,False,high,tmem,0
10,6.0,3,"Siwaju sii, obinrinti kò lọ́kọ, ati wundia, ń ṣaniyan fun awọn nǹkan ti Oluwa...","Further, the unmarriedwoman, and the virgin, is anxious for the things of the Lord...",False,high,tmem,0
