id,word_id,translation,part_of_speech,confidence
1,1,congratulations,interjection,high
2,1,well done,interjection,high
3,2,king,noun,high
4,2,kingnouna male of a royal family who,noun,high
5,2,queen,noun,medium
6,3,woman,noun,high
7,4,kola nut,noun,high
8,4,caffeine,noun,medium
9,5,circle,noun,high
10,7,parrot,noun,high
11,7,parroten,noun,high
12,7,parrotnounsv.wiktionary.org,noun,high
13,8,Mortar,noun,high
14,8,coprocessor,noun,medium
15,8,Pestle,noun,medium
16,9,central processing unit,noun,high
17,9,microprocessor,noun,high
18,9,processor,noun,high
19,9,coprocessor,noun,medium
20,10,Chukwuemeka Odumegwu Ojukwu,phrase,high
21,10,Chukwuemeka Odumegwu OjukwuHeiNER-the-,phrase,high
22,11,grudge,verb,high
23,11,grudge GlosbeResearch,verb,high
24,11,malice,noun,high
25,11,malice TraverseGPAware,verb,high
26,12,gray parrot,noun,high
27,12,parrot,noun,high
28,12,parrot nounorder of birds,phrase,high
29,12,Parrots,verb,high
30,13,gray parrot,noun,high
31,13,Parrot,noun,high
32,13,parrot nounorder of birds,phrase,high
33,13,Parrots,verb,high
34,14,brook,noun,high
35,14,brook TraverseGPAware,noun,high
36,14,river,noun,high
37,14,stream,noun,high
38,14,Niger River,noun,medium
39,14,river basin,noun,medium
40,14,riverbank,noun,medium
41,14,riverbed,verb,medium
42,14,shrimp farm,noun,medium
43,15,brook,noun,high
44,15,brook TraverseGPAware,noun,high
45,15,river,verb,high
46,15,stream,noun,high
47,15,Niger River,noun,medium
48,15,river basin,noun,medium
49,15,riverbank,noun,medium
50,15,riverbed,verb,medium
51,15,shrimp farm,noun,medium
52,16,danube,noun,high
53,17,stream,verb,high
54,18,Niger River,noun,high
55,18,Niger River HeiNER - the,noun,high
56,19,Niger River,noun,high
57,20,shrimp farm,noun,high
58,21,Niger River,noun,high
59,22,mortar,verb,high
60,22,canal,adjective,medium
61,23,canal,noun,high
62,23,canal TraverseGPAware,noun,high
63,24,arrow,noun,high
64,24,arrow GlosbeResearch,noun,high
65,25,old age,noun,high
66,26,fashion,verb,high
67,26,fashion Abz Zayne,verb,high
68,27,Plantain,noun,high
69,28,Oggy and the Cockroaches,phrase,high
70,29,wall,verb,high
71,29,wall Ifedayo H Ayeni,verb,high
72,30,calf,noun,high
73,30,calf TraverseGPAware,noun,high
74,31,battle,noun,high
75,31,fight,noun,high
76,31,war,noun,high
77,31,warfare,noun,high
78,31,American Civil War,phrase,medium
79,31,general,adjective,medium
80,31,Nigerian Civil War,phrase,medium
81,31,unarmed,verb,medium
82,31,world war,noun,medium
