id,word,url,scrape_time,status,error
1,o káre láé,https://glosbe.com/yo/en/o%20k%C3%A1re%20l%C3%A1%C3%A9,2025-05-10 16:50:56,success,
2,oba,https://glosbe.com/yo/en/oba,2025-05-10 16:16:58,success,
3,obinrin,https://glosbe.com/yo/en/obinrin,2025-05-10 16:57:33,success,
4,obì,https://glosbe.com/yo/en/ob%C3%AC,2025-05-10 16:59:35,success,
5,obíríkítí,https://glosbe.com/yo/en/ob%C3%ADr%C3%ADk%C3%ADt%C3%AD,2025-05-10 16:18:48,success,
6,October,https://glosbe.com/yo/en/October,2025-05-10 17:17:37,success,
7,odidẹ,https://glosbe.com/yo/en/odid%E1%BA%B9,2025-05-10 16:24:48,success,
8,Odo,https://glosbe.com/yo/en/Odo,2025-05-10 17:19:14,success,
9,odo ìṣirò kọ̀ǹpútà,https://glosbe.com/yo/en/odo%20%C3%AC%E1%B9%A3ir%C3%B2%20k%E1%BB%8D%CC%80%C7%B9p%C3%BAt%C3%A0,2025-05-10 17:40:20,success,
10,Odumegwu Ojukwu,https://glosbe.com/yo/en/Odumegwu%20Ojukwu,2025-05-10 17:09:06,success,
11,odì,https://glosbe.com/yo/en/od%C3%AC,2025-05-10 17:19:28,success,
12,odídẹrẹ́,https://glosbe.com/yo/en/od%C3%ADd%E1%BA%B9r%E1%BA%B9%CC%81,2025-05-10 17:32:50,success,
13,Odídẹrẹ́,https://glosbe.com/yo/en/Od%C3%ADd%E1%BA%B9r%E1%BA%B9%CC%81,2025-05-10 17:35:55,success,
14,odò,https://glosbe.com/yo/en/od%C3%B2,2025-05-10 16:20:07,success,
15,Odò,https://glosbe.com/yo/en/Od%C3%B2,2025-05-10 17:36:27,success,
16,odò dánúbì,https://glosbe.com/yo/en/od%C3%B2%20d%C3%A1n%C3%BAb%C3%AC,2025-05-10 17:29:44,success,
17,odò kékeré,https://glosbe.com/yo/en/od%C3%B2%20k%C3%A9ker%C3%A9,2025-05-10 17:09:01,success,
18,Odò Niger,https://glosbe.com/yo/en/Od%C3%B2%20Niger,2025-05-10 16:52:22,success,
19,Odò Nìjẹ̀r,https://glosbe.com/yo/en/Od%C3%B2%20N%C3%ACj%E1%BA%B9%CC%80r,2025-05-10 16:33:24,success,
20,odò ìdọ́sìn edé,https://glosbe.com/yo/en/od%C3%B2%20%C3%ACd%E1%BB%8D%CC%81s%C3%ACn%20ed%C3%A9,2025-05-10 16:19:13,success,
21,Odò Ọya,https://glosbe.com/yo/en/Od%C3%B2%20%E1%BB%8Cya,2025-05-10 16:30:09,success,
22,odó,https://glosbe.com/yo/en/od%C3%B3,2025-05-10 16:59:59,success,
23,odó lílà,https://glosbe.com/yo/en/od%C3%B3%20l%C3%ADl%C3%A0,2025-05-10 16:18:13,success,
24,ofà,https://glosbe.com/yo/en/of%C3%A0,2025-05-10 17:13:17,success,
