id,word_id,translation,part_of_speech,confidence
1,1,kill,verb,high
2,1,killverbṢó o fẹ́pamí ni!?Do you want tokillme,verb,high
3,2,close,verb,high
4,3,archive,verb,high
5,4,earn,verb,high
6,5,Clear Recordings,verb,high
7,6,discard changes,verb,high
8,7,shut down,verb,high
9,7,turn off,verb,high
10,8,Shut Down,noun,high
11,8,turn off,verb,high
12,9,come back,verb,high
13,9,come backverbnabeelah,verb,high
14,10,return home,verb,high
15,11,Back,noun,high
16,12,leveling,noun,high
17,12,aerification,noun,medium
18,13,undo,verb,high
19,14,close,verb,high
20,14,close TraverseGPAware,verb,high
21,15,make noise,verb,high
22,17,Plank,noun,high
23,17,brown,noun,medium
24,18,pakistan,noun,high
25,21,harm,verb,high
26,21,harm TraverseGPAware,verb,high
27,22,palestine,noun,high
28,23,Save,noun,high
29,23,mortuary,noun,medium
30,23,Saved networks,verb,medium
31,23,seal,adjective,medium
32,25,panama,noun,high
33,25,panama canal,adjective,medium
34,26,odd,adjective,high
35,26,odd TraverseGPAware,adjective,high
36,27,tin,adjective,high
37,27,tin Ifedayo H Ayeni,adjective,high
38,28,stockfish,noun,high
39,29,fire fighter,noun,high
40,29,fireman,noun,high
41,29,fire station,noun,medium
42,31,together,adjective,high
43,31,merged cell,noun,medium
44,32,paraguay,noun,high
45,34,paris,verb,high
46,35,Paris,verb,high
47,37,ravage,verb,high
48,37,ravage TraverseGPAware,verb,high
49,38,destroy,verb,high
50,38,end,verb,high
51,38,finish off,verb,high
52,38,finish off Glosbe Research,verb,high
53,38,smash,verb,high
54,38,smash Glosbe Research,verb,high
55,38,Complete the merge,phrase,medium
56,39,Complete the merge,phrase,high
57,40,paralyze,verb,high
58,40,paralyze TraverseGPAware,verb,high
59,41,cancel,verb,high
60,41,Delete,noun,high
61,42,cancel,verb,high
62,42,Delete,noun,high
63,43,ignore,verb,high
64,45,gulf war,noun,medium
65,46,gulf war,noun,high
66,48,peru,noun,high
67,49,decide,verb,high
68,49,determine,verb,high
69,49,ratify,verb,high
70,49,ratify TraverseGPAware,verb,high
71,50,Pichilemu,noun,high
72,50,Pichilemu en.wiktionary.org,noun,high
73,56,planet,noun,high
74,57,planet,noun,high
75,58,absence,noun,high
76,58,absence GlosbeResearch,noun,high
77,59,Pluto,noun,high
78,60,plutonium,noun,high
79,60,plutoniumnounelement with the atomic number of 94,noun,high
80,62,Poland,noun,high
81,77,protactinium,noun,high
82,80,prokaryotes,noun,high
83,81,proton,noun,high
84,82,proton,noun,high
85,83,red,adjective,high
86,83,yellow,adjective,high
87,83,yellow Glosbe Research,adjective,high
88,83,orange,noun,medium
89,83,pink,noun,medium
90,83,red sea,noun,medium
91,83,red-green-blue,noun,medium
92,83,sapphire,noun,medium
93,83,turmeric,adjective,medium
94,84,orange,adjective,high
95,84,orange TraverseGPAware,adjective,high
96,88,lose,verb,high
97,89,initialize,verb,high
98,90,bamboo,noun,high
99,90,bamboo TraverseGPAware,noun,high
100,91,mat,noun,high
101,91,mat TraverseGPAware,noun,high
102,92,Notes E-mailed To Me,phrase,high
103,93,bargain,noun,high
104,93,bargain TraverseGPAware,noun,high
105,94,encrypt,verb,high
106,95,chief,noun,high
107,95,main,adjective,high
108,95,mainly,adverb,high
109,96,important,adjective,high
110,96,important TraverseGPAware,adjective,high
111,97,Switch User,noun,high
112,98,actually,adverb,high
113,98,especially,adverb,high
114,98,particularly,adverb,high
