id,word,url,scrape_time,status,error
1,pa,https://glosbe.com/yo/en/pa,2025-05-12 01:48:31,success,
2,pa dé,https://glosbe.com/yo/en/pa%20d%C3%A9,2025-05-12 02:04:48,success,
3,pa mọ́ fọ́jọ́ pị́pẹ́,https://glosbe.com/yo/en/pa%20m%E1%BB%8D%CC%81%20f%E1%BB%8D%CC%81j%E1%BB%8D%CC%81%20p%E1%BB%8B%CC%81p%E1%BA%B9%CC%81,2025-05-12 01:45:56,success,
4,pa owó,https://glosbe.com/yo/en/pa%20ow%C3%B3,2025-05-12 01:59:22,success,
5,Pa Àkáálẹ̀ Rẹ́,https://glosbe.com/yo/en/Pa%20%C3%80k%C3%A1%C3%A1l%E1%BA%B9%CC%80%20R%E1%BA%B9%CC%81,2025-05-12 01:46:55,success,
6,Pa àwọn àyípadà tì,https://glosbe.com/yo/en/Pa%20%C3%A0w%E1%BB%8Dn%20%C3%A0y%C3%ADpad%C3%A0%20t%C3%AC,2025-05-12 01:47:16,success,
7,pa á,https://glosbe.com/yo/en/pa%20%C3%A1,2025-05-12 01:46:03,success,
8,Pa á,https://glosbe.com/yo/en/Pa%20%C3%A1,2025-05-12 01:48:11,success,
9,pada wa,https://glosbe.com/yo/en/pada%20wa,2025-05-12 01:48:07,success,
10,padà relé,https://glosbe.com/yo/en/pad%C3%A0%20rel%C3%A9,2025-05-12 01:53:40,success,
11,Padà sẹ́yìn,https://glosbe.com/yo/en/Pad%C3%A0%20s%E1%BA%B9%CC%81y%C3%ACn,2025-05-12 02:04:39,success,
12,padàbọ̀sípò,https://glosbe.com/yo/en/pad%C3%A0b%E1%BB%8D%CC%80s%C3%ADp%C3%B2,2025-05-12 01:59:26,success,
13,padàsẹ́yìn,https://glosbe.com/yo/en/pad%C3%A0s%E1%BA%B9%CC%81y%C3%ACn,2025-05-12 01:52:57,success,
14,padésétì,https://glosbe.com/yo/en/pad%C3%A9s%C3%A9t%C3%AC,2025-05-12 01:58:48,success,
15,paiwo,https://glosbe.com/yo/en/paiwo,2025-05-12 01:48:43,success,
16,Pakistan,https://glosbe.com/yo/en/Pakistan,2025-05-12 01:55:31,success,
17,Pako,https://glosbe.com/yo/en/Pako,2025-05-12 01:58:00,success,
18,pakístàn,https://glosbe.com/yo/en/pak%C3%ADst%C3%A0n,2025-05-12 01:55:22,success,
19,Palladium,https://glosbe.com/yo/en/Palladium,2025-05-12 01:47:30,success,
20,palladium,https://glosbe.com/yo/en/palladium,2025-05-12 01:50:33,success,
21,palára,https://glosbe.com/yo/en/pal%C3%A1ra,2025-05-12 01:49:42,success,
22,palẹstínì,https://glosbe.com/yo/en/pal%E1%BA%B9st%C3%ADn%C3%AC,2025-05-12 01:56:18,success,
23,pamọ́,https://glosbe.com/yo/en/pam%E1%BB%8D%CC%81,2025-05-12 01:57:49,success,
24,Panama,https://glosbe.com/yo/en/Panama,2025-05-12 02:00:37,success,
25,panamá,https://glosbe.com/yo/en/panam%C3%A1,2025-05-12 01:46:09,success,
26,pandanláìbámu,https://glosbe.com/yo/en/pandanl%C3%A1%C3%ACb%C3%A1mu,2025-05-12 01:58:41,success,
27,Pangolo,https://glosbe.com/yo/en/Pangolo,2025-05-12 01:49:59,success,
28,panla,https://glosbe.com/yo/en/panla,2025-05-12 01:50:05,success,
29,panápaná,https://glosbe.com/yo/en/pan%C3%A1pan%C3%A1,2025-05-12 01:52:16,success,
30,papua new guinea,https://glosbe.com/yo/en/papua%20new%20guinea,2025-05-12 01:50:16,success,
31,papọ̀,https://glosbe.com/yo/en/pap%E1%BB%8D%CC%80,2025-05-12 02:00:17,success,
32,paragúáì,https://glosbe.com/yo/en/parag%C3%BA%C3%A1%C3%AC,2025-05-12 02:00:32,success,
33,paramaribo,https://glosbe.com/yo/en/paramaribo,2025-05-12 02:00:57,success,
34,parisi,https://glosbe.com/yo/en/parisi,2025-05-12 01:47:24,success,
35,Parisi,https://glosbe.com/yo/en/Parisi,2025-05-12 01:55:44,success,
36,pariwomí,https://glosbe.com/yo/en/pariwom%C3%AD,2025-05-12 01:50:11,failed,Status code: 404
37,parun,https://glosbe.com/yo/en/parun,2025-05-12 01:55:36,success,
38,parí,https://glosbe.com/yo/en/par%C3%AD,2025-05-12 01:56:22,success,
39,Parí ìdàpọ̀,https://glosbe.com/yo/en/Par%C3%AD%20%C3%ACd%C3%A0p%E1%BB%8D%CC%80,2025-05-12 01:48:52,success,
40,pasára,https://glosbe.com/yo/en/pas%C3%A1ra,2025-05-12 02:01:44,success,
41,paá rẹ́,https://glosbe.com/yo/en/pa%C3%A1%20r%E1%BA%B9%CC%81,2025-05-12 01:58:04,success,
42,Paá rẹ́,https://glosbe.com/yo/en/Pa%C3%A1%20r%E1%BA%B9%CC%81,2025-05-12 02:02:43,success,
43,paátì,https://glosbe.com/yo/en/pa%C3%A1t%C3%AC,2025-05-12 01:50:23,success,
44,pericles,https://glosbe.com/yo/en/pericles,2025-05-12 01:57:03,success,
45,persian gulf,https://glosbe.com/yo/en/persian%20gulf,2025-05-12 01:59:06,success,
46,persian gulf war,https://glosbe.com/yo/en/persian%20gulf%20war,2025-05-12 02:05:20,success,
47,Peru,https://glosbe.com/yo/en/Peru,2025-05-12 01:51:04,success,
48,perú,https://glosbe.com/yo/en/per%C3%BA,2025-05-12 01:55:12,success,
49,pinnu,https://glosbe.com/yo/en/pinnu,2025-05-12 01:52:36,success,
50,Pitsilimu,https://glosbe.com/yo/en/Pitsilimu,2025-05-12 02:00:06,success,
51,PivotTable,https://glosbe.com/yo/en/PivotTable,2025-05-12 02:06:04,success,
52,Plato,https://glosbe.com/yo/en/Plato,2025-05-12 02:01:14,success,
53,plato,https://glosbe.com/yo/en/plato,2025-05-12 02:01:37,success,
54,pluto,https://glosbe.com/yo/en/pluto,2025-05-12 01:50:45,success,
55,plutonium,https://glosbe.com/yo/en/plutonium,2025-05-12 01:46:21,success,
56,plánẹ̀tì,https://glosbe.com/yo/en/pl%C3%A1n%E1%BA%B9%CC%80t%C3%AC,2025-05-12 01:50:57,success,
57,Plánẹ̀tì,https://glosbe.com/yo/en/Pl%C3%A1n%E1%BA%B9%CC%80t%C3%AC,2025-05-12 02:00:49,success,
58,plé,https://glosbe.com/yo/en/pl%C3%A9,2025-05-12 01:51:29,success,
59,Plùtò,https://glosbe.com/yo/en/Pl%C3%B9t%C3%B2,2025-05-12 02:05:36,success,
60,Plùtòníọ̀m,https://glosbe.com/yo/en/Pl%C3%B9t%C3%B2n%C3%AD%E1%BB%8D%CC%80m,2025-05-12 02:04:30,success,
61,Pneumococcal vaccine,https://glosbe.com/yo/en/Pneumococcal%20vaccine,2025-05-12 02:05:56,success,
62,Polandi,https://glosbe.com/yo/en/Polandi,2025-05-12 02:03:16,success,
63,Polonium,https://glosbe.com/yo/en/Polonium,2025-05-12 01:46:29,success,
64,polonium,https://glosbe.com/yo/en/polonium,2025-05-12 02:02:10,success,
65,port harcourt,https://glosbe.com/yo/en/port%20harcourt,2025-05-12 01:49:01,success,
66,port louis,https://glosbe.com/yo/en/port%20louis,2025-05-12 01:47:04,success,
67,port moresby,https://glosbe.com/yo/en/port%20moresby,2025-05-12 02:05:42,success,
68,Portugal,https://glosbe.com/yo/en/Portugal,2025-05-12 01:49:13,success,
69,Posterize,https://glosbe.com/yo/en/Posterize,2025-05-12 01:57:54,success,
70,potassiumpọ̀,https://glosbe.com/yo/en/potassiump%E1%BB%8D%CC%80,2025-05-12 02:03:01,failed,Status code: 404
71,prague,https://glosbe.com/yo/en/prague,2025-05-12 01:53:11,success,
72,praseodymium,https://glosbe.com/yo/en/praseodymium,2025-05-12 01:59:14,success,
73,prolog,https://glosbe.com/yo/en/prolog,2025-05-12 01:55:52,success,
74,Promethium,https://glosbe.com/yo/en/Promethium,2025-05-12 01:47:55,success,
75,promethium,https://glosbe.com/yo/en/promethium,2025-05-12 01:48:16,success,
76,protactinium,https://glosbe.com/yo/en/protactinium,2025-05-12 01:52:22,success,
77,Protaktiníọ̀m,https://glosbe.com/yo/en/Protaktin%C3%AD%E1%BB%8D%CC%80m,2025-05-12 02:03:20,success,
78,protologism,https://glosbe.com/yo/en/protologism,2025-05-12 01:57:21,success,
79,prussia,https://glosbe.com/yo/en/prussia,2025-05-12 02:02:49,success,
80,Pròkáríọ́tì,https://glosbe.com/yo/en/Pr%C3%B2k%C3%A1r%C3%AD%E1%BB%8D%CC%81t%C3%AC,2025-05-12 01:58:21,success,
81,prótónì,https://glosbe.com/yo/en/pr%C3%B3t%C3%B3n%C3%AC,2025-05-12 01:56:10,success,
82,Prótónì,https://glosbe.com/yo/en/Pr%C3%B3t%C3%B3n%C3%AC,2025-05-12 02:03:27,success,
83,pupa,https://glosbe.com/yo/en/pupa,2025-05-12 01:54:00,success,
84,pupa bí epo,https://glosbe.com/yo/en/pupa%20b%C3%AD%20epo,2025-05-12 01:47:59,success,
85,Putin,https://glosbe.com/yo/en/Putin,2025-05-12 01:53:15,success,
86,pyongyang,https://glosbe.com/yo/en/pyongyang,2025-05-12 01:52:01,success,
87,pythagoras,https://glosbe.com/yo/en/pythagoras,2025-05-12 02:02:35,success,
88,pàdánù,https://glosbe.com/yo/en/p%C3%A0d%C3%A1n%C3%B9,2025-05-12 01:48:48,success,
89,pàjùbà,https://glosbe.com/yo/en/p%C3%A0j%C3%B9b%C3%A0,2025-05-12 02:02:57,success,
90,pàko,https://glosbe.com/yo/en/p%C3%A0ko,2025-05-12 02:05:13,success,
91,pàkìtí,https://glosbe.com/yo/en/p%C3%A0k%C3%ACt%C3%AD,2025-05-12 01:56:38,success,
92,Pàkíyèsí Mi Sí Í-méèlì tí Mo Gba Gẹ́gẹ́ Bíi Asomọ́,https://glosbe.com/yo/en/P%C3%A0k%C3%ADy%C3%A8s%C3%AD%20Mi%20S%C3%AD%20%C3%8D-m%C3%A9%C3%A8l%C3%AC%20t%C3%AD%20Mo%20Gba%20G%E1%BA%B9%CC%81g%E1%BA%B9%CC%81%20B%C3%ADi%20Asom%E1%BB%8D%CC%81,2025-05-12 01:58:09,success,
93,pànpá,https://glosbe.com/yo/en/p%C3%A0np%C3%A1,2025-05-12 02:02:27,success,
94,pàroko,https://glosbe.com/yo/en/p%C3%A0roko,2025-05-12 01:49:17,success,
95,pàtàkì,https://glosbe.com/yo/en/p%C3%A0t%C3%A0k%C3%AC,2025-05-12 02:03:38,success,
96,pàtàkìtóbilárí,https://glosbe.com/yo/en/p%C3%A0t%C3%A0k%C3%ACt%C3%B3bil%C3%A1r%C3%AD,2025-05-12 01:48:23,success,
97,Pààrọ̀ Aṣàmúlò,https://glosbe.com/yo/en/P%C3%A0%C3%A0r%E1%BB%8D%CC%80%20A%E1%B9%A3%C3%A0m%C3%BAl%C3%B2,2025-05-12 01:55:27,success,
98,pàápàá,https://glosbe.com/yo/en/p%C3%A0%C3%A1p%C3%A0%C3%A1,2025-05-12 01:56:30,success,
99,pàǹtí,https://glosbe.com/yo/en/p%C3%A0%C7%B9t%C3%AD,2025-05-12 01:53:29,success,
100,pàṣán,https://glosbe.com/yo/en/p%C3%A0%E1%B9%A3%C3%A1n,2025-05-12 01:47:37,success,
101,pá-pà-pá,https://glosbe.com/yo/en/p%C3%A1-p%C3%A0-p%C3%A1,2025-05-12 02:05:08,success,
102,pákí,https://glosbe.com/yo/en/p%C3%A1k%C3%AD,2025-05-12 02:04:57,success,
103,pálí,https://glosbe.com/yo/en/p%C3%A1l%C3%AD,2025-05-12 01:54:48,success,
104,Pánẹ̀lì Àkọsílẹ̀,https://glosbe.com/yo/en/P%C3%A1n%E1%BA%B9%CC%80l%C3%AC%20%C3%80k%E1%BB%8Ds%C3%ADl%E1%BA%B9%CC%80,2025-05-12 02:02:06,success,
105,Pánẹ́ẹ̀lì Ìdarí,https://glosbe.com/yo/en/P%C3%A1n%E1%BA%B9%CC%81%E1%BA%B9%CC%80l%C3%AC%20%C3%8Cdar%C3%AD,2025-05-12 02:04:04,success,
106,Pánẹ́ẹ̀lì Ìròyìn Àkọsílẹ̀,https://glosbe.com/yo/en/P%C3%A1n%E1%BA%B9%CC%81%E1%BA%B9%CC%80l%C3%AC%20%C3%8Cr%C3%B2y%C3%ACn%20%C3%80k%E1%BB%8Ds%C3%ADl%E1%BA%B9%CC%80,2025-05-12 02:01:59,success,
107,pápá,https://glosbe.com/yo/en/p%C3%A1p%C3%A1,2025-05-12 01:58:58,success,
108,pápá bọ́ọ̀lù àfẹsẹ̀gbá,https://glosbe.com/yo/en/p%C3%A1p%C3%A1%20b%E1%BB%8D%CC%81%E1%BB%8D%CC%80l%C3%B9%20%C3%A0f%E1%BA%B9s%E1%BA%B9%CC%80gb%C3%A1,2025-05-12 02:02:15,success,
109,pápá bọ́ọ̀lù ẹlẹ́sẹ̀,https://glosbe.com/yo/en/p%C3%A1p%C3%A1%20b%E1%BB%8D%CC%81%E1%BB%8D%CC%80l%C3%B9%20%E1%BA%B9l%E1%BA%B9%CC%81s%E1%BA%B9%CC%80,2025-05-12 01:54:55,success,
110,pápá ìgbábọ́ọ̀lù,https://glosbe.com/yo/en/p%C3%A1p%C3%A1%20%C3%ACgb%C3%A1b%E1%BB%8D%CC%81%E1%BB%8D%CC%80l%C3%B9,2025-05-12 01:52:27,success,
111,pápá ìṣeré ìgbábọ́ọ̀lù,https://glosbe.com/yo/en/p%C3%A1p%C3%A1%20%C3%AC%E1%B9%A3er%C3%A9%20%C3%ACgb%C3%A1b%E1%BB%8D%CC%81%E1%BB%8D%CC%80l%C3%B9,2025-05-12 02:03:44,success,
112,pápákọ̀ òfuurufú,https://glosbe.com/yo/en/p%C3%A1p%C3%A1k%E1%BB%8D%CC%80%20%C3%B2fuuruf%C3%BA,2025-05-12 01:58:25,success,
113,pátá,https://glosbe.com/yo/en/p%C3%A1t%C3%A1,2025-05-12 02:03:08,success,
114,pátákò,https://glosbe.com/yo/en/p%C3%A1t%C3%A1k%C3%B2,2025-05-12 01:55:07,success,
115,pátákó,https://glosbe.com/yo/en/p%C3%A1t%C3%A1k%C3%B3,2025-05-12 02:00:27,success,
116,Pátákó àmì-ayò Eré-ìdárayá,https://glosbe.com/yo/en/P%C3%A1t%C3%A1k%C3%B3%20%C3%A0m%C3%AC-ay%C3%B2%20Er%C3%A9-%C3%ACd%C3%A1ray%C3%A1,2025-05-12 02:01:08,success,
117,pátápátá,https://glosbe.com/yo/en/p%C3%A1t%C3%A1p%C3%A1t%C3%A1,2025-05-12 02:04:35,success,
118,páànù,https://glosbe.com/yo/en/p%C3%A1%C3%A0n%C3%B9,2025-05-12 01:47:46,success,
119,páálí,https://glosbe.com/yo/en/p%C3%A1%C3%A1l%C3%AD,2025-05-12 01:57:35,success,
120,páánú,https://glosbe.com/yo/en/p%C3%A1%C3%A1n%C3%BA,2025-05-12 01:59:58,success,
