id,word,url,scrape_time,status,error
1,rabat,https://glosbe.com/yo/en/rabat,2025-05-12 04:12:19,success,
2,Radiomu,https://glosbe.com/yo/en/Radiomu,2025-05-12 04:15:57,success,
3,radium,https://glosbe.com/yo/en/radium,2025-05-12 04:12:27,success,
4,radon,https://glosbe.com/yo/en/radon,2025-05-12 04:11:49,success,
5,Radon,https://glosbe.com/yo/en/Radon,2025-05-12 04:18:53,success,
6,raket,https://glosbe.com/yo/en/raket,2025-05-12 04:19:31,success,
7,Ralph Ellison,https://glosbe.com/yo/en/Ralph%20Ellison,2025-05-12 04:18:28,success,
8,reggae,https://glosbe.com/yo/en/reggae,2025-05-12 04:13:35,success,
9,Reggae,https://glosbe.com/yo/en/Reggae,2025-05-12 04:15:19,success,
10,Remote procedure call,https://glosbe.com/yo/en/Remote%20procedure%20call,2025-05-12 04:20:28,success,
11,Renminbi,https://glosbe.com/yo/en/Renminbi,2025-05-12 04:12:08,success,
12,renminbi,https://glosbe.com/yo/en/renminbi,2025-05-12 04:18:24,success,
13,retí,https://glosbe.com/yo/en/ret%C3%AD,2025-05-12 04:17:37,success,
14,rewà,https://glosbe.com/yo/en/rew%C3%A0,2025-05-12 04:12:51,success,
15,Rhenium,https://glosbe.com/yo/en/Rhenium,2025-05-12 04:11:34,success,
16,rhenium,https://glosbe.com/yo/en/rhenium,2025-05-12 04:20:33,success,
17,rhodium,https://glosbe.com/yo/en/rhodium,2025-05-12 04:17:18,success,
18,Rhodium,https://glosbe.com/yo/en/Rhodium,2025-05-12 04:17:44,success,
19,Ri Ru,https://glosbe.com/yo/en/Ri%20Ru,2025-05-12 04:11:38,success,
20,Ribbon,https://glosbe.com/yo/en/Ribbon,2025-05-12 04:18:58,success,
21,Richard Wright,https://glosbe.com/yo/en/Richard%20Wright,2025-05-12 04:14:16,success,
22,ridájú,https://glosbe.com/yo/en/rid%C3%A1j%C3%BA,2025-05-12 04:18:02,success,
23,Riel,https://glosbe.com/yo/en/Riel,2025-05-12 04:18:43,success,
24,riga,https://glosbe.com/yo/en/riga,2025-05-12 04:19:10,success,
25,rin,https://glosbe.com/yo/en/rin,2025-05-12 04:12:12,success,
26,ringbindin,https://glosbe.com/yo/en/ringbindin,2025-05-12 04:14:22,success,
27,rio de janeiro,https://glosbe.com/yo/en/rio%20de%20janeiro,2025-05-12 04:13:51,success,
28,RNA,https://glosbe.com/yo/en/RNA,2025-05-12 04:15:47,success,
29,ro,https://glosbe.com/yo/en/ro,2025-05-12 04:18:47,success,
