id,translation_id,word_id,yoruba_text,english_text,is_jw_reference,confidence,source,score
1,1.0,1,Agbọ́n fẹ́tamí,A wasp is trying tostingme,False,high,html,0
2,,1,"Èyí bá bí Bíbélì ṣe ṣà pèjúwe ọ̀nà tí Sólómọ́nì gbà ṣiṣẹ́ ìkọ́lé rẹ̀ mu, pé: “Ní ti à gbà lá tító bi náà, ẹsẹ mẹ́taòkúta gbígbẹ́ à ti ẹsẹ kan ìtì igi kédá rì wà yí i ká; à ti èyí pẹ̀lú fún à gbà lá inú lọ́hùn-ún ilé Jèhófà, à ti fún gọ̀bì ilé náà.”","This coincides with the Bible's description of Solomon's building program: “As for the great courtyard, round about were three rows of hewnstoneand a row of beams of cedarwood; and this also for the inner courtyard of the house of Jehovah, and for the porch of the house.”",True,high,html,0
3,,1,4:15) Ará kùnrin Victor tó ti tọ́ à wọn ọmọ mẹ́tadà gbà sọ pé: “Kò rọrùn lá ti tọ́ wọn nígbà tí wọ́n bẹ̀rẹ̀ sí í bà lágà.,"4:15) Victor, whoraisedtwo sons and a daughter, says: “The teenage years were not easy.",False,high,html,0
4,,1,3) Ẹ̀kán òjò náà kán sí ẹ̀bá òkè kan pẹ̀lú à rà ádọ́taọ̀kẹ́ à wọn mìíràn; omi náà ṣàn lọ sínú odò kékeré kan nísà lẹ̀.(,(3) The raindrop falls on a hillside withbillions ofothers; the water rushes downward into a stream.,False,high,html,0
5,,1,"Taló ṣẹ̀dá ilẹ̀ ayé à ti à wọn ẹranko, igi, òkun tí ó wà níbẹ̀?","Whomade the earth and its animals, trees, oceans?",False,high,html,0
6,,1,Irú à yíká wo ni a óò jí à rà ádọ́taọ̀kẹ́ à wọn tí ó ti kú bá yìí dìde sí?,Millionsnow dead will be resurrected to what kind of surroundings?,False,high,html,0
7,,1,"Kódà ní orílẹ̀-èdè tó kéré bí Netherlands, tí à wọn èèyàn ibẹ̀ jẹ́ nǹkan bíi mílíọ̀nù mẹ́ẹ̀ẹ́dógún, tó bá fi máa di January 1, 2002, á pé ọdún mẹ́tagbá ko tí à wọn ilé iṣẹ́ tó ń ṣe owó níbẹ̀ ti wà lẹ́nu ṣíṣe nǹkan bíi bílíọ̀nù mẹ́taowó wẹ́wẹ́ à ti ogún ó dín ní irínwó mílíọ̀nù owó bébà.","Even in a small country like the Netherlands, with some 15 million inhabitants, coining and printing presses will be runningforthree years straight to produce 2.8 billioncoinsand 380 million bank notes by January 1, 2002.",False,high,html,0
8,,1,Tani ó pọ́n omi sínú aṣọ à là bora?,Whohas wrapped up the waters in a mantle?,False,high,html,0
9,,1,Obìnrin kan tó jẹ́ ẹni ọdún mẹ́rìnlélọ́gọ́tasọ pé: “Ńṣe ni mímọ ìwé kà dà bí ìgbà tí wọ́n tú ẹ̀wọ̀n tí wọn ti fi di èèyàn fún ọ̀pọ̀lọpọ̀ ọdún.,"“Learning to read was like being freed from chains after many years,”saidone 64-year-old.",False,high,html,0
10,1.0,1,Àwọn Kristẹni a máa wọnú “ìsinmi ti sá báàtì” yìí nípa ṣíṣègbọràn sí Jèhófà à ti nípa lílépa òdodo nípasẹ̀ ìgbà gbọ́ nínú ẹ̀jẹ̀ Jésù Kristi tó tasílẹ̀.,Christians enter into this “sabbath resting” by being obedient to Jehovah and pursuing righteousness based on faith in the shed blood of Jesus Christ.,True,high,html,0
11,,1,"Lá ra à wọn ilé tí wọ́n kọ́ síbẹ̀ ni ilé ìtẹ̀wé, ilé kékeré kan tí wọ́n ń lò fún iṣẹ́ oko à tà wọn ilégbèé tí wọ́n kọ́ fá wọn èèyàn tó ju ẹ̀ẹ́dẹ́gbẹ̀talọ.","It includes a printery, a small farm, and residence buildings that accommodate morethan500 people.",False,high,html,0
12,,1,"Fún à pẹẹrẹ, ìwé kan tó ń sọ nípa ẹ̀sìn à wọn ará Áfíríkà sọ pé: “Ìgbà gbọ́ nínú iṣẹ́ à fọ̀ṣẹ à ti iṣẹ́ oṣó à ti à jẹ́ à ti ewu tó wà nínú wọn, tagbòǹgbò gan-an nínú ìgbésí ayé à wọn ará Áfíríkà...","For example, a book about African religion states: “Belief in the function and dangers of bad magic, sorcery and witchcraft is deeplyrootedin African life...",False,high,html,0
13,,1,"Ṣùgbọ́n lá ìka à wọn ìkìlọ̀ tí à wọn dókí tà ń ṣe pé kí a pà àlà sí bí a ṣe ń jẹ nǹkan ọlọ́ràá tó, kí a sì máa ṣe eré ìmá rale sí, a gbọ́ pé ìdá mẹ́tagbogbo à wọn ará Àríwá Amẹ́ríkà ló sanra jù tà bí tí wọ́n sanra jọ̀kọ̀tọ̀.","But in spite of doctors' suggestions to limit the intake of fat and to engage in regular exercise, it is said that one third ofall North Americans are overweight or obese.",False,high,html,0
14,,1,"A kì í ṣe olùbẹ̀bẹ̀, ìbẹ̀wò wa kò sì ní ju ìṣẹ́jú mẹ́talọ.”","We are not petitioners, and our visit will not last longerthanthree minutes.”",False,high,html,0
15,,1,"Àpọ́sítélì Pọ́ọ̀lù sọ bó ti ṣe pà tàkì tó, ó ní: “Ẹ má ṣe máa ṣà níyàn nípa ohunkóhun, ṣùgbọ́n nínú ohun gbogbo nípasẹ̀ à dúrà à ti ìrawọ́ ẹ̀bẹ̀ pa pọ̀ pẹ̀lú ìdúpẹ́ kí ẹ máa sọ à wọn ohun tí ẹ ń tọrọ di mímọ̀ fún Ọlọ́run; à là áfíà Ọlọ́run tí ótagbogbo ìrònú yọ yóò sì máa ṣọ́ ọkàn-à yà yín à ti agbá ra èrò orí yín nípasẹ̀ Kristi Jésù.”","The apostle Paul drew attention to the value of this provision, saying: “Do not be anxious over anything, but in everything by prayer and supplication along with thanksgiving let your petitions be made known to God; and the peace of God thatexcelsall thought will guard your hearts and your mental powers by means of Christ Jesus.”",False,high,html,0
16,,1,"Ó kéré tán, wọ́n ti túmọ̀ apá kan rẹ̀ sí èdè tó lé ní ẹgbẹ̀rún méjì ó lé ọgọ́rùn-ún mẹ́ta[2,300].","At least part of it has been translated into more than2,300languages.",False,high,html,0
17,,1,Ọ̀PỌ̀ èèyàn ló máa ń sọ pé ìmọ̀ ìjìnlẹ̀tako à là yé tí Bíbélì ṣe nípa ìṣẹ̀dá.,MANY people claim that sciencedisprovesthe Bible's account of creation.,True,high,html,0
18,,1,"3 Orílẹ̀-èdè kan ṣoṣo ni ẹ̀yà méjèèjìlá Ísírẹ́lì para pọ̀ jẹ́ lá ti ìgbà tí Ísírẹ́lì ti kúrò ní Íjíbítì títí dìgbà ikú Sólómọ́nì ọmọ Dá fídì, díẹ̀ sì ni à kókò yẹn fi ju ẹ̀ẹ́dẹ́gbẹ̀taọdún péré.",3 From the time that Israel left Egypt until the death of David's son Solomon —a period of just over 500years— the 12 tribes of Israel were united as one nation.,False,high,html,0
19,,1,"Ẹnì kan tó ti sọ egbòogi di bá rakú bẹ́ẹ̀ ná gbogbo ogún tó jẹ, ótailé rẹ̀, ó sì jẹ gbèsè £18,000 (29,000 dọ́là) lórí 70 ìgò egbòogi tó ń lò lọ́sẹ̀.","One addict spent his inheritance, soldhis home, and ran up a debt of £18,000 ($29,000) to feed his 70-bottle-a-week addiction.",False,high,html,0
20,,1,TaLẹni Náà Gan-an Tó Fa Ìwà Ìkà?,Who Really Is Behind Cruelty?,False,high,html,0
21,,1,"Níto rí pé ó wà ní ọwọ́ ọ̀tún mi, a kì yóò mú kí ntagbọ̀n-ọ́n gbọ̀n-ọ́n.” —Sm.","Because he is at my right hand, I will neverbeshaken.” —Ps.",False,high,html,0
22,,1,"Mo fẹ́ kó já de, à mọ́ bá wo ni mo ṣe lè kó já de pẹ̀lú ọmọ mẹ́ta?”","I wanted to leave, but how could I with three children?”",False,high,html,0
23,,1,Ìwé ìròyìn yìí tú à ṣírí à wọn irọ́ mẹ́tatí wọ́n sá bà máa ń pa mọ́ Ọlọ́run tó sì ti mú kó ṣòro fún à wọn kan lá ti sún mọ́ ọn.”,This magazine exposes three common lies about Godthathave made it difficult for some to draw close to him.”,False,high,html,0
24,,1,“Ẹni Tí ŃTaOhun Alá wọ̀ Àlùkò”,“Sellerof Purple”,False,high,html,0
25,,1,"9 Nígbà tó fi máa di ọdún 1922, ó ti ju ẹgbẹ̀rún mẹ́tà dínlógún [17,000] èèyàn tó ń wà ásù Ìjọba Ọlọ́run já kèj ádò ayé, wọ́n sì ti dé orílẹ̀-èdè méjìdínlọ́gọ́ta[58].","9 By 1922, more than 17,000 Kingdom proclaimers were active in 58 lands around the world.",True,high,html,0
26,,1,"Ó mà wúni lórí o pé lọ́jọ́ wa yìí, à rà ádọ́taọ̀kẹ́ ló ti ṣe ohun tí à sọtẹ́lẹ̀ yìí rọni lá ti ṣe!",How exciting it is that in our daymillionshave responded to this prophetic appeal!,False,high,html,0
27,,1,aago mẹ́ta à à bọ̀,half past three,False,high,similar_phrase,0
28,,1,à á dọ́ta ọ̀kẹ́,million · one million,False,high,similar_phrase,0
29,,1,anígunmẹ́ta,triangle,False,high,similar_phrase,0
30,,1,Ọjọ́ Àbá mẹ́ta,Saturday,False,high,similar_phrase,0
31,,1,aago mẹ́ta ààbọ̀,half past three,False,low,short_word,0
32,,1,àádọ́ta ọ̀kẹ́,"million
·
one million",False,low,short_word,0
33,,1,Ọjọ́ Àbámẹ́ta,Saturday,False,low,short_word,0
34,,1,"Èyí bá bí Bíbélì ṣe ṣàpèjúwe ọ̀nà tí Sólómọ́nì gbà ṣiṣẹ́ ìkọ́lé rẹ̀ mu, pé: “Ní ti àgbàlá títóbi náà, ẹsẹ mẹ́taòkúta gbígbẹ́ àti ẹsẹ kan ìtì igi kédárì wà yí i ká; àti èyí pẹ̀lú fún àgbàlá inú lọ́hùn-ún ilé Jèhófà, àti fún gọ̀bì ilé náà","4:15) Arákùnrin Victor tó ti tọ́ àwọn ọmọ mẹ́tadàgbà sọ pé: “Kò rọrùn láti tọ́ wọn nígbà tí wọ́n bẹ̀rẹ̀ sí í bàlágà.4:15) Victor, whoraisedtwo sons and a daughter, says: “The teenage years were not easy.jw2019",False,low,short_word,0
35,,1,"Èyí bá bí Bíbélì ṣe ṣàpèjúwe ọ̀nà tí Sólómọ́nì gbà ṣiṣẹ́ ìkọ́lé rẹ̀ mu, pé: “Ní ti àgbàlá títóbi náà, ẹsẹ mẹ́taòkúta gbígbẹ́ àti ẹsẹ kan ìtì igi kédárì wà yí i ká; àti èyí pẹ̀lú fún àgbàlá inú lọ́hùn-ún ilé Jèhófà, àti fún gọ̀bì ilé náà","This coincides with the Bible’s description of Solomon’s building program: “As for the great courtyard, round about were three rows of hewnstoneand a row of beams of cedarwood; and this also for the inner courtyard of the house of Jehovah, and for the porch of the house.”",False,low,short_word,0
36,,1,4:15) Arákùnrin Victor tó ti tọ́ àwọn ọmọ mẹ́tadàgbà sọ pé: “Kò rọrùn láti tọ́ wọn nígbà tí wọ́n bẹ̀rẹ̀ sí í bàlágà,3) Ẹ̀kán òjò náà kán sí ẹ̀bá òkè kan pẹ̀lú àràádọ́taọ̀kẹ́ àwọn mìíràn; omi náà ṣàn lọ sínú odò kékeré kan nísàlẹ̀.((3) The raindrop falls on a hillside withbillions ofothers; the water rushes downward into a stream.jw2019,False,low,short_word,0
37,,1,4:15) Arákùnrin Victor tó ti tọ́ àwọn ọmọ mẹ́tadàgbà sọ pé: “Kò rọrùn láti tọ́ wọn nígbà tí wọ́n bẹ̀rẹ̀ sí í bàlágà,"4:15) Victor, whoraisedtwo sons and a daughter, says: “The teenage years were not easy.",False,low,short_word,0
38,,1,3) Ẹ̀kán òjò náà kán sí ẹ̀bá òkè kan pẹ̀lú àràádọ́taọ̀kẹ́ àwọn mìíràn; omi náà ṣàn lọ sínú odò kékeré kan nísàlẹ̀,"Taló ṣẹ̀dá ilẹ̀ ayé àti àwọn ẹranko, igi, òkun tí ó wà níbẹ̀?Whomade the earth and its animals, trees, oceans?jw2019",False,low,short_word,0
39,,1,3) Ẹ̀kán òjò náà kán sí ẹ̀bá òkè kan pẹ̀lú àràádọ́taọ̀kẹ́ àwọn mìíràn; omi náà ṣàn lọ sínú odò kékeré kan nísàlẹ̀,(3) The raindrop falls on a hillside withbillions ofothers; the water rushes downward into a stream.,False,low,short_word,0
40,,1,"Taló ṣẹ̀dá ilẹ̀ ayé àti àwọn ẹranko, igi, òkun tí ó wà níbẹ̀","Whomade the earth and its animals, trees, oceans?",False,low,short_word,0
41,,1,Irú àyíká wo ni a óò jí àràádọ́taọ̀kẹ́ àwọn tí ó ti kú báyìí dìde sí,Millionsnow dead will be resurrected to what kind of surroundings?,False,low,short_word,0
42,,1,"Even in a small country like the Netherlands, with some 15 million inhabitants, coining and printing presses will be runningforthree years straight to produce 2",Tani ó pọ́n omi sínú aṣọ àlàbora?Whohas wrapped up the waters in a mantle?jw2019,False,low,short_word,0
