id,word_id,translation,part_of_speech,confidence
1,1,sting,verb,high
2,1,sting Agbọ́n fẹ́tamí,verb,high
3,2,oppose,verb,high
4,3,who,pronoun,high
5,3,whopro,pronoun,high
6,4,eject,verb,high
7,4,eject TraverseGPAware,verb,high
8,5,local,adjective,high
9,8,awake,verb,high
10,8,awake TraverseGPAware,verb,high
11,8,wake,verb,high
12,8,wake TraverseGPAware,verb,high
13,9,takanouncurrency of Bangladesh,noun,high
14,10,taxi,noun,high
15,11,cab,noun,high
16,11,taxi,noun,high
17,11,taxicab,noun,high
18,12,oppose,verb,high
19,13,poor,adjective,high
20,13,poor Poor PeopleIfedayo H Ayeni,adjective,high
21,14,talc nounphyllosilicate mineral,verb,high
22,15,talc nounphyllosilicate mineral,verb,high
23,17,can,noun,high
24,17,can TraverseGPAware,noun,high
25,19,who,pronoun,high
26,20,tantalumnounelement with the atomic number of 73,noun,high
27,21,tantalumnounelement with the atomic number of 73,noun,high
28,23,forward,verb,high
29,25,Tastee Fried ChickenHeiNER - the,phrase,high
30,31,phone,noun,high
31,31,telephone,noun,high
32,32,telluriumnounneuter,noun,high
33,33,telluriumnounneuter,noun,high
34,35,terbiumnounelement with the atomic number of 65,noun,high
35,36,terbiumnounelement with the atomic number of 65,noun,high
36,38,Thabo MbekiHeiNER - the,phrase,high
37,41,thailand,noun,high
38,42,if,conjunction,high
39,42,of,preposition,high
40,42,push,verb,high
41,42,that,pronoun,high
42,42,which,pronoun,high
43,43,feminine,adjective,high
44,44,partial,adjective,high
45,44,partial TraverseGPAware,adjective,high
46,45,paternal,adjective,high
47,45,paternal TraverseGPAware,adjective,high
48,45,paternity,noun,high
49,45,paternity TraverseGPAware,adjective,high
50,46,oral,adjective,high
51,46,oral GlosbeResearch,adjective,high
52,47,Invited,verb,high
53,48,radical,adjective,high
54,48,radical TraverseGPAware,adjective,high
55,49,fatal,adjective,high
56,49,fatal TraverseGPAware,adjective,high
57,50,optical,adjective,high
58,50,optical TraverseGPAware,adjective,high
59,50,visual,adjective,high
60,50,visual TraverseGPAware,adjective,high
61,51,golden,adjective,high
62,51,golden TraverseGPAware,adjective,high
63,52,female,adjective,high
64,52,female TraverseGPAware,adjective,high
65,53,juvenile,adjective,high
66,53,juvenile TraverseGPAware,adjective,high
67,54,abusive,adjective,high
68,54,abusive TraverseGPAware,adjective,high
69,55,native,adjective,high
70,55,native TraverseGPAware,adjective,high
71,56,seasonal,adjective,high
72,56,seasonal TraverseGPAware,adjective,high
73,57,scenic,adjective,high
74,57,scenic TraverseGPAware,adjective,high
75,58,characteristic,adjective,high
76,58,characteristic TraverseGPAware,adjective,high
77,59,historic,adjective,high
78,59,historic TraverseGPAware,adjective,high
79,60,rainy,adjective,high
80,60,rainy TraverseGPAware,adjective,high
81,61,understanding,adjective,high
82,61,understanding TraverseGPAware,adjective,high
83,62,have been,phrase,high
84,62,have not been,phrase,medium
85,63,updated,verb,high
86,66,tick-borne encephalitis vaccinepreventive medicine,phrase,high
87,69,naturally,adverb,high
88,69,naturally TraverseGPAware,adverb,high
89,71,opposite,adjective,high
90,71,opposite TraverseGPAware,adjective,high
91,72,yoruba teacher,noun,high
92,73,titanium,noun,high
93,73,titaniumnounelement with the atomic number of 22,noun,high
94,75,newlyen,noun,high
95,75,new,noun,medium
96,75,new testament,noun,medium
97,76,new,adjective,high
98,76,new Swadesh Lists,adjective,high
99,78,approximately,adverb,high
100,78,approximatelyadverbborabi,adverb,high
101,82,Turkey,noun,high
102,83,turkeyen,noun,high
103,84,country code top-level domain,phrase,medium
104,88,trigonometry,noun,high
105,89,trigonometry,noun,high
106,91,Xitsonga,noun,high
107,92,Chile,noun,high
108,92,Chileen.wiktionary.org,noun,high
109,93,chile,noun,high
110,93,Chileen.wiktionary.org,noun,high
111,94,row,verb,high
112,94,sail,verb,high
113,98,frankinsence,noun,high
114,98,Incense,noun,high
115,99,frankinsence,noun,high
116,99,Incense,noun,high
117,101,cold,adjective,high
118,101,cool,noun,high
119,101,damp,adjective,high
120,101,damp TraverseGPAware,adjective,high
121,102,market,verb,high
122,102,sell,verb,high
123,102,sell TraverseGPAware,verb,high
124,102,vend,verb,high
125,103,or,conjunction,high
126,103,versus,verb,high
127,103,versusadpositionTraverseGPAware,conjunction,high
128,103,either,noun,medium
129,103,forwards and backwards,phrase,medium
130,103,greater than or equal to sign,phrase,medium
131,103,less than or equal to sign,phrase,medium
132,103,plus or minus sign,phrase,medium
133,103,sex,noun,medium
134,103,up and down,phrase,medium
135,104,ink,noun,high
136,104,inkwell,noun,medium
137,105,chat,verb,high
138,106,tip over,verb,high
139,107,coax,verb,high
140,107,coaxverbÓ fẹ́tànẹ́He wants tocoaxyou,verb,high
141,107,fool,verb,high
142,107,fool O máatànánYou willfoolher,verb,high
143,107,carrier,noun,medium
144,107,cheat,noun,medium
145,107,fraudulent,noun,medium
146,107,screen,noun,medium
147,107,storyboard,noun,medium
148,107,turn on,noun,medium
149,108,turn on,verb,high
150,109,cheat,noun,high
151,109,cheat GlosbeResearch,noun,high
152,110,spre,noun,high
153,111,tanzania,noun,high
154,112,Tanzania,noun,high
155,113,kick,verb,high
156,114,legacy,noun,high
157,115,Turk,noun,high
158,115,Turk Stephen Ogunbiyi,noun,high
159,115,Turkish,noun,medium
160,116,bell pepper,noun,high
161,117,straight,adjective,high
162,117,direct memory access,phrase,medium
163,117,simile,noun,medium
164,118,cigarette,noun,high
165,118,cigarette TraverseGPAware,noun,high
166,119,table,noun,high
167,119,external table,adjective,medium
168,119,periodic table,adjective,medium
169,119,primary table,adjective,medium
170,119,repeating table,adjective,medium
171,120,primary table,adjective,high
172,121,Excel table,adjective,high
173,122,repeating table,adjective,high
174,123,layout table,adjective,high
175,124,periodic table,noun,high
