id,word,url,scrape_time,status,error
1,ta,https://glosbe.com/yo/en/ta,2025-05-13 00:30:04,success,
2,ta kò,https://glosbe.com/yo/en/ta%20k%C3%B2,2025-05-13 00:31:08,success,
3,ta ni,https://glosbe.com/yo/en/ta%20ni,2025-05-13 00:25:03,success,
4,ta-nù,https://glosbe.com/yo/en/ta-n%C3%B9,2025-05-13 00:26:27,success,
5,tagbègbè,https://glosbe.com/yo/en/tagb%C3%A8gb%C3%A8,2025-05-13 00:37:39,success,
6,tajikistan,https://glosbe.com/yo/en/tajikistan,2025-05-13 00:33:48,success,
7,Tajikistan,https://glosbe.com/yo/en/Tajikistan,2025-05-13 00:42:12,success,
8,tají,https://glosbe.com/yo/en/taj%C3%AD,2025-05-13 00:27:03,success,
9,Taka,https://glosbe.com/yo/en/Taka,2025-05-13 00:41:58,success,
10,takisí,https://glosbe.com/yo/en/takis%C3%AD,2025-05-13 00:21:50,success,
11,taksí,https://glosbe.com/yo/en/taks%C3%AD,2025-05-13 00:31:23,success,
12,takò,https://glosbe.com/yo/en/tak%C3%B2,2025-05-13 00:20:13,success,
13,Talaka,https://glosbe.com/yo/en/Talaka,2025-05-13 00:38:25,success,
14,talc,https://glosbe.com/yo/en/talc,2025-05-13 00:23:20,success,
15,Talc,https://glosbe.com/yo/en/Talc,2025-05-13 00:27:39,success,
16,Tallinn,https://glosbe.com/yo/en/Tallinn,2025-05-13 00:18:45,success,
17,tanganran,https://glosbe.com/yo/en/tanganran,2025-05-13 00:27:55,success,
18,tanganyika,https://glosbe.com/yo/en/tanganyika,2025-05-13 00:23:16,success,
19,Tani,https://glosbe.com/yo/en/Tani,2025-05-13 00:35:19,success,
20,Tantalum,https://glosbe.com/yo/en/Tantalum,2025-05-13 00:21:15,success,
21,tantalum,https://glosbe.com/yo/en/tantalum,2025-05-13 00:37:07,success,
22,Tanzania,https://glosbe.com/yo/en/Tanzania,2025-05-13 00:19:26,success,
23,tari sí,https://glosbe.com/yo/en/tari%20s%C3%AD,2025-05-13 00:41:21,success,
24,tashkent,https://glosbe.com/yo/en/tashkent,2025-05-13 00:21:08,success,
25,Tastee Fried Chicken,https://glosbe.com/yo/en/Tastee%20Fried%20Chicken,2025-05-13 00:41:13,success,
26,tbilisi,https://glosbe.com/yo/en/tbilisi,2025-05-13 00:18:31,success,
27,Tbilisi,https://glosbe.com/yo/en/Tbilisi,2025-05-13 00:31:31,success,
28,Technetium,https://glosbe.com/yo/en/Technetium,2025-05-13 00:19:33,success,
29,technetium,https://glosbe.com/yo/en/technetium,2025-05-13 00:20:08,success,
30,tehran,https://glosbe.com/yo/en/tehran,2025-05-13 00:41:39,success,
31,telifonnu,https://glosbe.com/yo/en/telifonnu,2025-05-13 00:40:36,success,
32,tellurium,https://glosbe.com/yo/en/tellurium,2025-05-13 00:32:03,success,
33,Tellurium,https://glosbe.com/yo/en/Tellurium,2025-05-13 00:36:29,success,
34,tenerife,https://glosbe.com/yo/en/tenerife,2025-05-13 00:32:39,success,
35,terbium,https://glosbe.com/yo/en/terbium,2025-05-13 00:22:14,success,
36,Terbium,https://glosbe.com/yo/en/Terbium,2025-05-13 00:42:20,success,
37,texas,https://glosbe.com/yo/en/texas,2025-05-13 00:25:58,success,
38,Thabo Mbeki,https://glosbe.com/yo/en/Thabo%20Mbeki,2025-05-13 00:25:00,success,
39,thallium,https://glosbe.com/yo/en/thallium,2025-05-13 00:23:05,success,
40,Thallium,https://glosbe.com/yo/en/Thallium,2025-05-13 00:30:38,success,
41,tháílàndì,https://glosbe.com/yo/en/th%C3%A1%C3%ADl%C3%A0nd%C3%AC,2025-05-13 00:30:19,success,
42,ti,https://glosbe.com/yo/en/ti,2025-05-13 00:29:07,success,
43,ti abo,https://glosbe.com/yo/en/ti%20abo,2025-05-13 00:38:38,success,
44,ti apá kan,https://glosbe.com/yo/en/ti%20ap%C3%A1%20kan,2025-05-13 00:35:00,success,
45,ti bàbá,https://glosbe.com/yo/en/ti%20b%C3%A0b%C3%A1,2025-05-13 00:35:27,success,
46,ti enu,https://glosbe.com/yo/en/ti%20enu,2025-05-13 00:34:22,success,
47,Ti fìwépè,https://glosbe.com/yo/en/Ti%20f%C3%ACw%C3%A9p%C3%A8,2025-05-13 00:39:29,success,
48,ti gbòýgbò,https://glosbe.com/yo/en/ti%20gb%C3%B2%C3%BDgb%C3%B2,2025-05-13 00:23:33,success,
49,ti ikú,https://glosbe.com/yo/en/ti%20ik%C3%BA,2025-05-13 00:33:10,success,
50,ti ojú,https://glosbe.com/yo/en/ti%20oj%C3%BA,2025-05-13 00:19:10,success,
51,ti wúràoníwúrà,https://glosbe.com/yo/en/ti%20w%C3%BAr%C3%A0on%C3%ADw%C3%BAr%C3%A0,2025-05-13 00:33:22,success,
52,ti ábo,https://glosbe.com/yo/en/ti%20%C3%A1bo,2025-05-13 00:22:35,success,
53,ti èwe,https://glosbe.com/yo/en/ti%20%C3%A8we,2025-05-13 00:34:50,success,
54,ti èébú,https://glosbe.com/yo/en/ti%20%C3%A8%C3%A9b%C3%BA,2025-05-13 00:19:53,success,
55,ti ìbí,https://glosbe.com/yo/en/ti%20%C3%ACb%C3%AD,2025-05-13 00:39:56,success,
56,ti ìgbà,https://glosbe.com/yo/en/ti%20%C3%ACgb%C3%A0,2025-05-13 00:31:49,success,
57,ti ìran dídára,https://glosbe.com/yo/en/ti%20%C3%ACran%20d%C3%ADd%C3%A1ra,2025-05-13 00:40:44,success,
58,ti ìwà,https://glosbe.com/yo/en/ti%20%C3%ACw%C3%A0,2025-05-13 00:19:06,success,
59,ti íwé itan,https://glosbe.com/yo/en/ti%20%C3%ADw%C3%A9%20itan,2025-05-13 00:25:15,success,
60,ti òjò,https://glosbe.com/yo/en/ti%20%C3%B2j%C3%B2,2025-05-13 00:35:23,success,
61,ti òye,https://glosbe.com/yo/en/ti%20%C3%B2ye,2025-05-13 00:25:21,success,
62,ti ń,https://glosbe.com/yo/en/ti%20%C5%84,2025-05-13 00:37:44,success,
63,ti ṣàfikún,https://glosbe.com/yo/en/ti%20%E1%B9%A3%C3%A0fik%C3%BAn,2025-05-13 00:24:03,success,
64,tiberius,https://glosbe.com/yo/en/tiberius,2025-05-13 00:38:55,success,
65,tibet,https://glosbe.com/yo/en/tibet,2025-05-13 00:33:05,success,
66,Tick-borne encephalitis vaccine,https://glosbe.com/yo/en/Tick-borne%20encephalitis%20vaccine,2025-05-13 00:31:41,success,
67,Ticker Tape,https://glosbe.com/yo/en/Ticker%20Tape,2025-05-13 00:35:32,success,
68,tin,https://glosbe.com/yo/en/tin,2025-05-13 00:26:51,success,
69,tinú-tinú,https://glosbe.com/yo/en/tin%C3%BA-tin%C3%BA,2025-05-13 00:20:02,success,
70,tirana,https://glosbe.com/yo/en/tirana,2025-05-13 00:39:34,success,
71,tirísí,https://glosbe.com/yo/en/tir%C3%ADs%C3%AD,2025-05-13 00:39:44,success,
72,Tisa Yoruba,https://glosbe.com/yo/en/Tisa%20Yoruba,2025-05-13 00:22:09,success,
73,Titaniomu,https://glosbe.com/yo/en/Titaniomu,2025-05-13 00:27:44,success,
74,titanium,https://glosbe.com/yo/en/titanium,2025-05-13 00:27:08,success,
75,titun,https://glosbe.com/yo/en/titun,2025-05-13 00:24:26,success,
76,titun àkọ̀tun,https://glosbe.com/yo/en/titun%20%C3%A0k%E1%BB%8D%CC%80tun,2025-05-13 00:33:40,success,
77,Tiyamiyu,https://glosbe.com/yo/en/Tiyamiyu,2025-05-13 00:19:17,success,
78,to,https://glosbe.com/yo/en/to,2025-05-13 00:22:47,success,
79,tobago,https://glosbe.com/yo/en/tobago,2025-05-13 00:18:51,success,
80,Togo,https://glosbe.com/yo/en/Togo,2025-05-13 00:24:20,success,
81,tokyo,https://glosbe.com/yo/en/tokyo,2025-05-13 00:28:03,success,
82,Tolo-Tolo,https://glosbe.com/yo/en/Tolo-Tolo,2025-05-13 00:25:39,success,
83,tolotolo,https://glosbe.com/yo/en/tolotolo,2025-05-13 00:21:28,success,
84,Top-level domain,https://glosbe.com/yo/en/Top-level%20domain,2025-05-13 00:35:08,success,
85,toronto,https://glosbe.com/yo/en/toronto,2025-05-13 00:24:51,success,
86,trajan,https://glosbe.com/yo/en/trajan,2025-05-13 00:37:33,success,
87,transkei,https://glosbe.com/yo/en/transkei,2025-05-13 00:30:35,success,
88,trigonomẹ́trì,https://glosbe.com/yo/en/trigonom%E1%BA%B9%CC%81tr%C3%AC,2025-05-13 00:22:27,success,
89,Trigonomẹ́trì,https://glosbe.com/yo/en/Trigonom%E1%BA%B9%CC%81tr%C3%AC,2025-05-13 00:26:58,success,
90,tripoli,https://glosbe.com/yo/en/tripoli,2025-05-13 00:22:55,success,
91,Tsonga,https://glosbe.com/yo/en/Tsonga,2025-05-13 00:24:44,success,
92,Tsílè,https://glosbe.com/yo/en/Ts%C3%ADl%C3%A8,2025-05-13 00:34:10,success,
93,tsílè,https://glosbe.com/yo/en/ts%C3%ADl%C3%A8,2025-05-13 00:38:30,success,
94,tukọ̀,https://glosbe.com/yo/en/tuk%E1%BB%8D%CC%80,2025-05-13 00:25:44,success,
95,tungsten,https://glosbe.com/yo/en/tungsten,2025-05-13 00:18:39,success,
96,tunis,https://glosbe.com/yo/en/tunis,2025-05-13 00:36:12,success,
97,Tunisia,https://glosbe.com/yo/en/Tunisia,2025-05-13 00:41:47,success,
98,Turari,https://glosbe.com/yo/en/Turari,2025-05-13 00:26:39,success,
99,turari,https://glosbe.com/yo/en/turari,2025-05-13 00:31:57,success,
100,turkmenistan,https://glosbe.com/yo/en/turkmenistan,2025-05-13 00:29:29,success,
101,tutù,https://glosbe.com/yo/en/tut%C3%B9,2025-05-13 00:28:28,success,
102,tà fi gbowó,https://glosbe.com/yo/en/t%C3%A0%20fi%20gbow%C3%B3,2025-05-13 00:36:01,success,
103,tàbí,https://glosbe.com/yo/en/t%C3%A0b%C3%AD,2025-05-13 00:32:24,success,
104,tàdáwà,https://glosbe.com/yo/en/t%C3%A0d%C3%A1w%C3%A0,2025-05-13 00:32:58,success,
105,tàkurọ̀sọ,https://glosbe.com/yo/en/t%C3%A0kur%E1%BB%8D%CC%80s%E1%BB%8D,2025-05-13 00:38:43,success,
106,tàkìtì,https://glosbe.com/yo/en/t%C3%A0k%C3%ACt%C3%AC,2025-05-13 00:29:51,success,
107,tàn,https://glosbe.com/yo/en/t%C3%A0n,2025-05-13 00:40:28,success,
108,tàn án sílẹ̀,https://glosbe.com/yo/en/t%C3%A0n%20%C3%A1n%20s%C3%ADl%E1%BA%B9%CC%80,2025-05-13 00:32:33,success,
109,tàn-je,https://glosbe.com/yo/en/t%C3%A0n-je,2025-05-13 00:27:29,success,
110,tànkálẹ̀,https://glosbe.com/yo/en/t%C3%A0nk%C3%A1l%E1%BA%B9%CC%80,2025-05-13 00:19:21,success,
111,tànsáníà,https://glosbe.com/yo/en/t%C3%A0ns%C3%A1n%C3%AD%C3%A0,2025-05-13 00:21:00,success,
112,Tànsáníà,https://glosbe.com/yo/en/T%C3%A0ns%C3%A1n%C3%AD%C3%A0,2025-05-13 00:39:22,success,
113,tàpá,https://glosbe.com/yo/en/t%C3%A0p%C3%A1,2025-05-13 00:18:58,success,
114,tàtijọ́,https://glosbe.com/yo/en/t%C3%A0tij%E1%BB%8D%CC%81,2025-05-13 00:24:31,success,
115,Tàtàmbúlù,https://glosbe.com/yo/en/T%C3%A0t%C3%A0mb%C3%BAl%C3%B9,2025-05-13 00:21:21,success,
116,tàtàṣé,https://glosbe.com/yo/en/t%C3%A0t%C3%A0%E1%B9%A3%C3%A9,2025-05-13 00:20:19,success,
117,tààrà,https://glosbe.com/yo/en/t%C3%A0%C3%A0r%C3%A0,2025-05-13 00:36:22,success,
118,tábà inú ewésìgá,https://glosbe.com/yo/en/t%C3%A1b%C3%A0%20in%C3%BA%20ew%C3%A9s%C3%ACg%C3%A1,2025-05-13 00:20:27,success,
