id,word,url,scrape_time,status,error
1,Uganda,https://glosbe.com/yo/en/Uganda,2025-05-13 02:55:27,success,
2,Ukréìn,https://glosbe.com/yo/en/Ukr%C3%A9%C3%ACn,2025-05-13 02:55:39,success,
3,ukréìn,https://glosbe.com/yo/en/ukr%C3%A9%C3%ACn,2025-05-13 02:57:08,success,
4,ulan bator,https://glosbe.com/yo/en/ulan%20bator,2025-05-13 02:55:54,success,
5,ulé,https://glosbe.com/yo/en/ul%C3%A9,2025-05-13 02:56:02,success,
6,Umaru Musa Yar’Adua,https://glosbe.com/yo/en/Umaru%20Musa%20Yar%E2%80%99Adua,2025-05-13 02:57:20,success,
7,Umuahia,https://glosbe.com/yo/en/Umuahia,2025-05-13 02:56:41,success,
8,UNICEF,https://glosbe.com/yo/en/UNICEF,2025-05-13 02:54:56,success,
9,Unicode,https://glosbe.com/yo/en/Unicode,2025-05-13 02:55:11,success,
10,Uniform Resource Locator,https://glosbe.com/yo/en/Uniform%20Resource%20Locator,2025-05-13 02:54:48,success,
11,ununennium,https://glosbe.com/yo/en/ununennium,2025-05-13 02:55:34,success,
12,Ununennium,https://glosbe.com/yo/en/Ununennium,2025-05-13 02:56:45,success,
13,Ununoctium,https://glosbe.com/yo/en/Ununoctium,2025-05-13 02:54:42,success,
14,Ununpentium,https://glosbe.com/yo/en/Ununpentium,2025-05-13 02:56:06,success,
15,Ununseptium,https://glosbe.com/yo/en/Ununseptium,2025-05-13 02:56:18,success,
16,Ununtrium,https://glosbe.com/yo/en/Ununtrium,2025-05-13 02:57:27,success,
17,Uraninite,https://glosbe.com/yo/en/Uraninite,2025-05-13 02:57:02,success,
18,uranium,https://glosbe.com/yo/en/uranium,2025-05-13 02:55:46,success,
19,Urea cycle,https://glosbe.com/yo/en/Urea%20cycle,2025-05-13 02:57:13,success,
20,Uruguay,https://glosbe.com/yo/en/Uruguay,2025-05-13 02:55:19,success,
21,urugúáì,https://glosbe.com/yo/en/urug%C3%BA%C3%A1%C3%AC,2025-05-13 02:56:56,success,
22,utah,https://glosbe.com/yo/en/utah,2025-05-13 02:56:23,success,
23,UTC,https://glosbe.com/yo/en/UTC,2025-05-13 02:56:29,success,
24,Uyo,https://glosbe.com/yo/en/Uyo,2025-05-13 02:56:34,success,
25,ùgándà,https://glosbe.com/yo/en/%C3%B9g%C3%A1nd%C3%A0,2025-05-13 02:55:04,success,
26,Ùráníọ̀m,https://glosbe.com/yo/en/%C3%99r%C3%A1n%C3%AD%E1%BB%8D%CC%80m,2025-05-13 02:57:33,success,
27,Úránù,https://glosbe.com/yo/en/%C3%9Ar%C3%A1n%C3%B9,2025-05-13 02:56:11,success,
28,úránù,https://glosbe.com/yo/en/%C3%BAr%C3%A1n%C3%B9,2025-05-13 02:56:49,success,
