id,translation_id,word_id,yoruba_text,english_text,is_jw_reference,confidence,source,score
1,1.0,1,Èdèwakò gbọ́dọ̀ parun,Ourlanguage must not die,False,high,html,0
2,,1,Ó sì fẹ́rẹ̀ẹ́ jẹ́ pé púpọ̀ lá ra à wọn ará wató ti lá wọn ìsọfúnni wọ̀nyẹn lọ́wọ́ ló tún ń pè wá.,Nearly all of these calls are frombrothersand sisters who have already received this information.,False,high,html,0
3,,1,• Bá wo la ṣe lè fi hàn pé à ń bọ̀wọ̀ fá wọn ará wató ti dà gbàlagbà?,• How can we show tender regard for agingfellowworshippers?,False,high,html,0
4,1.0,1,"Ṣùgbọ́n ní òwúrọ̀ ọjọ́ kejì, ó padà ké síwa, ó sì wí pé: “Mo ti rí ilẹ̀ tí ẹ ń fẹ́.”",But the next morning he called back and said: “I've found your property.”,False,high,html,0
5,1.0,1,"Bí ọjọ́ à péjọ à gbègbèwaṣe ń sún mọ́lé, kí ló yẹ kó jẹ́ à fojúsùnwa, kí sì nìdí?","As the convention approaches, what should beouraim, and why?",False,high,html,0
6,1.0,1,"Ni imurasilẹ fun kí kí pupọ sii awọn olùfìfẹ́hàn kaabọ si awọn ipade, bi o ti wu ki o ri, a funwaniṣiiri lati pe araawa ẹniki nni keji pẹlu awọn orukọ idile.","In preparation for welcoming many more interested ones toourmeetings, however, we were encouraged to refer to one another by family names.",False,high,html,0
7,1.0,1,"Bí à pẹẹrẹ, lẹ́yìn tí ìyà wó ará kùnrin kan kú tó sì tún lá wọn ìṣòro míì tó ń pinni lẹ́mìí, ó sọ pé: “Mo wá mọ̀ pé a ò lè yan à wọn à dá nwò tó máa dé bá wa, bẹ́ẹ̀ náà la ò lè yan à kókò tá a fẹ́ ká wọn à dá nwò náà dé tà bí bá a ṣe fẹ́ kí wọ́n jìnnà síra tó.","After one brother lost his wife in death and he faced other painful circumstances, he said: “I learned that we cannot chooseourtests, neither their time nor their frequency.",False,high,html,0
8,,1,"24 Lẹ́yìn náà, à wọn kan lá ra à wọn tó wà pẹ̀lúwalọ sí ibojì* náà,+ wọ́n sì bá ibẹ̀ bí à wọn obìnrin náà ṣe sọ gẹ́lẹ́, à mọ́ wọn ò rí i.”","24 Then some of those who were withuswent off to the tomb,*+ and they found it just as the women had said, but they did not see him.”",False,high,html,0
9,1.0,1,"Nígbà tá a bá lo arawafún à wọn ẹlòmíràn, kì í ṣe pé a ń ràn wọ́n lọ́wọ́ nìkan ni, à mọ́ à wa fúnra wá tún ń rí ayọ̀ à ti ìtẹ́lọ́rùn tó ń sọ ìṣòrowadi èyí tó ṣeé fara dà.—Ìṣe 20:35.","When we give of ourselves to others, not only do we help them but we also enjoy a measure of happiness and satisfaction that makeourown burdens more bearable. —Acts 20:35.",False,high,html,0
10,1.0,1,"(Kólósè 1:9, 10) Ọ̀nà pà tàkì méjì ni a lè gbà tọ́jú ìrísíwanípa tẹ̀mí.","(Colossians 1:9, 10) We can take care ofourspiritual appearance in two main ways.",False,high,html,0
11,,1,"21 Nito otọ, ọpọlọpọ ọna ni owati awa le ti a si nilati fi ògo ati ọla fun Ọlọrun.","21 Truly, there are many ways in whichwecan and should give God glory and honor.",False,high,html,0
12,,1,Ọlọ́run bìkí tà fúnwa.,He cares aboutus.,False,high,html,0
13,1.0,1,"Nigba tí Ijọba Ọlọrun bá sì “dé” fun bibukun gbogbo awọn ọmọ Ọlọrun níhìn-ín lori ilẹ̀-ayé, yoo ha ṣe ohun tí ó dinku ní mímú awọn ipò paradise padabọsipo si òbíríkí tí ilẹ̀-ayéwabi?","And when God's kingdom 'comes' for the blessing of all of God's children here on earth, will it do any less in restoring paradisaic conditions toourglobe?",False,high,html,0
14,,1,"Tá a bá ń “gbà dúrà lá ìdabọ̀,” èyí á fi hàn pé ìgbà gbọ́wajinlẹ̀ lóòótọ́.—1 Tẹsalóníkà 5:17.",To “pray constantly” in this way showswehave genuine faith. —1 Thessalonians 5:17.,False,high,html,0
15,1.0,1,Iléwadi ibi tá a ti ń ṣe à wọn tó ti ibòmíràn wá sọ à sọyé lá lejò.,Ourhome became a sort of hospitality center for many traveling speakers.,False,high,html,0
16,1.0,1,Fi hàn án pé Ọlọ́run kọ́wapé kí a 'nífẹ̀ẹ́ alá dùúgbòwa.'—Mát.,Show that God teaches “love yourneighbor.” —Matt.,False,high,html,0
17,,1,"Gbogbo ìgbà ni mo máa ń kọ́ nǹkan à gbà yanu nípa ewéko à tà wọn ohun ẹlẹ́mìí, à mọ́ ẹfolúṣọ̀n ni mo máa ń gbóṣùbà fún lórí à wọn nǹkan yìí, to rí èyí ló máa jẹ́ ká nímọ̀lá ra pé èròwaà ti ti à wọn onímọ̀ ìjìnlẹ̀ dọ́gba.”","“I regularly learned wonderful things about plants and organic life, but I attributed everything to evolution, since this made us look as if we were in harmony with scientific thinking.”",False,high,html,0
18,1.0,1,"Àpọ́sítélì Pọ́ọ̀lù kọ̀wé pé: “Gbogbo ohun tí a ti kọ ní ìgbà ìṣá ájú ni a kọ fún ìtọ́niwa, pé nípasẹ̀ ìfaradà waàti nípasẹ̀ ìtùnú lá ti inú Ìwé Mímọ́, kí a lè ní ìrètí.”—Róòmù 15:4.","The apostle Paul wrote: “All the things that were written aforetime were written forourinstruction, that throughourendurance and through the comfort from the Scriptures we might have hope.” —Romans 15:4.",True,high,html,0
19,1.0,1,"Ìgboyà lá ti sọ òtítọ́ fá wọn èèyàn, pà ápàá fá wọn tó ń ṣe inúnibíni síwaju agbá rawalọ.","The courage to speak the truth to others, even to those who opposeourmessage, does not rest with us.",False,high,html,0
20,,1,"Torí náà, tá wọn ìwé ìròyìn tó ti pẹ́ bá pọ̀ lọ́wọ́wa, alá bòójútó iṣẹ́ ìsìn tà bí alà gbà míì lè ràn wá lọ́wọ́ lá ti mọ bá a ṣe máa pín wọn.","If we have an accumulation of older magazines, perhaps the service overseer or another elder can assist us to find effective ways to place them.",True,high,html,0
21,,1,"Ìbínú rẹ kì yóò ha ru sókè síwadójú à à là, tí kì yóò fi sí ẹnì kankan tí yóò ṣẹ́ kù, tí kì yóò sì fi sí ẹnì kankan tí yóò sá à sá là?",Will you not get incensed atusto the limit so that there will be none remaining and none escaping?,False,high,html,0
22,,1,"Bíṣọ́ọ̀bù Pùròtẹ́sítáǹtì kan kọ̀wé sí à lùf áà rẹ̀ pé, 'Ọlọ́run ni ó rán [Hitler] síwa.'”","A Protestant bishop wrote to his clergy, '[Hitler] has been sent tousby God.'”",False,high,html,0
23,1.0,1,Àwọn ọdún tí a jọ gbé kẹ́yìn ló gbá dùn mọ́wajù.,Ourlast years together were the best ones.,False,high,html,0
24,1.0,1,"Ká sọ tòótọ́, ó bani nínú jẹ́ lá ti mọ̀ pé Sá tánì ní ọ̀nà à timú ikú wá, à mọ́ ọkà nwabalẹ̀ pé Jèhófà lè ṣà túnṣe gbogbo ìpalá ra tí Sá tánì à tà wọn ìrá nṣẹ́ rẹ̀ bá fà.","Of course, it is sobering to think that Satan has the means to cause death, butweare confident that Jehovah can undo any harm caused by Satan and his agents.",True,high,html,0
25,1.0,1,"Yà tọ̀ síyẹn, à wọn alá ṣẹ fún à wọn ará wal áyè lá ti gbé à tẹ ìwé wọn sí Gangneung Station Square tó jẹ́ ibùdókọ̀ tó gbẹ̀yìn fún ọkọ̀ ojú irin ayá ra-bí-à ṣá tí wọ́n ṣẹ̀ṣẹ̀ ṣe tán, tí wọ́n ń pè ní KTX Gyeonggang Line, èyí tó máa ń gbérò lá ti ìlú Incheon à ti Seoul lọ sí Pyeongchang.","Additionally, authorities grantedourbrothers permission to place carts in the Gangneung Station Square, the final stop of the recently completed high-speed KTX Gyeonggang Line, which transports passengers from Incheon and Seoul to Pyeongchang.",False,high,html,0
26,,1,"(Jòhá nù 14:2) Jòhá nù sọ díẹ̀ fúnwanípa à wọn ìbùkún tá wọn wọ̀nyí yóò gbá dùn, ó wí pé: “Kì yóò sì sí ègún kankan mọ́.","(John 14:2) Johngivessome idea of the blessings to be enjoyed by these, saying: “And no more will there be any curse.",False,high,html,0
27,,1,ibo le wa,Where are you?,False,high,similar_phrase,0
28,,1,Ibo lo wa?,Where are you?,False,high,similar_phrase,0
29,,1,pada wa,come back,False,high,similar_phrase,0
30,,1,Ó sì fẹ́rẹ̀ẹ́ jẹ́ pé púpọ̀ lára àwọn aráwató ti láwọn ìsọfúnni wọ̀nyẹn lọ́wọ́ ló tún ń pè wá,• Báwo la ṣe lè fi hàn pé à ń bọ̀wọ̀ fáwọn aráwató ti dàgbàlagbà?• How can we show tender regard for agingfellowworshippers?jw2019,False,low,short_word,0
31,,1,Ó sì fẹ́rẹ̀ẹ́ jẹ́ pé púpọ̀ lára àwọn aráwató ti láwọn ìsọfúnni wọ̀nyẹn lọ́wọ́ ló tún ń pè wá,Nearly all of these calls are frombrothersand sisters who have already received this information.,False,low,short_word,0
32,,1,• Báwo la ṣe lè fi hàn pé à ń bọ̀wọ̀ fáwọn aráwató ti dàgbàlagbà,• How can we show tender regard for agingfellowworshippers?,False,low,short_word,0
33,1.0,1,"Ṣùgbọ́n ní òwúrọ̀ ọjọ́ kejì, ó padà ké síwa, ó sì wí pé: “Mo ti rí ilẹ̀ tí ẹ ń fẹ́","Bí ọjọ́ àpéjọ àgbègbèwaṣe ń sún mọ́lé, kí ló yẹ kó jẹ́ àfojúsùnwa, kí sì nìdí?As the convention approaches, what should beouraim, and why?jw2019",False,low,short_word,0
34,1.0,1,"Ṣùgbọ́n ní òwúrọ̀ ọjọ́ kejì, ó padà ké síwa, ó sì wí pé: “Mo ti rí ilẹ̀ tí ẹ ń fẹ́",But the next morning he called back and said: “I’ve found your property.”,False,low,short_word,0
35,1.0,1,"Bí ọjọ́ àpéjọ àgbègbèwaṣe ń sún mọ́lé, kí ló yẹ kó jẹ́ àfojúsùnwa, kí sì nìdí","As the convention approaches, what should beouraim, and why?",False,low,short_word,0
36,1.0,1,"Ni imurasilẹ fun kíkí pupọ sii awọn olùfìfẹ́hàn kaabọ si awọn ipade, bi o ti wu ki o ri, a funwaniṣiiri lati pe araawa ẹnikinni keji pẹlu awọn orukọ idile","In preparation for welcoming many more interested ones toourmeetings, however, we were encouraged to refer to one another by family names.",False,low,short_word,0
37,,1,"Bí àpẹẹrẹ, lẹ́yìn tí ìyàwó arákùnrin kan kú tó sì tún láwọn ìṣòro míì tó ń pinni lẹ́mìí, ó sọ pé: “Mo wá mọ̀ pé a ò lè yan àwọn àdánwò tó máa dé báwa, bẹ́ẹ̀ náà la ò lè yan àkókò tá a fẹ́ káwọn àdánwò náà dé tàbí bá a ṣe fẹ́ kí wọ́n jìnnà síra tó","24 Lẹ́yìn náà, àwọn kan lára àwọn tó wà pẹ̀lúwalọ sí ibojì* náà,+ wọ́n sì bá ibẹ̀ bí àwọn obìnrin náà ṣe sọ gẹ́lẹ́, àmọ́ wọn ò rí i.”24 Then some of those who were withuswent off to the tomb,*+ and they found it just as the women had said, but they did not see him.”jw2019",False,low,short_word,0
38,1.0,1,"Bí àpẹẹrẹ, lẹ́yìn tí ìyàwó arákùnrin kan kú tó sì tún láwọn ìṣòro míì tó ń pinni lẹ́mìí, ó sọ pé: “Mo wá mọ̀ pé a ò lè yan àwọn àdánwò tó máa dé báwa, bẹ́ẹ̀ náà la ò lè yan àkókò tá a fẹ́ káwọn àdánwò náà dé tàbí bá a ṣe fẹ́ kí wọ́n jìnnà síra tó","After one brother lost his wife in death and he faced other painful circumstances, he said: “I learned that we cannot chooseourtests, neither their time nor their frequency.",False,low,short_word,0
39,,1,"24 Lẹ́yìn náà, àwọn kan lára àwọn tó wà pẹ̀lúwalọ sí ibojì* náà,+ wọ́n sì bá ibẹ̀ bí àwọn obìnrin náà ṣe sọ gẹ́lẹ́, àmọ́ wọn ò rí i","24 Then some of those who were withuswent off to the tomb,*+ and they found it just as the women had said, but they did not see him.”",False,low,short_word,0
40,1.0,1,"Nígbà tá a bá lo arawafún àwọn ẹlòmíràn, kì í ṣe pé a ń ràn wọ́n lọ́wọ́ nìkan ni, àmọ́ àwa fúnra wá tún ń rí ayọ̀ àti ìtẹ́lọ́rùn tó ń sọ ìṣòrowadi èyí tó ṣeé fara dà","(Kólósè 1:9, 10) Ọ̀nà pàtàkì méjì ni a lè gbà tọ́jú ìrísíwanípa tẹ̀mí.(Colossians 1:9, 10) We can take care ofourspiritual appearance in two main ways.jw2019",False,low,short_word,0
41,1.0,1,"Nígbà tá a bá lo arawafún àwọn ẹlòmíràn, kì í ṣe pé a ń ràn wọ́n lọ́wọ́ nìkan ni, àmọ́ àwa fúnra wá tún ń rí ayọ̀ àti ìtẹ́lọ́rùn tó ń sọ ìṣòrowadi èyí tó ṣeé fara dà","When we give of ourselves to others, not only do we help them but we also enjoy a measure of happiness and satisfaction that makeourown burdens more bearable. —Acts 20:35.",False,low,short_word,0
42,1.0,1,"(Kólósè 1:9, 10) Ọ̀nà pàtàkì méjì ni a lè gbà tọ́jú ìrísíwanípa tẹ̀mí","(Colossians 1:9, 10) We can take care ofourspiritual appearance in two main ways.",False,low,short_word,0
