id,word,url,scrape_time,status,error
1,wa,https://glosbe.com/yo/en/wa,2025-05-13 03:47:40,success,
2,Waa,https://glosbe.com/yo/en/Waa,2025-05-13 03:52:05,success,
3,wakaš,https://glosbe.com/yo/en/waka%C5%A1,2025-05-13 03:50:30,success,
4,warakaṣi,https://glosbe.com/yo/en/waraka%E1%B9%A3i,2025-05-13 03:47:18,success,
5,warsaw,https://glosbe.com/yo/en/warsaw,2025-05-13 03:54:56,success,
6,Watercolor,https://glosbe.com/yo/en/Watercolor,2025-05-13 03:49:59,success,
7,Web browser,https://glosbe.com/yo/en/Web%20browser,2025-05-13 03:51:46,success,
8,Weerexat,https://glosbe.com/yo/en/Weerexat,2025-05-13 03:48:40,success,
9,wellington,https://glosbe.com/yo/en/wellington,2025-05-13 03:51:38,success,
10,welsi,https://glosbe.com/yo/en/welsi,2025-05-13 03:52:28,success,
11,Were,https://glosbe.com/yo/en/Were,2025-05-13 03:54:16,success,
12,West Bengal,https://glosbe.com/yo/en/West%20Bengal,2025-05-13 03:52:22,success,
13,what happend,https://glosbe.com/yo/en/what%20happend,2025-05-13 03:51:42,success,
14,white house,https://glosbe.com/yo/en/white%20house,2025-05-13 03:49:29,success,
15,who are u,https://glosbe.com/yo/en/who%20are%20u,2025-05-13 03:49:10,success,
16,Wiki,https://glosbe.com/yo/en/Wiki,2025-05-13 03:50:11,success,
17,Wikimedia,https://glosbe.com/yo/en/Wikimedia,2025-05-13 03:49:34,success,
18,Wikipedia,https://glosbe.com/yo/en/Wikipedia,2025-05-13 03:50:49,success,
19,Windows Live Hotmail,https://glosbe.com/yo/en/Windows%20Live%20Hotmail,2025-05-13 03:53:18,success,
20,Windows ìsọ̀rọ̀ ẹlẹ́ni méjì,https://glosbe.com/yo/en/Windows%20%C3%ACs%E1%BB%8D%CC%80r%E1%BB%8D%CC%80%20%E1%BA%B9l%E1%BA%B9%CC%81ni%20m%C3%A9j%C3%AC,2025-05-13 03:49:16,success,
21,wiyọ́,https://glosbe.com/yo/en/wiy%E1%BB%8D%CC%81,2025-05-13 03:54:12,success,
22,wo,https://glosbe.com/yo/en/wo,2025-05-13 03:48:18,success,
23,Wo,https://glosbe.com/yo/en/Wo,2025-05-13 03:51:51,success,
24,Wolfgang,https://glosbe.com/yo/en/Wolfgang,2025-05-13 03:49:53,success,
