id,translation_id,word_id,yoruba_text,english_text,is_jw_reference,confidence,source,score
1,,1,"Ó ṣe tán, to rí pé a mọyì ìfẹ́ jíjinlẹ̀ tí Ọlọ́run à ti Kristi fi hàn sí wa ló mú ká yaìgbésí ayé wa sí mímọ́ fún Ọlọ́run tá a sì di ọmọ ẹ̀yìn Kristi.—Jòhá nù 3:16; 1 Jòhá nù 4:10, 11.","After all, gratitude for the depth of the love that God and Christ have shown us compelled us todedicateour lives to God and become disciples of Christ. —John 3:16; 1 John 4:10, 11.",False,high,html,0
2,,1,Kò sì tíì tó à kókò lá tiyaàwọn Kristẹni afà wọ̀rajà tó jẹ́ èpò kúrò lá ra à wọn Kristẹni tòótọ́ tó jẹ́ à lìká mà.,The time had not yetcomefor the weedlike imitation Christians to be separated from the true Christian wheat.,False,high,html,0
3,,1,"15 Nígbà tá a bá yaara wa sí mímọ́ fún Ọlọ́run nípasẹ̀ Kristi, a fi hàn pé a ti pinnu lá ti lo ìgbésí ayé wa nínú ṣíṣe ìfẹ́ Ọlọ́run bí a ti là nà rẹ̀ sílẹ̀ nínú Ìwé Mímọ́.","15 When wededicateourselves to God through Christ, we express a determination to use our life in doing the divine will as set forth in the Scriptures.",True,high,html,0
4,,1,"(Lúùkù 2:7) Èrò à wọn èèyàn kan la sá bà máa ń rí nígbà tí wọ́n bá ṣe à wọn fíìmù, tí wọ́n sì ń yaàwọn à wòr án tó dá lórí bí wọ́n ṣe bí Jésù ní ibùjẹ ẹran.","(Luke 2:7) Nativity plays, paintings, and scenes around the world sentimentalize thissetting.",False,high,html,0
5,,1,"Nígbà tí Ìbòjú Onírin náà fà yalójijì, Ẹgbẹ́ Ọ̀daràn ilẹ̀ Rọ́ṣíà fara hàn kọjá à à là ilẹ̀ orílẹ̀-èdè náà fún ìgbà à kọ́kọ́.","With the Iron Curtainrentasunder, the Russian Mafia made its debut on the international stage.",False,high,html,0
6,,1,"Lóṣù September ọdún 1944, inú adá gún odò yìí ni mo ti ṣèrìbọmi gẹ́gẹ́ bí ẹ̀rí pé mo tiyaara mi sí mímọ́ fún Jèhófà Ọlọ́run ní ohun tó ju ọdún kan à bọ̀ ṣá ájú ìgbà yẹn.","There, in September 1944, I was immersed in symbol of thededicationthat I hadmadeto Jehovah God more than a year and a half earlier.",True,high,html,0
7,,1,Ẹnu á ti kọ́kọ́yaà wọn ọmọ ẹ̀yìn rẹ̀ ná nípa ohun tó fẹ́ ṣe.,His followers must havewonderedwhat he was going to do.,False,high,html,0
8,,1,"Kò sí à ní-à ní pé “ọlọ́run ètò à wọn nǹkan yìí” ló jẹ́ agbá tẹrù à wọn ìwà ọ̀daràn tó burú jáì wọ̀nyí, ó sì ti wá ti pa bẹ́ẹ̀ dá ohun tí à wọn kan pè ní ìbẹ̀rù ẹ̀yaẹ̀sìn sílẹ̀, ó sì wá ń fi èyí ta ko à wọn ènìyàn Jèhófà.","“The god of this system of things,” doubtless being behind these heinous crimes, has thus created what some call asectscare, and he is using this against Jehovah's people.",True,high,html,0
9,,1,"Kò pẹ́ sígbà yẹn ni ìdílé yìí sọ pé à wọn á fẹ́ máa wà ásù fá wọn ọmọ ìlú à wọn, à wọn sì fẹ́yaìgbésí ayé à wọn sí mímọ́ fún Jèhófà.","Before long, the family expressed a desire to preach to their fellow countrymen and todedicatetheir lives to Jehovah.",True,high,html,0
10,,1,"Lẹ́yìn ìgbà yẹn, ohun tí wọ́n pè ní Ìbòjú Irinyaà wa tí a wà ní Soviet Union sọ́tọ̀ kúrò lá ra à wọn ará yé yòókù.",Afterward the so-called Iron Curtainkept those of us in the Soviet Union cut off from the rest of the world.,False,high,html,0
11,,1,9 Ó jẹ́ ìwúrí pé à wọn ará Éfésù kórìíra “iṣẹ́ ẹ̀yaìsìn Níkól áọ́sì.”,"9 To their credit, the Ephesians hated “the deeds of thesectof Nicolaus.”",False,high,html,0
12,,1,"Omi tó ń yawọnú ìlú ba ọ̀pọ̀ ilé jẹ́, ó gbé ọ̀pọ̀ ọkọ̀ lọ, ó sì hú à wọn igi dà nù.","The floodwatersrushingthrough the streets have damaged homes, swept away cars, and uprooted trees.",False,high,html,0
13,,1,"Lọna ti o dun mọni ninu, gbogbo awọn ewe ti wọn ṣaṣiṣe ti a mẹnukan siwaju gba pe awọn adura wọn ati awọn iṣe aṣa idakẹkọọ funra ẹni wọn ti di alafaraṣe mafọkanṣe—ti wọn ko si ṣe mọ nigba ti oya.","Interestingly, all the erring youths mentioned earlier admitted that their prayers and personal study habits had become routine —and in time nonexistent.",False,high,html,0
14,,1,"Mo bẹ̀rẹ̀ sí íyaara mi sọ́tọ̀, mo sì ń wá ìtura níta, ní pípẹja trout ní à wọn à gbègbè à dá dó Minnesota à ti Upper Michigan.","I started toisolatemyself and found solace outdoors, trout fishing in remote areas of Minnesota and Upper Michigan.",False,high,html,0
15,,1,Owó fà dákà kan tí wọ́n yaAlẹki sáń dà Ńlá sí gẹ́gẹ́ bí ọ̀kan lá ra òrìṣà à wọn ará Gíríìsì,Silver coin with Alexander the Great depicted as a Greek deity,False,high,html,0
16,,1,• Kí nìdí tá wa Kristẹni fi gbọ́dọ̀yaara wa sí mímọ́ fún Jèhófà?,• Why do Christians needtobededicatedto Jehovah?,True,high,html,0
17,,1,"Òpìtàn Tacitus ròyìn pé: “Wọ́n [ìyẹn à wọn Kristẹni] kú ikú ẹlẹ́yà; wọ́n da awọ ẹranko bò à wọn kan, ẹ̀yìn èyí ni ajá sì wá fà wọ́n yapẹ́rẹpẹ̀rẹ, wọ́n kan à wọn kan [mọ́gi],* wọ́n jó à wọn kan gẹ́gẹ́ bí ètùfù lá ti tà nmọ́lẹ̀ ní alẹ́.”","The historian Tacitus reports: “They [Christians] died by methods of mockery; some were covered with the skins of wild beasts and thentornby dogs, some were [impaled],* some were burned as torches to light at night.”",False,high,html,0
18,,1,"Obìnrin ná àyaìgbésí ayé rẹ̀ sí mímọ́ fún Ọlọ́run, ó sì ṣe ìrìbọmi.",Shededicatedher life to God and got baptized.,False,high,html,0
19,,1,"Ó lè gbìyà njú lá ti dí ọ lọ́wọ́ lílọ sí à wọn ìpà dé ìjọ, tà bí ó lè sọ pé òun kò fẹ́ kí aya òun má ayaojúlé ki ri, lá ti máa sọ̀rọ̀ nípa ìsìn.","He may try to hinder you from going to congregation meetings, or he may say that he does not want his wife to gofromhouse to house, talking about religion.",False,high,html,0
20,,1,"Ní June 29, 2013, ayaọ́fíìsì alá jà mẹ́ta tá a ṣẹ̀ṣẹ̀ kọ́ sí mímọ́ ní Bẹ́tẹ́lì tó wà ní ìlú Yangon, lórílẹ̀-èdè Myanmar.","On June 29, 2013, a new three-story office building at the Bethel facilities in Yangon, Myanmar, wasdedicated.",False,high,html,0
21,,1,"Ẹ má ṣe máa fi du ara yín lẹ́nì kí ní kejì, à yà fi nípasẹ̀ ìjọ́hẹn tọ̀tún tòsì fún à kókò tí a yàn kalẹ̀, kí ẹ lèyaà kókò sọ́tọ̀ fún à dúrà kí ẹ sì tún lè jùmọ̀ wà pa pọ̀, kí Sá tánì má baà máa dẹ yín wò níto rí à ìfètò ṣà kóso ara yín.”","Do not be depriving each other of it, except by mutual consent for an appointed time, that you maydevotetime to prayer and may come together again, that Satan may not keep tempting you for your lack of self-regulation.”",False,high,html,0
22,,1,"Bẹ́ẹ̀ ni, à wọn olùfẹ́ ìmọ́lẹ̀ ń yaara wọn sí mímọ́ fún Ọlọ́run, wọ́n sì ń di onídùnnú olùyìn rẹ̀.","Yes, lovers of lightdedicatethemselves to God and become his joyful praisers.",False,high,html,0
