id,word,url,scrape_time,status,error
1,ya,https://glosbe.com/yo/en/ya,2025-05-13 23:49:24,success,
2,Yakubu Gowon,https://glosbe.com/yo/en/Yakubu%20Gowon,2025-05-13 23:46:05,success,
3,yamoussoukro,https://glosbe.com/yo/en/yamoussoukro,2025-05-13 23:46:57,success,
4,yan,https://glosbe.com/yo/en/yan,2025-05-13 23:51:15,success,
5,yangàn,https://glosbe.com/yo/en/yang%C3%A0n,2025-05-13 23:51:02,success,
6,yanrìn,https://glosbe.com/yo/en/yanr%C3%ACn,2025-05-13 23:46:46,success,
7,Yaoundé,https://glosbe.com/yo/en/Yaound%C3%A9,2025-05-13 23:52:35,success,
8,ye fún,https://glosbe.com/yo/en/ye%20f%C3%BAn,2025-05-13 23:50:12,success,
9,ye ní yíyàn,https://glosbe.com/yo/en/ye%20n%C3%AD%20y%C3%ADy%C3%A0n,2025-05-13 23:49:55,success,
10,Yemen,https://glosbe.com/yo/en/Yemen,2025-05-13 23:46:09,success,
11,yemen,https://glosbe.com/yo/en/yemen,2025-05-13 23:48:25,success,
12,Yemọja,https://glosbe.com/yo/en/Yem%E1%BB%8Dja,2025-05-13 23:47:25,success,
13,yen,https://glosbe.com/yo/en/yen,2025-05-13 23:45:48,success,
14,yinyin-siketi,https://glosbe.com/yo/en/yinyin-siketi,2025-05-13 23:45:41,success,
15,yiokọpu ilu,https://glosbe.com/yo/en/yiok%E1%BB%8Dpu%20ilu,2025-05-13 23:48:01,success,
16,Yipadà sí Ìrísí,https://glosbe.com/yo/en/Yipad%C3%A0%20s%C3%AD%20%C3%8Cr%C3%ADs%C3%AD,2025-05-13 23:47:13,success,
17,Yola,https://glosbe.com/yo/en/Yola,2025-05-13 23:52:41,success,
18,Yoruba,https://glosbe.com/yo/en/Yoruba,2025-05-13 23:50:32,success,
19,Yorùbá,https://glosbe.com/yo/en/Yor%C3%B9b%C3%A1,2025-05-13 23:50:38,success,
20,yorùbá,https://glosbe.com/yo/en/yor%C3%B9b%C3%A1,2025-05-13 23:52:13,success,
21,yunifásítì,https://glosbe.com/yo/en/yunif%C3%A1s%C3%ADt%C3%AC,2025-05-13 23:46:30,success,
22,Yunifásítì,https://glosbe.com/yo/en/Yunif%C3%A1s%C3%ADt%C3%AC,2025-05-13 23:52:04,success,
23,yà,https://glosbe.com/yo/en/y%C3%A0,2025-05-13 23:47:50,success,
24,yàgàn,https://glosbe.com/yo/en/y%C3%A0g%C3%A0n,2025-05-13 23:46:38,success,
25,yàn,https://glosbe.com/yo/en/y%C3%A0n,2025-05-13 23:51:23,success,
26,yàn ÿà,https://glosbe.com/yo/en/y%C3%A0n%20%C3%BF%C3%A0,2025-05-13 23:49:06,success,
27,yànje,https://glosbe.com/yo/en/y%C3%A0nje,2025-05-13 23:46:15,success,
28,yànmùyánmú,https://glosbe.com/yo/en/y%C3%A0nm%C3%B9y%C3%A1nm%C3%BA,2025-05-13 23:51:37,success,
29,yànàná,https://glosbe.com/yo/en/y%C3%A0n%C3%A0n%C3%A1,2025-05-13 23:50:45,success,
30,yàrá,https://glosbe.com/yo/en/y%C3%A0r%C3%A1,2025-05-13 23:52:24,success,
31,yàrá nlá,https://glosbe.com/yo/en/y%C3%A0r%C3%A1%20nl%C3%A1,2025-05-13 23:47:45,success,
32,yàrọ,https://glosbe.com/yo/en/y%C3%A0r%E1%BB%8D,2025-05-13 23:49:48,success,
33,yàúyàúù,https://glosbe.com/yo/en/y%C3%A0%C3%BAy%C3%A0%C3%BA%C3%B9,2025-05-13 23:50:02,success,
34,yálà,https://glosbe.com/yo/en/y%C3%A1l%C3%A0,2025-05-13 23:47:17,success,
35,yán,https://glosbe.com/yo/en/y%C3%A1n,2025-05-13 23:48:16,success,
36,yányàn,https://glosbe.com/yo/en/y%C3%A1ny%C3%A0n,2025-05-13 23:51:42,success,
37,yára,https://glosbe.com/yo/en/y%C3%A1ra,2025-05-13 23:48:37,success,
38,yára kánkán,https://glosbe.com/yo/en/y%C3%A1ra%20k%C3%A1nk%C3%A1n,2025-05-13 23:50:16,success,
39,yárayára,https://glosbe.com/yo/en/y%C3%A1ray%C3%A1ra,2025-05-13 23:46:53,success,
40,yé,https://glosbe.com/yo/en/y%C3%A9,2025-05-13 23:47:02,success,
41,yìn,https://glosbe.com/yo/en/y%C3%ACn,2025-05-13 23:49:13,success,
42,yìn logo,https://glosbe.com/yo/en/y%C3%ACn%20logo,2025-05-13 23:48:48,success,
43,yìnbọn,https://glosbe.com/yo/en/y%C3%ACnb%E1%BB%8Dn,2025-05-13 23:50:08,success,
