id,translation_id,word_id,yoruba_text,english_text,is_jw_reference,confidence,source,score
1,2.0,2,Ṣalanga oniho,pit latrine,False,high,primary_translation,0
2,5.0,4,ṣalágbàwí,advocate,False,high,primary_translation,0
3,,5,Àyípadà kan wá yé lọ́dún 1935 tó yí gbogbo bí à wọn ará Rọ́ṣíà ṣe ń ṣayẹyẹọdún Kérésì à ti Ọdún Tuntun padà.,"In 1935, a change occurred that profoundly altered the way Russians marked theholidayseason.",False,high,tmem,0
4,6.0,5,"Ká tiẹ̀ wá sọ pé òótọ́ lohun tá wọn kan sọ pé òwò ṣíṣe à ti èrè à jẹpajúdé ló ba ayẹyẹ Kérésì jẹ́ bá yìí, òótọ́ ibẹ̀ ni pé Ọlọ́run ò tiẹ̀ sọ pé ká wọn Kristẹni tòótọ́ má aṣayẹyẹọjọ́ ìbí Jésù.","While modern Christmas abounds in “gaudy commercialism,” the fact is that true Christians never expected tocelebrate Jesus' birth.",False,high,tmem,0
5,6.0,5,"Ìgbìmọ̀ à ìgbọdọ̀má ṣe lá àárín à wùjọ ẹ̀dá ènìyàn, tí Ṣọ́ọ̀ṣì Ilẹ̀ England gbé kalẹ̀, gbé ìròyìn iṣẹ́ rẹ̀ já de ní June 1995, tí ó ní à kọlé pé, “Ohun Kan Lá tiṢayẹyẹRẹ̀.”","The Church of England's board of social responsibility released its report in June 1995, entitled “Something to Celebrate.”",False,high,tmem,0
6,6.0,5,"Ní à wọn ilẹ̀ kan, bá wo ni à wọn ará kùnrin wa ṣe borí à wọn ìṣòro lílekoko lá ti lèṣayẹyẹÌṣe Ìrá ntí?","In some lands, how did our brothers overcome serious problems in order tocelebratethe Memorial?",False,high,tmem,0
7,7.0,5,"Ní ìrọ̀lẹ́ March 28, lẹ́yìn tí oòrùn bá wọ̀, à wọn ẹgbẹ́ méjèèjì yóò kóra jọ pọ̀ lá tiṣayẹyẹìr ántí ikú Kristi à ti lá ti rá ntí gbogbo ohun tí Jèhófà ti ṣe fún wọn nípasẹ̀ ẹbọ ìrà padà Ọmọ rẹ̀, Kristi Jésù.","On the evening of March 28, after sundown, both classes will meet together tocommemorate Christ's death and remember all that Jehovah has done for them through the sacrifice of his dear Son, Christ Jesus.",True,high,tmem,0
8,6.0,5,"Ìwé gbédègbẹ́yọ̀ kan sọ nípa rẹ̀ pé: “Wọn kòṣayẹyẹyìí nínú ṣọ́ọ̀ṣì Kristẹni ti ọ̀rúndún kìíní, níwọ̀n bó ti jẹ́ pé ohun tá wọn Kristẹni lá papọ̀ tẹ́wọ́ gbà ni ṣíṣayẹyẹ ikú à wọn ẹni pà tàkì dípò ọjọ́ ìbí wọn.”","One encyclopedia says about this: “Thecelebrationwas not observed in the first centuries of the Christian church, since the Christian usage in general was tocelebratethe death of remarkable persons rather than their birth.”",False,high,tmem,0
9,6.0,5,Pá pá eré ìdá rayá ń lá tí Hitler tiṣayẹyẹìṣẹ́gun rẹ̀ ni a ti ṣe à péjọpọ̀ ọ̀hún.,The convention was held in the huge stadium where Hitler hadcelebratedhis military victories.,False,high,tmem,0
10,,5,"Níto rí náà, òòṣà ìbímọlémọ là wọn èèyàn ń kúnlẹ̀ bọ bí wọ́n bá lá wọn ń ṣayẹyẹàjíǹde Kristi nígbà ọdún à jíǹde.","Easter, therefore, is really a fertility rite thinly disguised as acelebrationof Christ's resurrection.",False,high,tmem,0
