id,word,url,scrape_time,status,error
1,Ṣaina,https://glosbe.com/yo/en/%E1%B9%A2aina,2025-05-12 23:08:09,success,
2,Ṣalanga oniho,https://glosbe.com/yo/en/%E1%B9%A2alanga%20oniho,2025-05-12 23:02:55,success,
3,ṣalábàápàdé,https://glosbe.com/yo/en/%E1%B9%A3al%C3%A1b%C3%A0%C3%A1p%C3%A0d%C3%A9,2025-05-12 23:05:26,success,
4,ṣalágbàwí,https://glosbe.com/yo/en/%E1%B9%A3al%C3%A1gb%C3%A0w%C3%AD,2025-05-12 23:09:38,success,
5,ṣayẹyẹ,https://glosbe.com/yo/en/%E1%B9%A3ay%E1%BA%B9y%E1%BA%B9,2025-05-12 23:04:10,success,
6,ṣe bá ìfẹ́ (ẹni) mu,https://glosbe.com/yo/en/%E1%B9%A3e%20b%C3%A1%20%C3%ACf%E1%BA%B9%CC%81%20%28%E1%BA%B9ni%29%20mu,2025-05-12 23:01:37,success,
7,ṣe láìpín yẹ́lẹyẹ̀lẹ,https://glosbe.com/yo/en/%E1%B9%A3e%20l%C3%A1%C3%ACp%C3%ADn%20y%E1%BA%B9%CC%81l%E1%BA%B9y%E1%BA%B9%CC%80l%E1%BA%B9,2025-05-12 23:04:33,success,
8,ṣe nírégí,https://glosbe.com/yo/en/%E1%B9%A3e%20n%C3%ADr%C3%A9g%C3%AD,2025-05-12 23:01:04,success,
9,ṣe níwọ̀n,https://glosbe.com/yo/en/%E1%B9%A3e%20n%C3%ADw%E1%BB%8D%CC%80n,2025-05-12 23:07:05,success,
10,ṣe tán,https://glosbe.com/yo/en/%E1%B9%A3e%20t%C3%A1n,2025-05-12 23:06:23,success,
11,Ṣejágajàga,https://glosbe.com/yo/en/%E1%B9%A2ej%C3%A1gaj%C3%A0ga,2025-05-12 23:05:03,success,
12,ṣetúnṣe,https://glosbe.com/yo/en/%E1%B9%A3et%C3%BAn%E1%B9%A3e,2025-05-12 22:58:07,success,
13,Ṣiṣunu,https://glosbe.com/yo/en/%E1%B9%A2i%E1%B9%A3unu,2025-05-12 22:59:40,success,
14,ṣokoléètì,https://glosbe.com/yo/en/%E1%B9%A3okol%C3%A9%C3%A8t%C3%AC,2025-05-12 23:09:54,success,
15,ṣokùnfà,https://glosbe.com/yo/en/%E1%B9%A3ok%C3%B9nf%C3%A0,2025-05-12 23:07:31,success,
16,ṣàfihàn,https://glosbe.com/yo/en/%E1%B9%A3%C3%A0fih%C3%A0n,2025-05-12 23:01:08,success,
17,Ṣàfihàn ìdaṣe,https://glosbe.com/yo/en/%E1%B9%A2%C3%A0fih%C3%A0n%20%C3%ACda%E1%B9%A3e,2025-05-12 23:05:48,success,
18,ṣàfikùn,https://glosbe.com/yo/en/%E1%B9%A3%C3%A0fik%C3%B9n,2025-05-12 22:59:10,success,
19,ṣàfikún,https://glosbe.com/yo/en/%E1%B9%A3%C3%A0fik%C3%BAn,2025-05-12 23:08:41,success,
20,ṣàfilọ́lẹ̀,https://glosbe.com/yo/en/%E1%B9%A3%C3%A0fil%E1%BB%8D%CC%81l%E1%BA%B9%CC%80,2025-05-12 23:05:43,success,
21,ṣàfipamọ́,https://glosbe.com/yo/en/%E1%B9%A3%C3%A0fipam%E1%BB%8D%CC%81,2025-05-12 23:00:30,success,
22,ṣàfirọ́pò,https://glosbe.com/yo/en/%E1%B9%A3%C3%A0fir%E1%BB%8D%CC%81p%C3%B2,2025-05-12 23:08:36,success,
23,ṣàgbé sórí,https://glosbe.com/yo/en/%E1%B9%A3%C3%A0gb%C3%A9%20s%C3%B3r%C3%AD,2025-05-12 23:05:34,success,
24,ṣàgbéjáde,https://glosbe.com/yo/en/%E1%B9%A3%C3%A0gb%C3%A9j%C3%A1de,2025-05-12 23:06:31,success,
