id,translation_id,word_id,yoruba_text,english_text,is_jw_reference,confidence,source,score
1,1.0,1,ẹ káalẹ́,good evening,False,high,primary_translation,0
2,2.0,2,ẹ káre láé,well done,False,high,primary_translation,0
3,3.0,3,ẹ káàbọ̀,welcome,False,high,primary_translation,0
4,4.0,4,ẹ káàsán,good afternoon,False,high,primary_translation,0
5,6.0,5,ẹ káàárọ̀,good morning,False,high,primary_translation,0
6,7.0,6,ẹ kú ewu ọmọ,congratulations,False,high,primary_translation,0
7,8.0,7,ẹ kú iṣẹ́,well done,False,high,primary_translation,0
8,9.0,8,ẹ kú ọdún kérésìmesì,Merry Christmas,False,high,primary_translation,0
9,10.0,9,ẹ kúulé,greetings to those at home,False,high,primary_translation,0
10,12.0,10,ẹ kúuṣẹ́,well done,False,high,primary_translation,0
11,,12,"“Àwọn ọ̀rẹ́,ẹbí, à ti à wọn alá dùúgbò ni a pè lá ti wá bá wa ṣe ìrúbọ náà.","“Friends, relatives, and neighbors were invited to observe the sacrifice.",False,high,html,0
12,14.0,12,Àà bò Ẹbí,Family Safety,False,high,similar_phrase,0
13,14.0,12,orúkọ ẹbí,family name,False,high,similar_phrase,0
14,,12,"Kò ní jẹ́ pé to rí kó kàn lè bọ́ lọ́wọ́ ìtìjú ẹ̀ṣẹ̀ rẹ̀ tà bí to rí kó lè tún máa ní à jọṣe pẹ̀lú à wọnẹbíà tàwọn míì nínú ètò Ọlọ́run láá fi máa bẹ̀bẹ̀ fún ìdá ríjì. Kà kà bẹ́ẹ̀, ń ṣe láá kọ ẹ̀ṣẹ̀ rẹ̀ sílẹ̀ pá táp átá kó lè rí ojú rere Ọlọ́run, kó sì gba ìdá ríjì.","Rather than merely wanting to save face or to regain association withrelativesor others in the truth, he wants to turn his back completely on the wrongs he has committed and merit God's forgiveness and favor.",False,high,tmem,0
15,14.0,12,"Àlùf áà à dúgbò mú kí ọ̀pọ̀ ju lọ à wọnẹbími lòdì sí mi, tí wọ́n ń sọ pé orí mi ti yí.","The local priest turned most of myfamilyagainst me, claiming that I had gone insane.",False,high,tmem,0
16,14.0,12,"(Jẹ́nẹ́sísì 49:1, 2, 33) Ní irú à dúgbò bẹ́ẹ̀, wọ́n á pèpà déẹbí, wọ́n á gbọ́ tẹnu ká lukú, títí kan à wọn ọmọdé pà ápàá.","(Genesis 49:1, 2, 33) In such cases, thefamilycomes together, and the children are included in the conversation.",False,high,tmem,0
17,14.0,12,Bí ÀwọnẸbíà ti Ọ̀rẹ́ Ṣe Lè Ṣèrà nwọ́,How Familyand Friends Can Help,False,high,tmem,0
18,,12,"Ṣùgbọ́n tá a bá fi tà wọn obìnrin ṣe, lójú ẹsẹ̀ la ó ti máa rí àǹfà àní wíwà tí wọ́n wà níbẹ̀: ara gbogboẹbíá le, wọ́n á jẹun tó dáa síkùn; owó tá á máa wọlé à tèyí tí wọ́n á rí fi pamọ́ à tèyí tí wọn á máa rí lò á túbọ̀ gbé pẹ́ẹ́lí sí i.","When women are fully involved, the benefits can be seen immediately:familiesare healthier and better fed; their income, savings and reinvestment go up.",False,high,tmem,0
19,14.0,12,Palmira dojú kọ à takò gbígbóná lá tọ̀dọ̀ à wọnẹbírẹ̀ à ti à wọn à lùf áà.,Palmira experienced great opposition from herfamilyand the clergy.,False,high,tmem,0
