id,word,url,scrape_time,status,error
1,ẹ káalẹ́,https://glosbe.com/yo/en/%E1%BA%B9%20k%C3%A1al%E1%BA%B9%CC%81,2025-05-08 05:35:07,success,
2,ẹ káre láé,https://glosbe.com/yo/en/%E1%BA%B9%20k%C3%A1re%20l%C3%A1%C3%A9,2025-05-08 05:16:03,success,
3,ẹ káàbọ̀,https://glosbe.com/yo/en/%E1%BA%B9%20k%C3%A1%C3%A0b%E1%BB%8D%CC%80,2025-05-08 05:16:56,success,
4,ẹ káàsán,https://glosbe.com/yo/en/%E1%BA%B9%20k%C3%A1%C3%A0s%C3%A1n,2025-05-08 05:29:43,success,
5,ẹ káàárọ̀,https://glosbe.com/yo/en/%E1%BA%B9%20k%C3%A1%C3%A0%C3%A1r%E1%BB%8D%CC%80,2025-05-08 05:45:00,success,
6,ẹ kú ewu ọmọ,https://glosbe.com/yo/en/%E1%BA%B9%20k%C3%BA%20ewu%20%E1%BB%8Dm%E1%BB%8D,2025-05-08 05:24:25,success,
7,ẹ kú iṣẹ́,https://glosbe.com/yo/en/%E1%BA%B9%20k%C3%BA%20i%E1%B9%A3%E1%BA%B9%CC%81,2025-05-08 05:24:36,success,
8,ẹ kú ọdún kérésìmesì,https://glosbe.com/yo/en/%E1%BA%B9%20k%C3%BA%20%E1%BB%8Dd%C3%BAn%20k%C3%A9r%C3%A9s%C3%ACmes%C3%AC,2025-05-08 05:41:55,success,
9,ẹ kúulé,https://glosbe.com/yo/en/%E1%BA%B9%20k%C3%BAul%C3%A9,2025-05-08 05:33:02,success,
10,ẹ kúuṣẹ́,https://glosbe.com/yo/en/%E1%BA%B9%20k%C3%BAu%E1%B9%A3%E1%BA%B9%CC%81,2025-05-08 05:47:11,success,
11,ẹ ǹlẹ́,https://glosbe.com/yo/en/%E1%BA%B9%20%C7%B9l%E1%BA%B9%CC%81,2025-05-08 05:27:34,success,
12,ẹbí,https://glosbe.com/yo/en/%E1%BA%B9b%C3%AD,2025-05-08 05:51:44,success,
13,ẹdun,https://glosbe.com/yo/en/%E1%BA%B9dun,2025-05-08 05:44:50,success,
14,ẹdùn ààrá,https://glosbe.com/yo/en/%E1%BA%B9d%C3%B9n%20%C3%A0%C3%A0r%C3%A1,2025-05-08 05:19:09,success,
15,ẹfun,https://glosbe.com/yo/en/%E1%BA%B9fun,2025-05-08 05:52:31,success,
16,ẹfun ìkọ̀wé,https://glosbe.com/yo/en/%E1%BA%B9fun%20%C3%ACk%E1%BB%8D%CC%80w%C3%A9,2025-05-08 05:17:23,success,
17,ẹfúùfù,https://glosbe.com/yo/en/%E1%BA%B9f%C3%BA%C3%B9f%C3%B9,2025-05-08 05:54:00,success,
18,ẹfọ̀n,https://glosbe.com/yo/en/%E1%BA%B9f%E1%BB%8D%CC%80n,2025-05-08 05:30:43,success,
19,ẹfọ́nhà,https://glosbe.com/yo/en/%E1%BA%B9f%E1%BB%8D%CC%81nh%C3%A0,2025-05-08 05:17:15,success,
20,ẹgba,https://glosbe.com/yo/en/%E1%BA%B9gba,2025-05-08 05:23:28,success,
21,ẹgbàafà,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0af%C3%A0,2025-05-08 05:20:49,success,
22,ẹgbàajì,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0aj%C3%AC,2025-05-08 05:54:40,success,
23,ẹgbàajìdínlógún,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0aj%C3%ACd%C3%ADnl%C3%B3g%C3%BAn,2025-05-08 05:42:58,success,
24,ẹgbàajìlá,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0aj%C3%ACl%C3%A1,2025-05-08 05:43:05,success,
25,ẹgbàarùn-ún,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0ar%C3%B9n-%C3%BAn,2025-05-08 05:34:46,success,
26,ẹgbàá,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0%C3%A1,2025-05-08 05:25:45,success,
27,ẹgbàá-márùndínlógójì,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0%C3%A1-m%C3%A1r%C3%B9nd%C3%ADnl%C3%B3g%C3%B3j%C3%AC,2025-05-08 05:54:17,success,
28,ẹgbàá-mẹ́ẹ̀ẹ́dógún,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0%C3%A1-m%E1%BA%B9%CC%81%E1%BA%B9%CC%80%E1%BA%B9%CC%81d%C3%B3g%C3%BAn,2025-05-08 05:47:40,success,
29,ẹgbàá-mẹ́ẹ̀ẹ́dọ́gbọ̀n,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0%C3%A1-m%E1%BA%B9%CC%81%E1%BA%B9%CC%80%E1%BA%B9%CC%81d%E1%BB%8D%CC%81gb%E1%BB%8D%CC%80n,2025-05-08 05:54:49,success,
30,ẹgbàáje,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0%C3%A1je,2025-05-08 05:35:15,success,
31,ẹgbàájọ,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0%C3%A1j%E1%BB%8D,2025-05-08 05:55:57,success,
32,ẹgbàárin,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0%C3%A1rin,2025-05-08 05:52:37,success,
33,ẹgbàárùn-ún,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0%C3%A1r%C3%B9n-%C3%BAn,2025-05-08 05:32:39,success,
34,ẹgbàásàn-án,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0%C3%A1s%C3%A0n-%C3%A1n,2025-05-08 05:55:34,success,
35,ẹgbàáta,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0%C3%A1ta,2025-05-08 05:19:19,success,
36,ẹgbàáwàá,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A0%C3%A1w%C3%A0%C3%A1,2025-05-08 05:40:38,error,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
37,ẹgbé alájọpín,https://glosbe.com/yo/en/%E1%BA%B9gb%C3%A9%20al%C3%A1j%E1%BB%8Dp%C3%ADn,2025-05-08 05:29:01,success,
38,ẹgbẹ̀fà,https://glosbe.com/yo/en/%E1%BA%B9gb%E1%BA%B9%CC%80f%C3%A0,2025-05-08 05:52:59,success,
39,ẹgbẹ̀jọ,https://glosbe.com/yo/en/%E1%BA%B9gb%E1%BA%B9%CC%80j%E1%BB%8D,2025-05-08 05:23:36,success,
40,ẹgbẹ̀rin,https://glosbe.com/yo/en/%E1%BA%B9gb%E1%BA%B9%CC%80rin,2025-05-08 05:53:07,success,
41,ẹgbẹ̀rinlá,https://glosbe.com/yo/en/%E1%BA%B9gb%E1%BA%B9%CC%80rinl%C3%A1,2025-05-08 05:19:32,success,
42,ẹgbẹ̀rìndínlógún,https://glosbe.com/yo/en/%E1%BA%B9gb%E1%BA%B9%CC%80r%C3%ACnd%C3%ADnl%C3%B3g%C3%BAn,2025-05-08 05:55:13,success,
43,ẹgbẹ̀rún,https://glosbe.com/yo/en/%E1%BA%B9gb%E1%BA%B9%CC%80r%C3%BAn,2025-05-08 05:57:34,success,
44,ẹgbẹ̀sán,https://glosbe.com/yo/en/%E1%BA%B9gb%E1%BA%B9%CC%80s%C3%A1n,2025-05-08 05:30:14,success,
45,ẹgbẹ̀ta,https://glosbe.com/yo/en/%E1%BA%B9gb%E1%BA%B9%CC%80ta,2025-05-08 05:53:16,success,
46,ẹgbẹ̀tadínlógún,https://glosbe.com/yo/en/%E1%BA%B9gb%E1%BA%B9%CC%80tad%C3%ADnl%C3%B3g%C3%BAn,2025-05-08 05:41:14,success,
47,ẹgbẹ̀talá,https://glosbe.com/yo/en/%E1%BA%B9gb%E1%BA%B9%CC%80tal%C3%A1,2025-05-08 05:31:50,success,
