id,word_id,translation,part_of_speech,confidence
1,1,king,verb,high
2,1,Benin Empire,noun,medium
3,1,lemon grass,verb,medium
4,1,supernatural being,verb,medium
5,1,united kingdom,noun,medium
6,1,warrior-king,verb,medium
7,2,warrior-king,noun,high
8,3,supernatural being,noun,high
9,4,soup,verb,high
10,4,stew,verb,high
11,5,monkeyen,noun,high
12,6,beetleen,noun,high
13,7,year,noun,high
14,7,Easter,noun,medium
15,8,Easter,noun,high
16,9,annum,noun,high
17,9,annumnoununit of time,noun,high
18,9,year,noun,high
19,9,at the end of the year,phrase,medium
20,9,at the start of the year,phrase,medium
21,9,Happy Easter,noun,medium
22,9,leap year,noun,medium
23,9,new year's resolution,phrase,medium
24,9,year of birth,phrase,medium
25,9,year of death,phrase,medium
26,10,year of death,phrase,high
27,10,year of deathyear in which a person died,phrase,high
28,11,leap year,noun,high
29,11,leap yearnounyear containing one additional day,noun,high
30,12,leap year,noun,high
31,12,leap yearnounyear containing one additional day,noun,high
32,13,Easter,noun,high
33,13,Happy Easter,noun,medium
34,14,year of birth,phrase,high
35,15,hunter,noun,high
36,15,waspen,noun,high
37,16,compound,adjective,high
38,16,garden,adjective,high
39,16,orchard,noun,medium
40,16,prison,noun,medium
41,16,water park,noun,medium
42,17,orchard,noun,high
43,18,orchard,noun,high
44,19,orchard,noun,high
45,20,orchard,noun,high
46,21,water park,noun,high
47,22,wildlife park,noun,high
48,22,zoo,noun,high
49,23,prison,verb,high
50,23,prison The Linguazee,verb,high
51,24,thirty,noun,high
52,24,logical block addressing,phrase,medium
53,25,logical block addressing,phrase,high
54,26,brain,verb,high
55,26,brain Mallow82,verb,high
56,26,intellect,noun,high
57,26,intellect TraverseGPAware,verb,high
58,26,intelligence,noun,high
59,26,intelligencenounmental faculty,verb,high
60,26,logic,verb,high
61,26,logic nounstudy of inference and demonstration,verb,high
62,26,human intelligence,noun,medium
63,27,brain,verb,high
64,27,brain Mallow82,verb,high
65,27,intellect,noun,high
66,27,intellect TraverseGPAware,verb,high
67,27,intelligence,noun,high
68,27,intelligencenounmental faculty,verb,high
69,27,logic,verb,high
70,27,logic nounstudy of inference and demonstration,verb,high
71,27,human intelligence,noun,medium
72,28,human intelligence,noun,high
73,29,cunning plan,noun,high
74,29,trickery,noun,high
75,30,sixty,noun,high
76,30,sixtynumeralWiktionnaire,noun,high
77,31,120,adjective,high
78,31,120adjective,adjective,high
79,31,one hundred and twenty,phrase,high
80,31,one hundred and twentynumeral,adjective,high
81,32,eighty,noun,high
82,32,eighty TraverseGPAware,noun,high
